Permutation	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
91	-13969.941351284633	0.16674891599547617	3133	GSE22229_RENAL_TRANSPLANT_IMMUNOSUPP_THERAPY_VS_HEALTHY_PBMC_DN	maxabsscaler	linearsvr	copy=True	C=0.1;dual=True;epsilon=0.01;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.001;verbose=0	ABCA13;ABCA9;ACAD8;AGPS;AIF1;AJUBA;ALAS1;AOAH;ARL10;ATF6;ATP11A;B4GALT1;B4GALT4;BNIP2;BPNT1;C3;C4orf19;CCDC125;CD28;CELSR3;CFLAR;CHD7;CHST13;CHSY1;CLDN15;CLEC5A;CLEC7A;CNBD2;COMMD7;COMMD9;COX16;CPA3;CREB1;CRY1;CSDE1;CTSB;DEPDC7;DIO2;DMKN;DNAJC15;DSP;EDEM1;EFCAB11;EIF1AD;ELANE;ERLIN1;ERP29;ETHE1;F10;FAM181A;FAM76B;FCGR2A;FCGR3A;FDPS;FKBP1B;FKBP2;FKBP5;GAMT;GPC1;GPR35;HDC;HERPUD1;HNRNPR;IGSF6;IL1RL2;ITGA1;ITGB3;ITPR1;KCNE3;KCTD14;KCTD20;KLHDC4;LAMP1;LCN2;LCOR;LCORL;LGALS3;LMAN2;LMO4;LPL;LRP8;LRRK2;LTA4H;MANBA;MCEMP1;MEFV;MGAM;MS4A3;MTMR2;MTUS1;NAAA;NAGPA;NCAM1;NEK7;NEU1;NIN;NOSTRIN;NRG1;NT5C;OLR1;P4HB;PAPSS2;PCYOX1L;PDE4D;PFKP;PLBD1;PLCB1;PLOD3;PNKP;PPFIBP1;PPP1R21;PRDX5;PROM1;PRSS16;PSTPIP2;PTPRO;R3HDM4;RAB3IP;RAD51C;RALB;RAP1GDS1;RAPH1;RASSF3;REEP1;RFC1;RGCC;RNASET2;RND3;RNF19B;RPS6KA2;RRBP1;RYR1;SATB2;SCCPDH;SDF2L1;SEC11C;SEC24D;SEC63;SEMA4A;SEPT10;SGMS2;SH2B2;SHISA2;SLAIN2;SLC15A4;SLC22A4;SLC25A12;SLC35E3;SLC36A1;SLC36A4;SLC39A2;SLC7A2;SLC8B1;SMIM12;SOWAHC;SPTLC2;STXBP6;SVIP;SYPL1;TACC1;TCTEX1D1;TECPR2;TEX2;TFEC;THYN1;TIAM1;TLR1;TMED4;TMEM178A;TMEM38B;TXNDC11;TXNL4B;UBTD2;UFC1;UGDH;UGGT1;UHRF1;WDR1;XDH;ZNF330;ZNF35;ZNF518B
44	-14430.52241992894	0.1595848696281326	476	GSE17721_CTRL_VS_POLYIC_24H_BMDC_UP	addintercept-1	decisiontreeregressor		ccp_alpha=0.0;criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=14;min_samples_split=16;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	AAAS;ABCG2;ABI1;ACLY;ACOT13;ADCY2;ADCY8;ADK;AHCTF1;AKR1B1;ALDOA;ANLN;ANXA6;APBB1IP;ARHGAP17;ARHGDIB;ARID4B;ARPC1A;ASCC1;ASGR2;ATRAID;BACH2;BCAP29;BCL2L11;C12orf4;C19orf48;CA12;CASP6;CCDC58;CCNA2;CCNB2;CD177;CD300C;CD81;CEACAM21;CENPQ;CHURC1;CIITA;CISD1;CLEC4F;CLNS1A;COX16;CPE;CPPED1;CREB3L3;CROT;CRYZ;CTSA;DAG1;DLD;DNM3;EDEM3;ELOVL5;ELOVL6;EMC2;ENPP1;ERMP1;FAF1;FAM111A;FANCG;FKBP9;FUCA2;GCG;GSR;GSTO1;GTF2B;HADH;HAS3;HAUS4;HEATR5B;HERC4;HGSNAT;HSCB;HTR1D;IFT80;IPPK;KBTBD2;KCNK13;KHK;KIAA1143;KIF13A;KLHL9;KRT10;LIMD2;LTC4S;LZTR1;MAP3K12;MATR3;MCEE;MEF2A;MEPCE;MRPL48;MRPL51;MUC1;MYL12B;MYO5A;MYOZ1;NDUFB2;NDUFV2;NEDD8;NEFH;NEK7;NHLH1;NSMF;NTHL1;NUCB1;NUCB2;OGG1;OMD;PALD1;PARK7;PDCL;PDK4;PDYN;PES1;PFN1;PHPT1;PIK3C2A;PIP4K2A;PNO1;PPP1CC;PPP1R18;PRKAG1;PRKCH;PRKRA;QRSL1;RAB7A;RARG;RARS2;RCSD1;RFC1;RGS10;RHBDD3;RNASE4;RNF187;RPL13;RPL28;RPL31;RPL41;RPLP1;RPS15A;S100A1;SCAMP1;SCN2A;SETDB1;SKP1;SLC35A5;SLC39A4;SLC47A1;SMC3;SMPDL3A;SOX4;SPSB2;SQLE;SRF;STIM1;SUPT4H1;TALDO1;TESK2;TMEM147;TMEM242;TMEM38B;TMEM50B;TNFAIP8;TOMM20;TP53INP2;TPK1;TSHZ1;UBXN8;UCP2;UNC5C;WBP11;XBP1;XPC;ZC3H14;ZDHHC6;ZIC4
12	-14819.519946154865	0.13056910494597956	121	GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	minmaxscaler	elasticnetcv	copy=True;feature_range=(0, 1)	alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=1.0;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ACSL1;ACTG1;AKAP13;AKR1A1;ALDOC;AMT;ARID5A;ASB13;AVL9;B4GALT5;BASP1;BATF;BCAR3;BHLHE40;BIK;BLNK;BNIP3L;BTG1;CABIN1;CALM1;CD19;CD1D;CD209;CD55;CHD1;CHL1;CIITA;CKAP2;CLASP2;CLK1;CR2;CRTC3;CSRNP2;CYP51A1;CYTH4;DCAF13;DDX47;DENND1B;DNM2;DNMT3A;DUSP2;DUSP3;EDEM3;EGR2;EIF2AK3;EIF4G3;EIF5;EP300;ETHE1;EZH2;EZR;FAM120A;FBXO21;FILIP1L;FOXO3;GALNT1;GAPDH;GRB2;GRK5;GSN;GTF2I;GYPC;H2AFX;HAUS3;HEG1;HMGXB4;IFNGR1;IFT46;IKZF1;IKZF5;IL6ST;ILF3;INSIG1;INTS6;IRF4;JARID2;KANSL2;KCNAB2;KDM2A;KIF5B;KLF9;KLHL18;KPNA1;LGALS3;LMNB1;LMO4;LNPEP;LONP2;LPCAT1;LPP;LRRK1;LY9;MAD2L1;MAFF;MAFG;MAP3K5;MAPK1IP1L;MAPRE2;MAT2A;MBNL1;MCM6;MED13L;MOB3B;MRPL52;MTA1;MTHFD2;MYBL2;NAA16;NAT10;NCL;NET1;NFYA;NGLY1;NOP2;NR1D2;NUSAP1;OTUD4;PA2G4;PDK1;PELO;PGAP1;PLIN3;PLK1;PMS2P3;PPIF;PPP1R10;PPP1R16B;PQLC1;PRC1;PRKRIP1;PUM1;RASSF2;RBM23;RBM48;RIOK2;RNF19B;RSRC2;SBNO1;SCO2;SEL1L;SFPQ;SH2B3;SIAH2;SLC12A6;SLC23A2;SLC25A13;SLC38A2;SLC38A6;SLC39A14;SLC43A3;SLC9A8;SNAPC1;SPAG4;SPATA5L1;SPEN;SPRY2;SRC;SRSF11;SUPT5H;SYNE1;TAF1D;TGIF2;TIPRL;TMEM260;TNRC6B;TPR;TTC21B;TUBA1B;TUBB;TUBB3;UAP1L1;USP8;UTS2;VASP;WBP11;WDR74;YPEL5;ZBED2;ZBTB1;ZBTB25;ZC3H15;ZNF10;ZNF117;ZNF14;ZNF253;ZNF654;ZNF672
27	-13697.68255069333	0.13026541750911969	687	GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDC_DN	normalizer	decisiontreeregressor	copy=True;norm=l1	ccp_alpha=0.0;criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=1;min_samples_split=18;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABCG2;ACTR6;ADAM9;ADRA2A;ADSS;ALDH6A1;ANTXR2;AP2A2;APIP;ARHGEF12;ARL16;ARMC1;ATP1A1;ATP6V0B;ATPAF2;BAG2;BTF3L4;C11orf24;C11orf58;C16orf87;C9orf64;CA13;CCNA2;CD244;CDC42SE2;CHAC2;CHD1L;CHID1;CIAO1;CLDN4;CLMP;CLRN3;CRP;CSDE1;CSNK2A2;CXXC1;DACH1;DAP;DDT;DEGS2;DERL2;DHCR7;DLD;DNAJC18;DNAJC2;DRG1;E2F6;ECD;EEF1G;EEFSEC;EIF4G2;EIF5;EIF5A;ELK3;ELOVL1;ENPP2;ESR2;ETFDH;FAM118A;FAM174A;FAM49B;FAM98A;FKBP7;FTSJ3;GNG10;GNG2;GRHPR;HCLS1;HDLBP;HELB;IFT22;IGHM;IMPDH2;INO80C;IPO9;IRS2;ITSN1;IVNS1ABP;KCNA3;LIMD1;LIMK1;LMAN1;LPCAT1;LSM12;MAGOH;MAP2K6;MCM2;MCM3;ME1;MEF2A;MET;METTL6;MMACHC;MMP8;MOB4;MOGS;MRPL11;MRPL45;MTA2;MTFR1;NAA30;NAB1;NCBP1;NDUFB2;NDUFC2;NEUROG1;NFAM1;NIF3L1;NOL11;NSUN2;NUBP1;NUP153;OAT;OPN3;OTUD6B;PABPC4;PAFAH2;PANK3;PCTP;PDCL;PIGM;PLBD2;PLD1;PMPCA;POFUT2;PPME1;PPP2CA;PPP3CB;PRDX6;PRICKLE1;PRKCI;PTCD3;PTGER2;PTPMT1;PTPN14;RAB14;RAB32;RBM19;RIOK2;RND3;RPA3;RPF1;RPP14;RRP8;SCAF8;SEC61A1;SEMA5A;SETD6;SF3A1;SHC1;SIRPA;SLC19A2;SLC22A4;SLC35A1;SLC35A4;SLC7A7;SMARCAD1;SMPDL3B;SNX4;SSBP4;SSR1;SYPL1;TAF9;THOC1;TMCO6;TMEM165;TMEM59;TMIGD1;TUFM;UBE2D3;UQCRB;UTP18;WDR6;WDR75;XRCC6;YBX1;ZFYVE21;ZWINT
68	-14756.657628443092	0.12376463233136004	1446	GSE360_L_DONOVANI_VS_T_GONDII_DC_UP	standardscaler	decisiontreeregressor	copy=True;with_mean=True;with_std=True	ccp_alpha=0.0;criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=3;min_samples_split=17;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABCB8;ACSBG1;ACTN1;ADAM11;ADAM19;ADAMTS2;ADIPOQ;AHNAK;ALDH3B1;AMPD2;ANKRD28;ANXA2P1;ANXA9;APOBEC2;APOC2;APOC3;AQP4;ASIC1;ATRNL1;BAAT;BAP1;C1S;C8A;CACNA1E;CACNA1S;CAPNS1;CCDC181;CCND1;CCR4;CHRNA3;CHRNA4;CRHBP;CRTAM;CRYBA4;CTNNA2;CYLC2;CYP2C9;DGCR6L;DIS3;DNAH7;DNAJA3;DNAL4;EDN2;EIF3K;ENO2;ENTPD2;EPN2;ERLIN2;EYA2;FABP6;FANCC;FBXL2;FBXL5;FCN1;FGG;FIG4;FLOT1;FOLR2;FOXI1;FOXN1;FRAT2;G6PC;GAS2L1;GBX1;GFER;GJA5;GM2A;GMDS;GMFB;GNA15;GNAI3;GNAL;GNAQ;GPC1;HIST1H1A;HMX1;HOXA2;HOXB13;HOXC4;HSPB6;IL18RAP;IL2RB;INHA;INPP5D;ITGA8;KCNB1;KCNG1;KCNS3;KIF5A;KIFC3;KLHL35;KMT2D;KRT15;KTN1;LAMA4;LDB2;LEFTY2;LIMCH1;LITAF;LRRC17;MAFK;MAG;MBP;MMP24;MMP9;MUC7;MYH6;MYH8;MYL12B;MYOG;NCR2;NDUFA6;NEDD4;NIPAL3;NKX2-2;NPTN;NR3C2;NR6A1;NUDT3;NXPH3;OCA2;ODF2;OR5I1;OVOL2;P2RX6;PAX5;PCDHGA12;PDE9A;PEX11A;PHKG2;PLA2G7;PLG;PLIN2;PLXNB2;PPIH;PRDM2;PRKCH;PRM1;PTGER2;PTGES;PTK7;PTPN12;RAC2;RAD54L2;RASAL2;RLN2;RNF13;RNF6;RPE;RPL39L;RUNDC3B;SEC14L2;SFXN3;SLC16A4;SLC25A44;SLC2A1;SLC30A1;SMAGP;SMAP1;SMG6;SMR3B;SORBS2;SP4;SPAG6;SPAM1;SPOCK1;SPOCK3;SPTLC2;STON1;STX3;SYT11;SYT2;TACR3;TBC1D12;TBXAS1;TG;TLR5;TM4SF4;TMEM151B;TMEM251;TMEM262;TMPRSS15;TNFSF12;TTC9;UBL3;VSNL1;YIPF1;ZNF169;ZNF391;ZNF804A
39	-14699.55817015169	0.12339100736004043	2884	GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	addintercept-1	elasticnetcv		alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=1.0;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	ACTR2;ADAR;AEBP2;AGPAT4;ALDH18A1;APC;APOLD1;APRT;ARHGAP21;ARL4D;ARV1;ATG3;ATP2B2;AVEN;BRCA2;C10orf88;C19orf48;CAAP1;CALCRL;CARS;CCDC6;CCDC82;CCDC9;CCNF;CDK6;CDON;CENPM;CENPU;CHID1;CHML;CHST15;CLASRP;CNRIP1;CPM;CPOX;CPSF3;CRELD2;CRIP2;CS;CSGALNACT1;CTNNA1;CWC27;DAPP1;DCAKD;DCUN1D2;DDX6;DHRS3;DHX29;DHX33;DHX58;DNAJA4;DNAJB11;DNAJC2;DNAJC21;DUSP14;EED;EIF4G3;ELAC2;ELP5;EPS15L1;ERAP1;ESYT1;FAM120B;FAM129A;FAM204A;FAM91A1;FANCD2;FBXO31;FLT1;FPGT;FTSJ3;FUS;FZR1;G3BP1;GAA;GEMIN5;GNB1L;GNPDA1;GPAM;GRASP;HBP1;HNRNPA0;INO80E;INTS8;IPMK;KCTD13;KDM5A;KIFAP3;KLF10;KLF6;KNTC1;LARP1;LARP4B;LATS1;LIME1;LMAN2L;MAN2A1;MDC1;MKRN2;MRPL35;MYO5A;NCOA2;NFE2L2;NFKB1;NOL8;NRAS;NRF1;NSUN2;OMA1;OTUB2;OTUD6B;PA2G4;PCNT;PDCD7;PDE4DIP;PDLIM1;PHTF2;PLK1;POLE;POLR2F;POP1;PPM1F;PPM1G;PQLC3;PRKCH;PRKCQ;PSD2;PTCH1;PTPRC;PWWP2B;PYCR1;RAB14;RALGAPA1;RBM15B;RBMXL1;RCBTB1;RCN2;RFWD3;RGP1;RNPC3;RPRD2;RUNX3;RUVBL1;SACS;SATB1;SCO1;SCOC;SDHA;SEC11A;SEC63;SELP;SERPINC1;SET;SLC25A2;SLC45A4;SLC7A1;SMC5;SMG1;SNX11;SPRN;SRBD1;SRP72;SRSF10;STAT5A;SULF2;TBRG4;TDRKH;TMEM165;TMEM181;TMEM214;TMEM238;TMEM87A;TNFRSF10A;TRAK1;TRAM2;TRIM25;TRIM5;TTI2;TXNRD2;UPF2;USP14;UVSSA;VAC14;WDR31;WRB;XPOT;YWHAB;ZCCHC4;ZFP90;ZMIZ2;ZMYM4;ZWILCH
50	-14782.189825598256	0.12219407894703078	3001	GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN	standardscaler	decisiontreeregressor	copy=True;with_mean=True;with_std=True	ccp_alpha=0.0;criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=13;min_samples_split=17;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ACPP;ACTG2;ACTR10;ADORA2B;ADRA1B;AGFG1;AGO2;AKT2;AQP8;AQR;ARHGEF3;ARID3B;ARL6;ATF3;ATP6V0A2;ATP6V1E1;ATP6V1H;B3GNT2;BCAT1;BCL10;BID;BTG1;BTG3;C1orf43;C9orf85;CCL1;CCL13;CCL4;CCL7;CCND2;CCR1;CENPC;CHMP4B;CINP;CMTM3;COL4A3;COMT;CSF1;CSNK2A2;CUL3;CXCL14;DDX18;DIP2B;DNAJB6;DNAJC1;DUSP2;DUSP6;E2F5;EGR1;EGR2;EIF1;EIF2S1;ELL2;ERF;ETF1;F2R;FBXW11;FGD3;FGF3;FHL2;FIP1L1;FKBP1A;FNDC3A;FOS;FOSL1;FURIN;FYTTD1;GABARAPL1;GADD45B;GATA3;GCH1;GGNBP2;GIMAP4;GLI3;GOLGA7;HIST3H3;HMGCR;HNRNPLL;HSD17B12;IER2;IER3;IGF1;IKZF2;IL10;IL12RB1;IL13;IL4;IL5;IL6;IMP4;IQGAP2;IRF8;ITGAV;ITGB1BP1;JAK2;KCNN4;KCTD12;KLF13;KLHDC2;KPNA1;LAG3;LCP2;LTV1;MAGOH;MAP2K3;MAPK6;METAP1;MOB1B;MRPS2;MSMO1;MTDH;MYO10;NAB2;NCOA3;NFATC1;NFKB1;NFKB2;NFKBIA;NMD3;NOTCH1;NR4A1;NSMF;NTMT1;OSTC;OTUD7B;PDCD1;PELI1;PHLDA1;PIM3;PLA2R1;PLXND1;PPM1A;PPP2R2A;PRDM1;PROM1;PSMD11;PSMD8;PTPN1;RDH11;RELB;RHOQ;RMDN3;RNF149;RNFT1;ROCK2;RPL35;RRAD;RRS1;RXRA;RYR2;SDCBP;SEC23IP;SEMA7A;SEPT7;SFXN2;SH2D2A;SH3GL3;SLC25A19;SLC35A4;SLC41A1;SLC4A7;SLC7A7;SLFN12L;SPRED2;SRGN;SRXN1;ST6GALNAC4;STAT5A;TES;TFCP2L1;TGFA;TLE3;TMEM68;TNF;TNFSF8;TOLLIP;TOX4;TRAF4;TRAF5;TSPAN5;TTC39B;TUSC2;TYMP;UBALD2;USP38;VAPA;VCL;ZAP70;ZC3H11A;ZC3H12C;ZC3H14;ZFP36L1;ZFPM1;ZNF281
6	-15152.458417618447	0.11898208557598036	3860	GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_DN	addintercept-1	elasticnetcv		alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=1.0;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCA1;ABCC1;ABCC4;ABCE1;ABCG1;ACACA;ACKR3;ACSL1;ACTG1;ADAM17;ADAP1;ADSSL1;AIG1;ALDH1B1;ALG3;ALOX5AP;AMPD3;APOA1;ARHGAP24;ARL6IP1;ARSB;ATIC;ATP6V0A2;BAMBI;BCKDHB;BCL3;BID;BTBD19;BYSL;BZW2;C8orf58;CAMKK1;CAP1;CAPZB;CARM1;CASC4;CBX5;CCL17;CD83;CDC5L;CDK5RAP1;CDV3;CDYL2;CHKA;CHST11;CIPC;CLEC10A;COPS7A;COTL1;CR2;DANCR;DDX19B;DENND2D;DENND4B;DET1;DHX35;DNMT3L;DPH5;DTX1;EEF2K;ELAVL1;ELL3;EMID1;ENTPD1;EZR;FAM110A;FAM167A;FAM43A;FANCA;FGR;FKBP5;GABPB1;GALE;GALNT11;GART;GEMIN4;GIMAP7;GLYR1;GPR183;HDDC3;HEATR1;HES1;HIVEP1;HIVEP3;HLA-C;HS6ST1;IARS;ICAM1;IFT140;IL12RB1;INO80C;IRF1;IRF8;ITGAL;KCNQ5;KIFC3;LCP1;LMNB2;LTA;LYST;MCOLN3;MDN1;MGARP;MOGS;MTHFD1;MTHFD1L;MTRR;MYB;MYH10;NAT10;NBN;NEDD4;NFS1;NIFK;NME1;NOC3L;NOP10;NSUN2;NUP93;OVCA2;PANX1;PDCD1LG2;PDXK;PEAK1;PECR;PER2;PFAS;PFKP;PGLYRP2;PHF2;PIP4K2A;PLA2G7;PLBD1;PNMT;POLR3E;PPA1;PPCS;PVT1;PWP2;PXDC1;R3HCC1;RAB5C;RAI1;RAPGEF5;RASGEF1B;RCC1;RCL1;REPS1;RNPEP;RPUSD2;RRP15;SEMA4B;SEPT11;SF3A1;SGPL1;SHMT1;SIPA1L2;SLC23A2;SLC29A3;SLC2A3;SLC31A1;SLC44A1;SMAD3;SMYD2;SNX18;SPRED2;SUCLG2;TADA2A;TAF4B;TAGAP;TBC1D9B;TK1;TLE3;TM6SF1;TMEM26;TRAF3;TRUB1;TXNRD3;TYROBP;UBE2I;UBTD2;UCKL1;UPB1;URB1;VAV2;WDR5;XBP1;XXYLT1;ZNF239;ZNF600
88	-14580.253004479217	0.11300626503409654	3180	GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN	binarizer	decisiontreeregressor	copy=True;threshold=0.5	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=9;min_samples_split=5;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ADRA2C;ANAPC1;ANGPTL2;ANP32B;ASPM;ATIC;AURKB;B3GALNT2;BAZ1A;BLM;BRCA1;BUD31;C1orf61;CABLES1;CACNB2;CAMK4;CARD9;CASP3;CCDC150;CCDC167;CCDC59;CCNF;CDC20;CDC26;CDC45;CDCA4;CDCA5;CENPJ;CENPU;CHAF1A;CHERP;CHGA;CISD3;CMTM7;COASY;COQ10A;COQ4;CORO2A;CPSF4;CTNNBL1;CTPS1;DDN;DDX23;DIS3L;DLEU2;DLX6;DNAJC2;DNAJC9;DOK4;DSCC1;DTYMK;DUS3L;EBF3;EIF3B;ELAVL1;EMC8;ENTHD1;EPB41L2;ERLIN1;ESF1;EZH2;FAM43A;FEN1;FETUB;FOXRED2;FUS;GGA2;GLO1;GNL2;GNL3;HADH;HAUS8;HMBS;HMGXB4;HNRNPM;HPGD;HSCB;HSP90AA1;ING5;INVS;ITGB3BP;JADE1;JMJD6;KNTC1;KPNB1;LRRC59;MALSU1;MCM10;MCM2;MCM5;MCM8;MGME1;MIS18A;MRPL37;MRPS34;MTCH1;MTFP1;NCAPD2;NCAPG2;NDE1;NOM1;NOP56;NOTUM;NPRL2;NRP1;NUCKS1;NUP43;NUP85;NUP88;NUSAP1;OGFOD1;OLFM1;PATL1;PGP;PHF19;PINX1;PMS1;POLA2;POLQ;POU5F1P4;PPAN;PPIF;PPP6C;PRPF3;PRPF4;PRR11;PSMC3IP;PSRC1;QKI;RBCK1;RBM17;RBM33;RECQL4;REEP4;RFC4;RPRD1A;RRM1;RSL1D1;RUVBL1;RWDD1;SART3;SAV1;SERTAD4;SF3B3;SIVA1;SKA1;SLC1A5;SLC25A38;SLC29A1;SMCR8;SNCA;SNHG10;SNRNP25;SNW1;SP1;SPAG5;ST3GAL4;STARD7;STK39;TARBP2;TBC1D2B;TCF19;THAP11;TICRR;TIMELESS;TIMM50;TJAP1;TLE1;TMEM109;TOE1;TOR3A;TRIM29;TRIM59;TTF1;TTLL12;U2AF1;UBE3D;UNG;VPS37A;WDR4;XRCC5;ZNF394;ZNF426;ZNF536
37	-14708.736077033318	0.11271318017612035	951	GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_DN	robustscaler	linearsvr	copy=True;quantile_range=(25.0, 75.0);with_centering=True;with_scaling=True	C=0.001;dual=False;epsilon=1.0;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	AARS;ABCB8;ABHD14A;ACADVL;AMH;AMPD1;ANG;ANXA2P2;ARFGAP3;ARHGEF16;ASB6;ATF5;ATOX1;B4GALT3;B4GALT4;BET1L;BHLHE41;BLVRB;BSCL2;CAV1;CD14;CD27;CD38;CDKN1A;CELA2B;CFLAR;CITED2;CKAP2;CKAP4;CLCC1;CLIC3;CNPY2;COL7A1;COMMD3;COMT;COPG1;CRELD2;CST3;DCPS;DERL2;DEXI;DNAJC1;DNAJC3;DNASE1L2;DNASE2;DPAGT1;EHD4;ERCC2;ERGIC2;EXT1;FAH;FBP1;FER1L4;FICD;FNDC3B;FZD2;GAMT;GARS;GBAP1;GBX2;GJA3;GLT8D1;GMPPA;GP1BB;GPR25;HAX1;HOMER3;HSD17B8;HSPA13;HYOU1;IDH2;IDUA;IFI6;IFNAR2;IGF1;IGHA1;IGLV4-60;IMPDH1;ISOC2;ITFG1;ITGA6;ITM2C;KCNG2;KDELR1;KDELR2;LGALS1;LIME1;LMF1;LMNA;LRRC59;LY96;MACROD1;MAN1A1;MANEA;MAPK12;MAPKAPK5-AS1;MAST1;MBNL2;MDK;MGAT1;MIP;MIR22HG;MPC1;MZB1;NAGLU;NENF;NEU1;NFKBIL1;NME1;NMRK1;NT5DC2;NUCB2;OPTN;ORMDL2;P4HB;PCCB;PCDHGA10;PDIA4;PDK1;PDXK;PEX10;PGRMC2;PLA2G15;PODXL2;PREB;PROC;QPCT;QPRT;RAB40B;RALGDS;RAPGEF2;RCN1;RORA;RPN1;RPS6KB2;RRAD;RRBP1;RRP1;RTN3;RUNX1;SAMSN1;SAR1B;SCT;SDC1;SEC14L1;SEC23B;SEC24A;SIL1;SLAMF7;SLC1A4;SLC25A4;SLC35B1;SLC39A7;SLC3A2;SMPDL3B;SPAG4;SRGN;SRM;SRPRB;SSR3;ST6GALNAC4;STT3A;TBL2;TFG;THEMIS2;TIMP2;TM7SF2;TM9SF1;TMCO1;TMEM208;TMEM214;TNFRSF17;TONSL;TOR3A;TP73;TPM4;TPSD1;TRAM2;TRIB1;TUBB2A;TYMP;UAP1;UBA5;VKORC1;VSX1;WIPI1;WNT4;XBP1;YIPF2;YIPF5;ZBTB32;ZBTB38
