Replicate	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
63	-14478.541383418682	0.13657187938931634	2808	GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_UP	binarizer	decisiontreeregressor	copy=True;threshold=0.2	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=18;min_samples_split=4;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABHD12B;ACYP1;ADAM28;ADAMTS19;ADCYAP1;ANKS4B;ARL4C;AS3MT;AVIL;BCO2;C1orf21;C1orf87;C2orf74;CACNA1G;CARD6;CBY3;CCDC182;CD247;CFI;CGREF1;CHAT;CHRNA7;CLDN11;CNIH2;COL8A2;CREBL2;CTNNA3;CX3CR1;DDX23;DEFB123;DHODH;DIP2A;DISP2;DUSP13;EDNRA;EGF;ELFN2;ERICH5;ESM1;EVL;FAM117A;FAM184A;FAM24A;FAM71F1;FCGRT;FOXH1;GPR157;GPX8;GSC2;GZMA;HCRTR1;HECTD2;HGF;HHATL;HNF4A;HRH1;HTR1F;IFI27L2;IHH;INHBB;JAK1;JPH3;KCNA7;KCNJ8;KLHL36;KRTAP1-5;KRTAP5-1;L1TD1;LAMA4;LCE1D;LOXHD1;LRRC75B;MANSC4;MAP3K6;MEIS3;METTL23;MGAM;NAGS;NAT8B;NKX2-1;NKX2-5;NPAS2;NTSR2;NUP210L;NXPH1;OR10G4;OR13A1;OR14A2;OR2A25;OR2AP1;OR2J3;PATL2;PAX3;PCDHB6;PCYOX1L;PDGFB;PIM3;PLCH2;PLG;PPP1R3E;PREX2;PRL;PROX2;PRR23B;PTGES2;PTTG1IP;PVALB;RABEP2;REG1A;RFNG;RGS11;RRP9;S1PR5;SBNO2;SCNN1B;SDK2;SEC14L2;SEMA3C;SHF;SIGLEC15;SLC22A23;SLC41A3;SLC5A4;SORCS2;SPN;SPR;SRL;SSPN;SULT4A1;SYPL2;TCF3;TCP11;TIGD3;TMEM211;TMEM237;TMEM249;TMEM37;TMPRSS9;TNFAIP8L3;TPPP3;TRNP1;TRPM2;TSKS;URM1;USH2A;USP46;VN1R4;VPREB1;ZBTB16;ZEB2;ZNF575
62	-14994.538431665813	0.09271595260375018	4864	GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP	binarizer	decisiontreeregressor	copy=True;threshold=0.75	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=4;min_samples_split=17;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABCA4;ABL1;ACAA1;ACAT2;ACBD4;ADAM33;ADAMTS6;AGFG2;AGTR1;AHSP;ANGPTL2;APCDD1;APH1B;ARVCF;ATP8B2;BANK1;BMF;BMP4;BTBD2;BTNL9;C11orf95;C12orf49;C16orf70;C17orf75;C1orf100;C4orf47;CAMKK1;CANT1;CBX2;CCDC61;CD248;CD300LG;CD5L;CENPH;CENPP;CHDH;CHRDL2;CHST12;CLDN22;CNIH2;CNTLN;COMMD9;COX6B2;CPT1C;CTIF;CUBN;CYB561A3;CYP27A1;CYP2E1;CYP2F1;DDAH2;DHODH;DLG2;DLK2;DYNC2LI1;DZIP1L;ECHDC3;EDEM2;EGLN2;EMCN;FABP4;FAM83D;FGD5;FGFR2;FKBP1B;FMO5;FZD2;GANC;GJA4;GLIS2;GNPDA1;GREB1L;GRIK5;GRK4;GTF3C1;HCAR1;HOXB3;HOXD9;HS1BP3;HSCB;IFT140;IFT46;IL20RB;INHA;INTS9;ISLR2;KCNC1;KLF15;LAMA1;LASP1;LENG8;LGI4;LHFPL4;LOXL3;LRRC17;LTC4S;LYPLAL1;MAP6;MARVELD1;MAVS;MERTK;MESP2;MFSD11;MFSD12;MITF;MMP11;MMS19;MRGPRF;MYO7A;NDE1;NICN1;NOVA1;NPEPL1;NPR2;NT5C2;OLFML1;OSR2;OXTR;PABPC4L;PAQR4;PBLD;PCSK7;PEPD;PLEKHA7;PLEKHG5;PLEKHH3;POLI;POU4F1;PROCA1;PRR12;PXMP4;PYGB;RASGRF2;RDM1;RHEBL1;RUNX1T1;SESN1;SFXN3;SIRT2;SKA2;SKI;SLC25A23;SLC27A1;SLC29A3;SLC38A9;SLC45A3;SLC46A3;SNCAIP;SNN;SNX21;SNX33;SPICE1;SPOCK2;SRGAP3;STC2;SYT17;TBL2;TCF19;TFAP2E;TM7SF2;TNFRSF25;TNRC6C;TP73;TRIM37;TRMU;TRPC3;TTC12;TTC21B;TTC38;TUSC2;TYK2;UCN2;USP54;VHL;VPS33B;WDR90;YPEL4;ZBTB8A;ZFP30;ZFYVE19;ZHX3;ZNF862
44	-15717.373263678868	0.03975334753552493	2808	GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_UP	binarizer	decisiontreeregressor	copy=True;threshold=0.8	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=10;min_samples_split=18;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABHD12B;ACYP1;ADAM28;ADAMTS19;ADCYAP1;ANKS4B;ARL4C;AS3MT;AVIL;BCO2;C1orf21;C1orf87;C2orf74;CACNA1G;CARD6;CBY3;CCDC182;CD247;CFI;CGREF1;CHAT;CHRNA7;CLDN11;CNIH2;COL8A2;CREBL2;CTNNA3;CX3CR1;DDX23;DEFB123;DHODH;DIP2A;DISP2;DUSP13;EDNRA;EGF;ELFN2;ERICH5;ESM1;EVL;FAM117A;FAM184A;FAM24A;FAM71F1;FCGRT;FOXH1;GPR157;GPX8;GSC2;GZMA;HCRTR1;HECTD2;HGF;HHATL;HNF4A;HRH1;HTR1F;IFI27L2;IHH;INHBB;JAK1;JPH3;KCNA7;KCNJ8;KLHL36;KRTAP1-5;KRTAP5-1;L1TD1;LAMA4;LCE1D;LOXHD1;LRRC75B;MANSC4;MAP3K6;MEIS3;METTL23;MGAM;NAGS;NAT8B;NKX2-1;NKX2-5;NPAS2;NTSR2;NUP210L;NXPH1;OR10G4;OR13A1;OR14A2;OR2A25;OR2AP1;OR2J3;PATL2;PAX3;PCDHB6;PCYOX1L;PDGFB;PIM3;PLCH2;PLG;PPP1R3E;PREX2;PRL;PROX2;PRR23B;PTGES2;PTTG1IP;PVALB;RABEP2;REG1A;RFNG;RGS11;RRP9;S1PR5;SBNO2;SCNN1B;SDK2;SEC14L2;SEMA3C;SHF;SIGLEC15;SLC22A23;SLC41A3;SLC5A4;SORCS2;SPN;SPR;SRL;SSPN;SULT4A1;SYPL2;TCF3;TCP11;TIGD3;TMEM211;TMEM237;TMEM249;TMEM37;TMPRSS9;TNFAIP8L3;TPPP3;TRNP1;TRPM2;TSKS;URM1;USH2A;USP46;VN1R4;VPREB1;ZBTB16;ZEB2;ZNF575
61	-16077.024191509507	0.03417997144036113	1498	GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_UP	binarizer	kneighborsregressor	copy=True;threshold=0.6000000000000001	algorithm=auto;leaf_size=30;metric=minkowski;metric_params=None;n_jobs=None;n_neighbors=23;p=1;weights=uniform	ABCB1;ACRV1;ACTN1;ADCY3;ADCYAP1;ADM;AIMP2;ALDH1B1;ALDH1L1;ANK3;ARHGDIB;ATF6;ATMIN;ATOX1;ATP2A2;ATP6V0E1;BAAT;BANF1;BAZ1B;BBS9;BMP6;BRAP;BRINP1;C6orf47;CAP1;CARD10;CCNB1;CCS;CD163;CD6;CDH5;CHMP2A;CLTB;COL16A1;COX6A1;CP;CRABP2;CROT;CXCR2;CXCR4;CYP2C18;CYP51A1;DAXX;DBP;DIAPH1;DIP2C;DNAJC16;DNAJC8;EIF3G;EIF4A1;ERCC2;ERCC4;ERP29;FAM168B;FAM216A;FBLN1;FCN1;FKBP4;FNBP4;FXR2;GABRB2;GALK2;GAS6;GCDH;GNPAT;GNS;GOLGB1;GTF2B;H2AFZ;HARS2;HIST1H2BF;HIST1H2BI;HMGCS2;HSBP1;HSPA6;HTT;ICAM3;IDUA;IFI16;IGSF6;IL1RN;IRF7;KAT6A;KATNB1;KCNB2;KHSRP;KIF3C;KMT2D;LCE2B;LSAMP;M6PR;MAN2B2;MAPKBP1;MBOAT7;MISP;MPHOSPH8;MSH3;MSMB;MTHFS;MUC4;MX2;MYCL;MYO1F;MYRIP;NADK;NBR1;NCBP1;NDUFS1;NFKB1;NOP16;NR1H2;NUP188;ORC4;OXSR1;PAEP;PARK7;PC;PCDHB11;PCM1;PCSK5;PFDN1;PGD;PIAS4;PIK3R3;PLCG1;PLCG2;PLEKHB1;PLIN2;PMP22;PPBPP2;PPIF;PPP1R10;PRKCB;PRRC2B;PSMB6;PSMC3;PSMC3IP;PSMD8;PTPN9;QSOX1;RAB3GAP1;RABGGTA;RALB;RASSF2;RBM17;RELN;RGS16;RNF14;SAP18;SCAMP3;SCN4A;SERPINB1;SHBG;SIPA1;SKAP2;SLC43A1;SMARCC1;SPA17;SPC25;SRRD;SSNA1;STIP1;SVEP1;SYN3;TAF11;TALDO1;TCP1;TLE2;TNK2;TRIM21;TRIM44;TSPAN31;UBE2N;UBE2V2;UCHL1;UQCRC1;USP5;VAMP2;XPNPEP1;ZBTB48;ZHX2;ZHX3;ZNF207;ZNF263
14	-15319.741148614203	0.02807278450528956	1758	GSE6269_STAPH_AUREUS_VS_STREP_PNEUMO_INF_PBMC_UP	binarizer	decisiontreeregressor	copy=True;threshold=0.75	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=13;min_samples_split=3;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	AAR2;ABCF2;ABCG1;ACADS;ADCY3;AKIRIN1;ALDH1B1;ANTXR1;ARHGAP44;ARHGEF4;ARPC2;ASPSCR1;ATP1B1;B3GAT3;B9D1;BABAM1;BBS7;BCAR3;BMP2K;BOP1;BTBD7;C16orf71;CACNA1B;CASKIN2;CDK12;CFB;CLCN7;CLN8;CNGB3;COX6B1P3;CRYBB2;CSRP2;CTIF;CTSF;CXCR6;DCAF13;DDX17;DHODH;DLX2;DNTT;EIF2AK2;EIF3F;ELL;ERAP1;ESR1;ETV2;ETV5;FBN2;FBXO11;FDX1;FHOD1;FIBP;GNG4;GPC1;GPR39;GPX3;GUK1;HDC;HERC5;HGF;HLA-B;HRAS;IFT52;IGFBP6;IL18BP;IL1RAP;ILVBL;INSL6;IPPK;KCND3;KCNJ12;KIAA0895;LAMA4;LAMP3;LILRP2;LINC00963;LMO1;LPAR2;LPIN2;LSM4;MAF;MAP7D1;MDH2;MEG3;MET;MFN2;MSH5;MTAP;MTMR12;NAP1L1;NBL1;NEURL1;NF1;NR1D2;NRIP2;NRP1;NTAN1;NUDT2;OCM2;OPTN;PARP11;PKD1;PLA2G1B;PMF1;POM121;PPFIBP1;PRSS1;PRSS23;PSMB1;PTN;PYCR1;RAB40B;RABGAP1;RAE1;RALGPS1;RARB;RCN1;RERE;RFC2;RHBDD3;RIBC2;RPS6KA2;RUNX1T1;SCARF1;SCRN1;SDC4;SEPT10;SEPT8;SERPINB9;SIRT3;SLC18A3;SLC26A4;SNAPC2;SNHG17;SPATA2L;SPTLC3;SSH1;ST3GAL6;ST8SIA1;SYT11;TACSTD2;THAP9;TIMM23;TM7SF2;TMEM9B;TOMM40;TOR3A;TRBV10-2;TRIM14;UBE4B;UTS2;VENTX;WDR76;WIPI2;WWC2;ZBTB7C;ZFP36L1
64	-16455.606654032767	0.027324886494083645	3428	GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_DN	binarizer	lassolarscv	copy=True;threshold=0.35000000000000003	copy_X=True;cv=None;eps=2.220446049250313e-16;fit_intercept=True;max_iter=500;max_n_alphas=1000;n_jobs=None;normalize=False;positive=False;precompute=auto;verbose=False	ABCC1;AIG1;AKAP1;AKAP12;AKIRIN1;ALDH18A1;AMPD1;ARHGAP31;ASH2L;ASNA1;B2M;B4GALNT1;BEND3;BID;BMP7;BPNT1;BTF3;C12orf49;C1orf21;CARD6;CCDC43;CD34;CD5;CECR2;CHAMP1;CHIC2;CMPK1;CNTNAP2;COIL;COPB2;CPSF2;CTDP1;CTXN1;DAD1;DDX21;DNAJB11;DNAJB2;DNMT3A;E2F1;EEA1;EGLN3;EHD3;EHD4;EIF2B5;ELK4;ELL2;EMC6;ERC1;ETF1;EVL;FAM102A;FBL;FBLN2;FBXO21;FBXO45;FGFBP3;FTL;G3BP1;GAK;GARS;GNB1;GNPDA1;GPATCH2L;GSR;HNRNPA0;IER5;IFIH1;IGF2BP3;IRAK3;ISY1;KLF2;L3MBTL3;LEO1;LITAF;LRRC8D;LUZP1;LYSMD2;MAP2K6;MAPRE2;MGAT2;MIEF2;MRPL11;MRPL54;MYBL1;MYO18A;MYO7A;NAV2;NCOA7;NDFIP1;NDUFB5;NDUFB7;NFIL3;NOLC1;NOTCH3;NRBF2;NRP1;NSMCE4A;NSUN2;NUBP2;ODC1;P2RY12;PABPC4;PAK1;PGD;PGM1;PHACTR2;PLOD2;PMEPA1;POLR2F;POLR2M;PPAT;PPM1D;PPP1R2P1;PPP2CA;PPP3CA;PPP4R2;PRKCH;PSMC5;PTPN22;RAB19;RAMP3;RHOA;RNF149;RNPEP;RRP15;RTN4;RTP4;SCAMP1;SDAD1;SDHC;SEC13;SERTAD4;SH3GL3;SIAH1;SLAIN1;SLC22A2;SLC25A51;SLC35B1;SLC46A3;SLC9A9;SMAD3;SMAD7;SPATA13;SRSF12;ST8SIA1;STAT1;STK4;SUCLG1;SUPT4H1;TES;TLE1;TLE4;TMEM248;TNK2;TOMM7;TOR3A;TPD52L2;TRIM26;TRMT44;TRMT6;TSHZ1;TSPAN31;TSPYL4;TSR1;TUBA4A;TXNL4B;UBE2J1;UBE2T;WDR18;YBX3;YTHDF2;ZC3H14;ZFP36L2;ZMYND8;ZNF518B;ZNF652;ZNF827;ZPR1;ZSCAN20
25	-17222.21389421563	0.026370048093472077	3872	GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_UP	maxabsscaler	linearsvr	copy=True	C=20.0;dual=True;epsilon=0.1;fit_intercept=True;intercept_scaling=1.0;loss=epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	ADAM17;ADD1;AKAP6;ANXA8;ARHGAP10;ARHGAP18;ASH2L;ASRGL1;ATP11B;BAIAP2;BCAR1;BEND6;BMPR1B;BRINP3;C1orf21;CALU;CBX8;CEP85L;CHCHD7;CHIT1;CLDND2;CLGN;CNST;COMMD10;COMMD3;CPNE2;CPSF3;CRYZL1;CSN3;CSNK1G1;CUX1;DARS;DENND3;DIO2;DNAH5;DNAH9;DNAJB5;DPPA2;DSE;DTYMK;DUSP22;DUSP3;DYNLL2;EBF1;EFCAB2;ENPP2;EPAS1;EPS8L1;EVL;EXTL3;FAT1;FLNB;FUCA2;GCA;GDE1;GFOD1;GOSR2;GPM6A;GPR141;GSTK1;HDLBP;HEXIM2;HMGXB4;HYDIN;IDH1;IGF1;IMMT;INO80C;IRF8;JKAMP;JMJD4;KCNJ15;KCNQ5;KDELR3;KIAA1549;KIAA1841;KLF12;KLHL11;KYNU;LASP1;LOXL2;LPAR2;LYPLAL1;LYRM7;MAGI3;MAP4K5;MMD;MPRIP;MRPL16;MRS2;NAGLU;NCKAP1;NDUFV1;NMT2;NRCAM;NRP1;NUCKS1;NUP50;NXPE1;OBP2B;OSBPL5;OXSR1;PANX1;PASK;PDCL;PDGFB;PIK3R3;PIK3R6;PIPOX;PKP2;PLAG1;PLOD1;PNLIPRP2;PPIP5K1;PPP2CA;PRF1;PRR5;PSMC4;PTBP3;PTPRG;RALGPS1;RCBTB1;RELL1;RNF43;ROS1;S100A4;SAMD3;SATB2;SCD;SCPEP1;SDF2L1;SEPT10;SEPT11;SERTAD2;SGK1;SH2D2A;SLC16A1;SLC19A2;SLC22A15;SLC27A6;SLC38A6;SLC38A8;SLC4A8;SNAP47;SPATS2;SPG21;SPNS3;SPRY2;STAG1;STEAP3;STT3B;STXBP1;SYCP3;SYNE2;SYTL3;TAF2;TALDO1;TAX1BP3;TBC1D1;TESPA1;TGFBR1;TLN2;TLR4;TMEM109;TMEM171;TMEM18;TPM4;TRA2B;TTLL1;USP37;UST;VEGFB;VEZF1;VIM;WDR20;WWTR1;YWHAQ;ZMIZ1
11	-16256.002085603624	0.02582335944912011	4438	GSE40184_HEALTHY_VS_HCV_INFECTED_DONOR_PBMC_DN	binarizer	elasticnetcv	copy=True;threshold=0.5	alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=0.9;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	AAAS;ABI3;ACADL;ACAP1;ADM2;ADTRP;AEBP2;AGFG2;AKAP10;ALKBH7;ANAPC2;APLP1;ARID5A;ARL15;ARPC4;ART5;ASB2;ATG5;ATG7;ATP2B1;ATP6V0A2;BANF1;BHLHE40;BICD2;BYSL;C15orf48;CAPG;CCDC102A;CCDC12;CCDC124;CD4;CHADL;CIAPIN1;CLINT1;COASY;CREB3L2;DCLRE1C;DDOST;DDX42;DENND4C;DLGAP5;DMRT1;DNAJC15;DNAJC4;DYM;EIF3F;ELOF1;EPB41;ETV5;EVL;F2R;FAM110A;FAM13C;FAM160A2;FASTK;FBXW4;FKBP2;FKBP8;FLT3LG;FURIN;FYCO1;GABARAPL1;GCNT2;GLDC;GLIPR2;GNG2;GNPTG;GPBP1L1;GPC1;GPC5;GPI;GRINA;HS3ST3B1;ICAM5;IFNG;IL12RB2;IL18RAP;IL2RA;INF2;IRAK2;IRAK3;ITGB3;ITGB7;JAZF1;KANSL1;KATNB1;KCNK7;KLRD1;LCMT1;LGALS3BP;LY6E;MAP2K2;MAP4K1;MB21D2;MBD5;MED10;MFSD10;MICAL1;MLF2;MOB2;MRPL23;MRPS28;MSANTD3;MYLK3;MYO1G;NDUFS3;NRAS;NRBP1;NUCB1;OPTN;OR2T33;PCIF1;PCYT2;PGM2;PIEZO1;PIP5K1A;PITPNA;PLAGL2;POLR2I;PPP3CC;PRDM1;PRDM4;PYGL;QPCT;RABGAP1L;RAMP1;RCBTB2;RDX;RELB;RIOK1;RWDD1;S100A6;SAYSD1;SDC4;SEC23B;SEC24D;SERPINB1;SGCB;SH2B1;SH2D2A;SHISA2;SLC12A7;SLC35A4;SLC39A8;SLC45A4;SLC4A1;SLC52A3;SMURF1;SNCAIP;SNF8;SRGN;SRI;STK24;SURF4;SYTL2;TAP2;TBC1D9B;TBX20;TECPR1;TES;TESC;TEX2;TM2D2;TMED3;TNFSF10;TNNC1;TOR4A;TP53I13;TPGS1;TPI1;TRIM67;TSHZ1;TUT1;UBE2M;UBE2Q1;UGT8;UPF1;UPF3A;UXS1;WDFY1;WNK1;WRN;YIPF3;ZMAT2;ZMAT5;ZMYND8;ZNF652;ZNF687;ZNF740;ZNF76
7	-16488.288780586045	0.02380121608296515	2749	GSE13887_RESTING_VS_NO_TREATED_CD4_TCELL_DN	binarizer	decisiontreeregressor	copy=True;threshold=0.15000000000000002	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=9;min_samples_split=15;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ACTA2;APOL3;ARRDC5;ATL2;ATP6V1C1;BAG1;BIVM;BRD8;C1D;C1orf158;CBR4;CCDC18;CCDC73;CCDC81;CD320;CD38;CD44;CD59;CDKL1;CDKN2AIP;CENPF;CRHBP;CTSD;CX3CR1;DENND6B;ECI2;ETFA;FAS;FBXW11;FBXW12;FDFT1;FGGY;FLVCR2;FOLR2;FPR3;GAS2;GEMIN4;GPR160;GRIK2;GZMB;HIST1H3D;HMBS;HYLS1;IDH1;IDI1;IFNB1;ITGB8;KLC2;KLRB1;KPNA6;KRTAP5-2;LAT2;LCN8;LYN;MED21;MMP12;MYH8;NAPB;NIPSNAP3A;NKG7;NLRP4;NPR3;NSMF;OPN3;OR2C1;OR51E1;OR5B2;OR5T1;OR8H3;PAX6;PCDHB6;PCLO;PDE6A;PEX3;PLA2G3;POLB;PPP1R2;PRKG2;PTRHD1;RAB18;RAB27B;RALBP1;RER1;RGS18;RGS9;RNF25;RNF5;RPL19;RPL29;RPS18;S100A10;SARNP;SCD;SERINC3;SERPINE2;SH3GL3;SLC41A2;SLC4A4;SMYD4;SNTG2;SPATC1L;SPRY2;SRBD1;SUB1;TBC1D7;TERF2IP;TEX9;TMEM14A;TPM1;TPRG1;TRA2A;ZMAT2;ZNF226;ZNF296
57	-16330.029388595754	0.01684928578757052	1944	GSE557_WT_VS_I_AB_KO_DC_UP	addintercept-1	elasticnetcv		alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=0.9500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.001;verbose=0	ABCD4;ABHD17B;ABHD2;ACAA1;ACSS1;ADI1;ADORA3;AFP;AKAP7;ANGEL1;ANKRA2;AP3M2;AP5Z1;ARID4B;ARL14EP;AS3MT;ASAP2;AZI2;BACE1;BIVM;BLOC1S2;C3orf33;C4orf47;CACNB4;CAPN5;CCDC125;CCDC28A;CCDC62;CCNJ;CCR5;CD151;CDC42SE1;CDIP1;CDK10;CERS2;CLIC4;CLK2;CNPY3;COMTD1;CRELD1;CYLD;DCXR;DENND1C;DENND6B;DHX33;DOCK2;DOK3;DUSP12;EARS2;EHBP1;ELAC1;EPS15;ERI3;ETV3;EXTL2;FAM111A;FAM120AOS;FAM149A;FAM193B;FBXL4;FBXO38;FLAD1;GANC;GLO1;GML;GNE;GOLGA5;GOLM1;GPR137;GPR183;GRINA;GTPBP2;HDDC2;HLA-DOA;HSH2D;IFFO2;IFNAR1;INPP5F;IP6K1;ITPK1;KIAA1211L;KLF12;KLHL17;KLHL22;KYNU;LAMTOR3;LDLRAP1;LPCAT1;LRRC61;MANBA;MAP7;MCCC1;MCL1;METTL1;MIA3;MMP24;MOSPD3;MTMR4;NCDN;NDFIP1;NEB;NFS1;NID1;NOXRED1;NRDE2;NUP160;OAS2;ORAI3;OVCA2;PAN2;PARD6G;PARP2;PDLIM2;PDLIM5;PFDN5;PPFIBP2;PREB;PRKAB2;PTGER4;PTPN18;PTPN6;PTPRE;PUS3;PXN;RAB12;RAB33B;REEP5;RGP1;RNF123;RWDD4;SBSN;SEPT9;SHARPIN;SLC20A2;SLC35A1;SLC35B3;SLC35C2;SLC36A2;SLC43A2;SNX2;SNX33;SPAG9;SPTBN1;ST6GALNAC3;STARD10;STAT6;STX16;TBK1;TCEA2;TEP1;TEX2;TG;TMC4;TMEM147;TMTC2;TNFAIP8L2;TNFRSF13B;TOM1L2;TOR4A;TRAF1;TRIM24;TRIM7;TRIP11;TRMT1;TSHB;TSPAN15;TSPAN2;TSPO;TTC14;UBR1;UNC50;VPS37B;WDR11;YOD1;ZBTB18;ZFP14;ZFP28;ZKSCAN8;ZNF808;ZYG11B
