Permutation	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
57	-0.6262239867570772	0.17763303598670632	3518	GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_DN	maxabsscaler	linearsvr	copy=True	C=0.1;dual=True;epsilon=0.0001;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.0001;verbose=0	ADAM23;ADARB1;ADCY10;ADD3;ADI1;ADPRM;ALLC;ANKRD55;ARF6;ATP2B4;BIRC3;CA2;CA7;CACNB3;CALM3;CBFA2T3;CD83;CDCP1;CENPU;CHRM5;CLCA3P;CLDN1;CLPB;CNNM2;CNTNAP3B;CREG1;CRIP1;CSTB;CYB561;CYP1B1;DAO;DDR2;DEFA6;DHX15;DIRAS2;DNAH6;DPYD;ECHDC2;EFNA3;EIF4G3;ELK3;EPB41L3;EPHA2;EPS8L1;ERLIN1;ESPL1;EXD2;FAM174B;FBXL2;FBXO34;FDXR;FGGY;FHIT;FKBP10;FLNB;GAL3ST4;GAPDH;GCK;GFRA1;GINS2;GLS2;GNA14;GNA15;GNAI1;GPA33;GPHN;GPR183;GRB10;GRK5;GRM3;GRSF1;HERC5;HES1;HPGD;HTR2B;ICA1;IER3;IFT52;IL15RA;IL1R2;IL21;IL36G;IL4R;IL6R;INSL6;KANK1;KBTBD11;KIF3C;KLF3-AS1;LGALS9;LGR5;LRRC75B;LY86;MAP4K4;MCC;ME3;MLEC;MMP9;MSRA;MSRB2;MXI1;NCF4;NDST3;NEK3;NEK7;NET1;NFATC1;NFKBIA;NFRKB;NPL;NTRK2;OPN1SW;PBK;PDE8B;PFKL;PGAP3;PLCL1;PLEK2;PLIN2;PLK3;PLSCR1;PRKCA;PSORS1C2;PTGIR;PTGS2;PTPRM;QPCT;RAB14;RAB32;RAPGEFL1;RASA1;RBMS3;RCBTB2;REEP1;RIMBP2;RIN3;RNASE6;RPL7;RSAD2;RYR1;S100A11;SCP2;SEC24D;SEMA3C;SERPINE2;SLC19A2;SLC20A2;SLC31A1;SMAD3;SMCO4;SNX1;SOCS2;SOX2;SP110;SPATS2L;SPRY4;SRGAP3;STAT5A;STAU1;STK32B;STK39;TIMELESS;TIMP4;TMOD2;TNFRSF4;TNFSF10;TNFSF11;TPD52;TPM2;TRAT1;TREM1;TRIB1;TUB;TUBA1B;TUFT1;USP15;VCL;WIF1;YES1;ZNF195;ZNF215;ZNF821
61	-0.6155075320372778	0.1690469355650191	223	GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN	normalizer	decisiontreeregressor	copy=True;norm=l1	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=15;min_samples_split=5;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	A1BG;ACSM3;ADAP1;ADAP2;ANKRD39;AP5S1;ARL2BP;ARL5A;ARPC1A;ATP6V1C2;B4GALT7;BATF3;BCL7B;BCL7C;BID;BRI3;C16orf71;C17orf49;C2orf68;C4orf48;C7orf50;CDC42EP5;CELA1;CHST8;CIDEB;CISD3;COX20;CPSF4;CRTAP;CTDNEP1;DAP;DEAF1;DHRS12;DNAH17;DNAJC22;DUSP23;DUSP3;EEF1B2;EEF1D;EIF3L;EIF4B;EPHB4;FAM189B;FAM200B;FAM57B;FOLR3;GDE1;GNG5;GPR12;GPX4;GTF3A;GUK1;HILS1;HOXB1;HPCA;IFT20;IGDCC3;IGLON5;IMPDH2;JTB;KCNJ10;KDELR2;KRBA2;KY;LAMTOR1;LINC01137;LSM10;LSM12;LST1;LZIC;MAPK11;NDUFAF3;NDUFB10;OR3A3;ORAI2;ORMDL1;OST4;PABPC1;PABPC4;PARP6;PDCD5;PDIA2;PIGY;POP7;PRMT2;PTP4A2;PTPN18;PTPRO;QARS;RNF7;RPL10L;RPL11;RPL12;RPL13A;RPL17;RPL18;RPL19;RPL21;RPL23;RPL23A;RPL30;RPL32;RPL35;RPL36;RPL39L;RPL4;RPL8;RPLP0;RPLP1;RPLP2;RPS10;RPS10P5;RPS11;RPS12;RPS13;RPS14;RPS15A;RPS18;RPS25;RPS3;RPS5;RPS6;RPSA;RPUSD1;RWDD1;SDF2L1;SERP1;SIGLEC17P;SLC25A51;SLC29A4;SLC35D2;SLC4A5;SLC9C2;SMIM12;SMIM20;SNX3;SPG21;SSNA1;SSU72;ST6GAL2;STX10;SURF1;SYS1;TAL2;TBPL1;TMEM134;TMEM141;TMEM147;TMEM219;TMEM222;TMEM42;TMIGD2;TRAF7;TRAPPC3;TYW3;UROS;VHL;YBX1;YPEL3;ZDHHC4;ZFYVE21;ZNF32;ZNF511;ZNF688;ZNF91
2	-0.646885252682193	0.15904770636653714	3514	GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN	pca	linearsvr	copy=True;iterated_power=2;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	C=0.001;dual=True;epsilon=0.0001;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	AAAS;ACSBG1;AEBP1;AKAP3;AKIP1;ANGPTL3;ANKRD36BP2;APOM;ARL4A;ASF1B;ATAD5;ATP2A1;BRCA1;CAPN10;CC2D1A;CCHCR1;CCNB2;CCNF;CD1A;CD1B;CD1C;CD1E;CD72;CD8A;CD8B;CDC42EP3;CDCA3;CDK1;CDK5RAP2;CDKN2C;CENPM;CEP164;CEP85;CIC;CIT;CLDN5;CLIP2;CLSPN;CNPY4;CPPED1;CR2;CTNNAL1;DAPK1;DBF4B;DCLRE1B;DENND3;DEPDC1;DND1;DNMT3B;DNTT;DOHH;E2F1;E2F3;EFNB2;EMID1;EPN1;ETV7;EXO1;F2R;FADS2;FASTK;FGR;FKBP4;FOXM1;FPGS;FSTL1;FXYD2;GCAT;GFI1;GOLGA2P5;GPR19;GSS;GTSE1;HADH;HAUS5;HDAC7;HIST1H1B;HIST1H2AK;HIST1H4C;HJURP;HMGB1;HMGB2;HMGB3P1;HMGN2;HOXA10;HOXA7;HSD17B6;HSPBP1;INSR;IQCC;ITGA7;KCNJ4;KLHL23;KPTN;LCT;LIMK2;LMF2;LRRC61;LST1;MAP1A;MAP2K7;MAST2;MELK;MFGE8;MICAL3;MRPL28;MUC16;MVD;MXD3;MYBL2;MZB1;NAA40;NCAPH2;NEFH;NEIL1;NMU;NUSAP1;ORAI2;ORC6;PCBP3;PIGZ;PINLYP;PIWIL1;PKMYT1;PLEKHA5;PLS1;POLG;POLH;PRRC2A;PTDSS2;PTGDR2;PTGES2;PTK7;PTTG1;RAB32;RAC3;RAD54L;RAG1;RASSF1;RECQL4;RHOT2;RNASEH2B;RORC;RRM2;RTEL1;RUSC1;SCARB1;SEPT8;SETBP1;SFN;SH3GL3;SLC1A4;SLC1A5;SLC25A10;SLC29A1;SPON2;SPPL2B;SREBF2;STK11;STK32B;TAF15;TERT;TK1;TLE6;TNFAIP2;TNFRSF21;TOMM40;TP53I11;TRAIP;TROAP;TST;TTLL3;TUT1;TYMS;WDR62;XYLB;ZNF337;ZNF500;ZNF646;ZW10
28	-0.657127341762789	0.1409028609607063	3646	GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP	addintercept-1	elasticnetcv		alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=0.35000000000000003;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	AATK;ABHD16A;ACY3;AIFM3;AKAP5;ALDH7A1;AQP6;ASCL2;ATCAY;AUTS2;B3GALT1;BBS7;BCL2L14;BRD8;C14orf28;C17orf80;C17orf97;C19orf66;C1orf54;C4orf36;C6orf222;CALY;CAPN11;CAPN3;CASR;CBX6;CCR4;CD46;CENPB;CHGB;CHRDL2;CLCNKB;CLDN14;CLDN16;CRYGS;CXCL13;CYP11B2;DAB1;DAGLA;DBNDD2;DCLRE1A;DMC1;DYRK3;EFNA4;EGFR;EML1;EXOSC2;EXOSC5;FAM160A1;FAM83F;FKBP6;FOLR1;FOXD2;FOXJ1;FSTL5;FUT1;GALNT10;GCM1;GFPT2;GJB5;GJC2;GSTZ1;HACL1;HCFC2;HOOK2;HOXD11;HPDL;HRG;HSF2BP;IFNB1;IL4R;KCNF1;KERA;KHDC3L;KIF6;KRT20;KRT27;KRT36;KSR1;LAMA1;LAP3;LIFR;LIPF;LMF2;LOXL1;LRRN3;LYZL4;LYZL6;MAD1L1;MAN1C1;MAP2;MATN3;MFN2;MND1;MOGAT1;MPV17L2;MRPL46;MRPS22;MTMR2;NCAPH2;NETO1;NFKBIL1;NKD1;NKPD1;NR1H3;NR2E3;NRGN;NTRK1;NUP188;OTUD7A;P2RX3;PAQR6;PEX5;PI4KB;PIGK;PIGP;PIGR;PIP5KL1;PMP2;PPP4R4;PRELP;PRTN3;PSMF1;PTCH1;PTGES2;PTPN5;RAB11FIP3;RAG2;REXO4;RFC1;RGL1;RHOBTB3;RNASEH2C;RNF208;RRP12;RTKN2;RWDD2A;SDCCAG8;SEPHS1;SFRP4;SHC2;SKA1;SLC26A5;SLC35F2;SLC38A7;SLC4A11;SLC7A14;SLFN13;SMAD9;SSBP4;ST6GALNAC6;STAC;STRBP;SUDS3;SYCE1L;TACR1;TAF3;TBX5;TCEA2;TCL1A;TEX101;TEX261;TEX29;TMEM102;TMEM130;TMEM252;TMEM44;TMEM52;TMEM91;TMPRSS4;TNFAIP8L1;TNNI3K;TRH;TRIM42;TRIM71;TRMT1;TTI2;UGT2B10;UPB1;VAMP1;VPS8;WFDC5;XRCC5;ZNF48;ZNF565;ZNF750;ZP1
92	-0.626928604766528	0.13598187036350817	1386	GSE339_CD8POS_VS_CD4CD8DN_DC_UP	normalizer	decisiontreeregressor	copy=True;norm=l2	ccp_alpha=0.0;criterion=mse;max_depth=5;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=20;min_samples_split=17;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	AAMDC;ACTN2;ACYP1;ADAM19;ADAM8;ADK;AGPAT3;AIF1;AKR1A1;ALDH9A1;AMZ2;ANAPC13;APC;ARID3B;ARPC3;ASAH1;ATG13;ATP1B3;ATP6V1A;B3GALNT1;BRIX1;C9orf72;CARS;CASP6;CD1D;CD5L;CD70;CD8A;CD8B;CD9;CENPV;CKAP4;CMTM7;COL18A1;COL1A1;CRHR1;CSDE1;CSF2RB;CSTB;CTBP2;CXCL10;CXCL9;CYB5R1;CYFIP2;DNAJC3;DNAJC8;DPP7;ECE1;ENTPD1;ENTPD2;EPHA3;ETF1;FAM91A1;FGF5;FKBP1A;FLT1;FNDC7;GCSAM;GDF15;GDF3;GLCE;GLRX;GNG2;GNS;GORASP2;GRK5;GSR;GTF2H1;GTF3C4;GUCA1A;GYS1;HCN1;HDDC2;HFE;HSPA4;IL11RA;IL18;IQGAP1;IRF8;IST1;ITM2C;JUP;KCNMB1;KIF3C;KRTAP19-5;KRTCAP2;LAP3;LGALS3;LIMD1;LSR;MAT2A;MC1R;MDN1;MERTK;METAP1;MFSD5;MRC1;MRPL18;MYCL;NCBP2;NCOA4;NDST2;NDUFA12;NDUFA3;NEDD8;NEK6;NKIRAS2;NPHP1;NUCB1;NUDT9;OAT;ODC1;OLFM1;OR4C3;OXCT1;P4HB;PBX1;PDCL3;PDE1B;PDIA5;PHC2;PLEKHH1;PLSCR1;POLR2J;POMP;PPEF2;PPFIBP2;PPT2;PRM3;PROCR;PRPF38A;PSMA5;PTGER2;PTGIS;PTPRA;PTPRB;RASA3;RCN3;REEP5;RGS10;RIOK3;RNF141;RNF4;RPL37A;RPN2;RPS27L;RPS6KC1;RRAGC;RSU1;SEC61A1;SEMA4A;SEMA4F;SERPINB9;SLC11A1;SLC12A7;SLC25A1;SLC25A17;SLC35E4;SOD1;SPOP;SQSTM1;SSR3;STBD1;STX12;STX3;STX5;SYNRG;TAP1;TMEM159;TMX2;TTC1;TUBB2A;TUBB6;TXNDC16;TXNDC17;TYMP;UBAC1;UBE2N;UCHL5;UNC119B;USP24;VCP;VPS29;VPS37C;VWF;WDR92;XCR1;ZNF703
68	-0.6621834614133093	0.12690398934941258	4033	GSE37301_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_RAG2_KO_NK_CELL_UP	robustscaler	lassolarscv	copy=True;quantile_range=(25.0, 75.0);with_centering=True;with_scaling=True	copy_X=True;cv=None;eps=2.220446049250313e-16;fit_intercept=True;max_iter=500;max_n_alphas=1000;n_jobs=None;normalize=False;positive=False;precompute=auto;verbose=False	ACAD9;ACVR2A;ADPGK;AGO3;AK3;ALDH1A2;ALG12;ALKBH7;ANXA6;AP2M1;ARL6;ARSA;ASAH1;ATF2;ATF6B;ATP2A3;ATP8B2;ATXN3;BSCL2;C11orf58;C18orf32;C1QBP;CDC16;CDC27;CDK7;CDKN2B;CEACAM19;CEBPD;CEP57;CFH;COX6B1;CSNK1G3;CTPS1;CTU2;CUL1;CUL7;CUTA;CYTH2;DDX17;DEPDC5;DESI1;DFFA;DGAT2;DUSP19;E2F3;E2F6;EHHADH;EIF3J;ELOVL1;ENPP1;ERRFI1;ETS1;EVI5L;EXOC6B;FAM57A;FBXO30;FBXO9;FOXP4;GALNT9;GIMAP4;GLS;GNG12;GOLGA2;GPR155;GPR18;GRAMD1A;GSAP;GSTA3;GTF2E2;GUSB;H3F3A;H6PD;HACL1;IGF1;IQCB1;ITGA9;KCNK7;KLHL2;KTN1;LDHB;LDLRAD4;LIN7C;LZTFL1;MAPKAPK2;MARCKS;MAST2;MCFD2;MECOM;METTL2B;MGAT4A;MIA3;MIB1;MOB3B;NADK;NANS;NAT10;NCDN;NDUFA3;NFYB;NRIP1;P2RY2;PANX2;PCDH7;PDCL3;PDP2;PEX19;PHLDB1;PIK3CA;PLD2;PLK1;POLD4;PPEF2;PPP1R21;PRRC1;PTP4A3;PTPN4;PTTG1IP;RAB10;RAB11A;RAB32;RAD17;RALGAPA1;RASAL2;RASGRP1;RNF170;RNMT;RPL32;RSPRY1;RYK;SEC22A;SERTAD2;SF3B6;SH3BP4;SH3TC1;SLC12A2;SLC16A1;SLC25A37;SLC38A6;SLC39A11;SLC4A2;SMARCA5;SMC3;SMYD3;SNX13;SOGA1;SPATA13;ST18;SYNCRIP;THOC7;THUMPD3;TJP2;TLN2;TMBIM1;TMED3;TMEM150A;TMEM184C;TMTC3;TNFRSF18;TOMM6;TPBG;TUBA4A;UBE2E2;UBE2Q2;UBE2V2;UBE3A;UBL4B;UCHL3;UNC5C;USP5;VAPA;WDR36;WDYHV1;XPO5;ZNF146;ZNF286A;ZNHIT6;ZYG11B
34	-0.6678735641337938	0.11338330530044982	194	GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP	addintercept-1	decisiontreeregressor		ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=3;min_samples_split=8;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABCA13;ABL1;ACVR1B;ADO;AKAP8;AKT1S1;ANKS1A;ARF3;ARID5A;ATG14;ATG9A;ATP2A2;ATPAF2;ATXN1L;B3GNT7;BAP1;BRAP;BTBD18;C2orf49;C6orf136;CACUL1;CALU;CAPN1;CCDC69;CD83;CEBPG;CFL2;CKAP4;CORO7;CRK;CRTC2;CTNNB1;CTSK;CUX1;DAZAP2;DCLRE1C;DDX19B;DENND1A;DHX35;DIS3;DNAJC3;DSTYK;EBLN2;EDEM1;EFHD2;FAM160B1;FASTKD5;FBXL12;FCHSD2;FMNL1;FOXK2;GLTP;GNE;GOSR2;GPATCH2L;GRB2;GRPEL1;GTPBP1;GZF1;HBEGF;HGS;HMGXB4;HYMAI;IBA57;ITGAX;KCTD20;KDM5B;KIAA0556;KLF11;KLHDC2;LPP;LRRC57;MADD;MAFG;MAP3K2;MAP6D1;MAP7D1;MAPKAP1;MAPKAPK2;MEF2D;METRNL;MIDN;MNT;MRGBP;MTMR3;MYO19;NAPG;NBEAL2;NCOR2;NECAP1;NEK3;NFIL3;NPEPL1;NR4A2;NUDT15;NXF1;PAFAH1B2;PGS1;PHF21A;PHLPP1;PIGS;PIK3R5;PITPNA;PLA2G15;POLR3F;PPIL4;PPM1A;PPP1R12B;PPP1R14B;PPP3R1;PURB;PWWP2B;PXN;RAD23B;RAP2B;RBM33;RCC2;RELA;RFPL3S;RILPL2;RIN3;RNASEH1;RNF10;RNF139;RNF168;RUNX3;SAR1A;SAT2;SDE2;SERTAD2;SH2B3;SIK1;SLC16A5;SLC25A28;SLC26A6;SLC30A1;SLC36A4;SMAD7;SNN;SPATA2;SQSTM1;STON1;SUPT5H;TACC1;TMEM184B;TNFRSF1B;TRIM11;TRIM8;UBAC1;UBAP2L;UHRF1BP1;ULK1;USP22;USP24;USP3;USP30;USP42;VPS11;VPS18;VPS33B;VPS37B;WASL;WBP11;WBP2;XPNPEP1;XPO7;ZBED4;ZBTB10;ZBTB2;ZBTB26;ZBTB34;ZBTB39;ZDHHC3;ZDHHC7;ZNF3;ZNF317;ZNF746;ZNF766;ZNF787;ZNF8;ZNF805
60	-0.6657397177110067	0.11335054231734445	4307	GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN	normalizer	decisiontreeregressor	copy=True;norm=max	ccp_alpha=0.0;criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=20;min_samples_split=5;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABO;ACACB;ADAMTSL5;ADCY5;ALOX12B;ANGPTL4;AQP10;ARL8A;ATG12;ATP1A3;BHLHE40;BTG2;C11orf53;C11orf97;C17orf98;C1orf35;C4BPA;C9orf62;CACNA1B;CADPS2;CASKIN1;CASZ1;CCK;CCL4;CD177;CDC42SE1;CDH20;CDK5R2;CEP104;CERS4;CFLAR-AS1;CHRNB2;CIB3;COX6C;CPLX1;CPNE8;CPXM1;CRCP;CROCCP2;CSRNP1;CXCL2;CXCL8;DBH;DCUN1D1;DEFB124;DHH;DIRAS2;DOC2A;DSCAM-AS1;DUSP2;EGR1;EGR2;EGR3;ENAH;ENTPD2;EXTL3;F3;F7;FAM149A;FAM83A;FOSB;FZD1;GATA6;GJA4;GKN1;GPR183;GRASP;GUCA1B;HABP2;HBEGF;HBM;HIF1A;HMHB1;IER3;IGHMBP2;INSIG1;KBTBD8;KCNN3;KCNQ4;KIAA1614;KIF12;KLK4;KPNB1;KRT13;LAG3;LINC00599;LINGO3;LOXL4;LRP6;LRRC36;MAP2K3;METTL21C;MROH2A;MYOCD;NDEL1;NFE2;NMNAT3;NOXO1;NR2F2-AS1;NR4A1;NR4A2;NR4A3;NTN3;NTN5;OPTC;OSM;OTUD7A;PCDHB11;PCDHGB8P;PCP2;PIM3;PIWIL2;PJA2;PLAU;PLVAP;POLN;PPP1R15A;PPP1R8;PTGIR;RANBP9;RBP5;ROS1;RSPH4A;SH3GL1P2;SLC25A3P1;SLC29A2;SLC2A3;SNHG10;SOCS3;SOX18;SOX21;SPAG11B;SPTBN1;SSTR2;ST3GAL3;SUCNR1;TAX1BP1;TBC1D28;TCP11L2;TEX29;TIPARP;TMEM88;TNF;TRIM15;TSC22D1-AS1;TSHB;UBE2H;UBE2QL1;UBE2W;VAX2;VEGFA;VN1R4;VWA1;WTIP;ZDHHC14;ZNF24;ZNF467;ZNF652;ZNF831
3	-0.6733885639116397	0.112032870657841	2733	GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	normalizer	decisiontreeregressor	copy=True;norm=l1	ccp_alpha=0.0;criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=5;min_samples_split=18;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ACE;ACSF3;ALG8;ANLN;ANXA2;APOL3;ATOH1;BCL2L14;BLM;C7orf50;C9orf116;CABLES2;CALHM1;CAPZA3;CCDC153;CCDC96;CD320;CD59;CDC34;CDC6;CDH8;CHAC1;CLSTN1;CNTNAP4;COPZ2;COX5B;CPNE2;CWH43;DDOST;DENND6B;DEPDC1;DEPDC7;ECT2;EFCAB11;EIF6;EMC3;ENDOD1;ERRFI1;ESCO2;ESRRB;EXO1;FAM118B;FAM178B;FAM71B;FAS;FCER1G;FGFR4;FIGNL1;FLRT3;FSCN1;FZD7;GAPDH;GEMIN4;GKN1;GNA15;GPHA2;HAP1;HIC1;HIST1H2AB;HMGB2;HMGN3;HMMR;ICA1;ICAM1;ITPRIPL1;JAG1;KCNJ11;KCNJ4;KIF11;KLRC1;LRRC59;MCM4;MCM5;MCM8;MGARP;MPP3;MRPL20;MRPS27;MRTO4;MSX1;MYO1D;NDC80;NEO1;NIP7;NME1;NMNAT1;NQO1;NR1H5P;OPN3;OR51B6;PAEP;PGD;PHLDA3;PLA2G2F;PLA2R1;PLEKHD1;PNLDC1;POLA2;POLR3K;PRSS55;PTPRO;RAB27B;RAD51B;RAD54L;RALBP1;RANBP1;RBPMS;REEP6;RGS12;RGS18;RPRM;RRM1;SARNP;SDC4;SERPINC1;SERPINE2;SHCBP1;SLC14A2;SLC16A14;SLC1A7;SLC22A13;SLC22A8;SMYD2;SPIRE1;SSR2;STXBP6;SYT1;TAF1D;TAS2R3;TFPI2;TMEM198;TMEM217;TMEM246;TNFAIP6;TNFAIP8L3;TNFRSF21;TPI1;TRIM37;TRIM72;TSHR;TSPAN15;TTK;UPF3A;VMO1;WDR63;ZC2HC1C;ZC3H12C;ZNF354A
11	-0.6854116188733811	0.10695021626584884	4265	GSE40274_EOS_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	binarizer	lassolarscv	copy=True;threshold=0.05	copy_X=True;cv=None;eps=2.220446049250313e-16;fit_intercept=True;max_iter=500;max_n_alphas=1000;n_jobs=None;normalize=True;positive=False;precompute=auto;verbose=False	ACTL10;ACTL6B;ADARB2;AKR1D1;ALDH3A1;ANO1;AP5B1;AQP6;ARVCF;AURKA;B3GALNT1;BATF2;C15orf39;C22orf46;C2orf80;C7orf57;CA11;CASKIN1;CC2D2A;CC2D2B;CER1;CES5A;CHMP4C;CNIH2;CSNK1G1;CSPG5;CYP11B1;CYP2D6;CYP7B1;DCDC2C;DRD1;DUSP3;ENAH;FAM117A;FAM170A;FBLL1;FUT4;GABRR2;GDF15;GH1;GLI1;GLRA3;GNG3;GRHL2;GRP;HCRTR2;HSPB3;IFNL2;IGF2BP3;IL17D;IQCA1;ITIH2;KCNA1;KCNK18;KIRREL2;KLHL32;LHFPL5;LHX6;LRRC52;LRRC8B;LTK;MAFG;MAPK7;MASTL;MCTP1;MFAP3L;MS4A1;MSANTD3;MUC16;NFIB;NICN1;NKX2-6;NOSTRIN;NR2E3;NRAS;NRXN2;NUDT12;OR10AG1;OR2AG1;OR4A16;OR51F2;OR51I2;OR52E4;OR6C1;OR6C70;OR7E24;PAMR1;PAX2;PCDH8;PDYN;PELI2;PHYHD1;PILRA;PLXNA4;PON1;PON3;PPFIBP2;PRUNE2;RAG2;RASSF9;RBMS3;RESP18;SCP2D1;SGPP2;SKOR2;SLC16A10;SLC25A48;SLC7A2;SLCO1C1;SOHLH1;SOX21;SPAG16;SPAG17;SPOCD1;SPTLC3;STK35;STXBP1;SUPT3H;SYT8;TAS2R31;TAS2R39;TBC1D2;TCF7L1;TCTN2;TDO2;TMEM201;TPD52L3;TRPV3;TTC36;VSX2;ZIK1
