Replicate	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
34	-0.6919534541989338	0.0865442507692012	1796	GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_UP	normalizer	decisiontreeregressor	copy=True;norm=l2	ccp_alpha=0.0;criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=19;min_samples_split=17;min_weight_fraction_leaf=0.0;presort=deprecated;random_state=None;splitter=best	ABCG4;ACOX3;ADARB1;ADARB2;ADORA1;AGO2;AGPAT1;ALG8;ANKRD12;ANKRD31;AQP7;ARHGAP24;ARHGAP39;ASPH;ATG7;AVP;BBS2;BHLHA15;C11orf49;C16orf78;C19orf33;C1orf56;C3orf38;CBFB;CC2D2A;CCDC113;CCDC151;CCNYL1;CDC34;CIART;CLDN16;CLDN22;CLPS;CREG2;CRYAA;CRYBA4;CRYGD;CSPG5;CYP2S1;CYP39A1;CYSLTR2;DEGS1;DHRS13;DIRAS1;DOK4;DRAXIN;DRD4;EIF4ENIF1;ENPP2;EPB41;EXTL3;EYA3;FANCA;FKBP10;FMNL2;FPR3;GALNT18;GCKR;GFAP;GIPR;GJA1;GJC2;GLP1R;GNA14;GPR19;GPR85;GPX5;HAX1;HOXA11-AS;HP1BP3;HSPB9;IFI44L;IL9;IRAK3;KANK4;KBTBD12;KCNH5;KIAA0040;KIAA1217;KLKB1;KPNB1;KRT18;KRT6A;KTI12;LRRC17;MCOLN2;MIEF2;MIOX;MRM1;MYBPC2;MYLK2;MYO1G;NAT2;NBEAL2;NCOA7;NDUFV1;NLRP9;NOS1AP;NPVF;NRP2;NT5C3B;NTN1;OCEL1;OGG1;OPA3;OTUB1;PAWR;PCDHA11;PCOLCE;PDE3A;PEMT;PHF19;PKD2L2;PKN1;PLA2G12B;PLXNA1;POC1A;POLD1;POM121L2;POU2F3;PPIL2;PQLC1;PRCP;PRR15;PRSS23;PRSS27;PTCD2;PTPRM;RAB42;RCBTB1;RGS6;RILP;RMI2;RNF181;ROR2;RSPO1;SCAMP5;SCUBE3;SEMA6D;SERPINA10;SERTM1;SFI1;SLC12A3;SLC16A10;SLC25A35;SLC35F1;SLC39A14;SLC4A9;SLIT3;SMARCC2;SMTNL2;SNTA1;SNX7;SOWAHB;SOX14;SPAG4;SPATA18;SPPL2B;SRP72;SSTR4;STMN2;STRA8;SUPV3L1;SYPL2;TCP10L;TCTE1;TCTEX1D1;TGM1;THEGL;TJP1;TLE6;TMEM108;TRIM42;TSEN34;TSSK1B;TUBGCP2;UROD;USHBP1;VIT;YKT6;ZFP57;ZHX2;ZIK1;ZKSCAN4;ZNF428;ZW10
99	-0.702120781147783	0.08292250118269855	4825	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_DN	zerocount	linearsvr		C=0.001;dual=True;epsilon=0.0001;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	ABL2;ACSL1;ACSL5;ADA;ADAR;AGO2;ANPEP;APOL2;ARHGEF11;ATP13A3;BATF;C12orf4;C1QB;C3AR1;CALM1;CASP3;CASP4;CCNL1;CD209;CD47;CD48;CD53;CD69;CDC37;CDS2;CEBPD;CELA2A;CFLAR;CLCF1;CLN3;CNIH4;COL16A1;CTDP1;CXCL3;CYP1B1;DDA1;DDX39A;DENND1B;DENND2D;DNAJB5;DNASE1L3;DNTTIP2;DOCK4;DOHH;DUOX1;DYNC1H1;DYNLT1;E2F3;ELL;ELL2;EREG;ESRRA;EZH2;F13A1;FBLN2;FBXW7;FOXO3;FUT5;FUZ;G3BP2;GADD45B;GADD45GIP1;GCH1;GPATCH2L;GRB2;H3F3B;HAND2;HGC6.3;HHLA2;HIF1A;HMOX1;HNRNPA3;HNRNPAB;HNRNPM;HSPA6;HSPE1;ICAM2;IFI44;IFIT5;IFITM2;IL18RAP;IL1A;IL36G;ILF2;IRF7;IRF9;IRS1;ITGA9;ITPKC;JAK2;KIFC3;LGALS3BP;LGALS8;LILRB1;LIMK2;LRP12;LTC4S;LUC7L;MAD2L1BP;MAFB;MAP2K3;MAP7D1;MARK3;MFHAS1;MFN1;MFSD12;MMP19;MRPL28;MXD1;MYO1E;NAA50;NCOA1;NDUFB2;NINJ1;NLRP3;NOD2;NSUN3;OAT;OGFRL1;OSTM1;PAF1;PHF11;PICALM;PLAUR;PLEKHM2;PLEKHO1;PLIN3;PPP1R15A;PRKAG2;PRPF3;PSEN1;PSTPIP2;PTGER4;PTPN12;PTPN2;PTS;RAN;RBBP6;RBM47;RGS20;RHEB;RIPK2;RNASE1;RNF19A;RNMT;SATB1;SERTAD3;SETD1B;SFPQ;SFRP5;SHCBP1;SLC1A3;SLC2A6;SLC38A6;SLCO3A1;SMCHD1;SMCO4;SNIP1;SNRPB;SP100;SPHK1;SPSB1;SRC;SRGAP2;SSB;SSTR2;STAT1;TALDO1;TAP1;TDRD7;TGFBI;TICAM1;TNF;TNFAIP6;TNFRSF4;TRIM21;TWF1;UBE2D3;USP39;USP6NL;VDR;VEZF1;WDFY3;WNT5A;YTHDF3;ZBTB43;ZC3HAV1;ZCCHC2;ZFYVE16
60	-0.7018836927241735	0.07254878773156381	4825	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_DN	pca	linearsvr	copy=True;iterated_power=2;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	C=0.001;dual=False;epsilon=0.01;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	ABL2;ACSL1;ACSL5;ADA;ADAR;AGO2;ANPEP;APOL2;ARHGEF11;ATP13A3;BATF;C12orf4;C1QB;C3AR1;CALM1;CASP3;CASP4;CCNL1;CD209;CD47;CD48;CD53;CD69;CDC37;CDS2;CEBPD;CELA2A;CFLAR;CLCF1;CLN3;CNIH4;COL16A1;CTDP1;CXCL3;CYP1B1;DDA1;DDX39A;DENND1B;DENND2D;DNAJB5;DNASE1L3;DNTTIP2;DOCK4;DOHH;DUOX1;DYNC1H1;DYNLT1;E2F3;ELL;ELL2;EREG;ESRRA;EZH2;F13A1;FBLN2;FBXW7;FOXO3;FUT5;FUZ;G3BP2;GADD45B;GADD45GIP1;GCH1;GPATCH2L;GRB2;H3F3B;HAND2;HGC6.3;HHLA2;HIF1A;HMOX1;HNRNPA3;HNRNPAB;HNRNPM;HSPA6;HSPE1;ICAM2;IFI44;IFIT5;IFITM2;IL18RAP;IL1A;IL36G;ILF2;IRF7;IRF9;IRS1;ITGA9;ITPKC;JAK2;KIFC3;LGALS3BP;LGALS8;LILRB1;LIMK2;LRP12;LTC4S;LUC7L;MAD2L1BP;MAFB;MAP2K3;MAP7D1;MARK3;MFHAS1;MFN1;MFSD12;MMP19;MRPL28;MXD1;MYO1E;NAA50;NCOA1;NDUFB2;NINJ1;NLRP3;NOD2;NSUN3;OAT;OGFRL1;OSTM1;PAF1;PHF11;PICALM;PLAUR;PLEKHM2;PLEKHO1;PLIN3;PPP1R15A;PRKAG2;PRPF3;PSEN1;PSTPIP2;PTGER4;PTPN12;PTPN2;PTS;RAN;RBBP6;RBM47;RGS20;RHEB;RIPK2;RNASE1;RNF19A;RNMT;SATB1;SERTAD3;SETD1B;SFPQ;SFRP5;SHCBP1;SLC1A3;SLC2A6;SLC38A6;SLCO3A1;SMCHD1;SMCO4;SNIP1;SNRPB;SP100;SPHK1;SPSB1;SRC;SRGAP2;SSB;SSTR2;STAT1;TALDO1;TAP1;TDRD7;TGFBI;TICAM1;TNF;TNFAIP6;TNFRSF4;TRIM21;TWF1;UBE2D3;USP39;USP6NL;VDR;VEZF1;WDFY3;WNT5A;YTHDF3;ZBTB43;ZC3HAV1;ZCCHC2;ZFYVE16
95	-0.7018836927597604	0.07254878768019954	4825	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_DN	pca	linearsvr	copy=True;iterated_power=10;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	C=0.001;dual=False;epsilon=0.01;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	ABL2;ACSL1;ACSL5;ADA;ADAR;AGO2;ANPEP;APOL2;ARHGEF11;ATP13A3;BATF;C12orf4;C1QB;C3AR1;CALM1;CASP3;CASP4;CCNL1;CD209;CD47;CD48;CD53;CD69;CDC37;CDS2;CEBPD;CELA2A;CFLAR;CLCF1;CLN3;CNIH4;COL16A1;CTDP1;CXCL3;CYP1B1;DDA1;DDX39A;DENND1B;DENND2D;DNAJB5;DNASE1L3;DNTTIP2;DOCK4;DOHH;DUOX1;DYNC1H1;DYNLT1;E2F3;ELL;ELL2;EREG;ESRRA;EZH2;F13A1;FBLN2;FBXW7;FOXO3;FUT5;FUZ;G3BP2;GADD45B;GADD45GIP1;GCH1;GPATCH2L;GRB2;H3F3B;HAND2;HGC6.3;HHLA2;HIF1A;HMOX1;HNRNPA3;HNRNPAB;HNRNPM;HSPA6;HSPE1;ICAM2;IFI44;IFIT5;IFITM2;IL18RAP;IL1A;IL36G;ILF2;IRF7;IRF9;IRS1;ITGA9;ITPKC;JAK2;KIFC3;LGALS3BP;LGALS8;LILRB1;LIMK2;LRP12;LTC4S;LUC7L;MAD2L1BP;MAFB;MAP2K3;MAP7D1;MARK3;MFHAS1;MFN1;MFSD12;MMP19;MRPL28;MXD1;MYO1E;NAA50;NCOA1;NDUFB2;NINJ1;NLRP3;NOD2;NSUN3;OAT;OGFRL1;OSTM1;PAF1;PHF11;PICALM;PLAUR;PLEKHM2;PLEKHO1;PLIN3;PPP1R15A;PRKAG2;PRPF3;PSEN1;PSTPIP2;PTGER4;PTPN12;PTPN2;PTS;RAN;RBBP6;RBM47;RGS20;RHEB;RIPK2;RNASE1;RNF19A;RNMT;SATB1;SERTAD3;SETD1B;SFPQ;SFRP5;SHCBP1;SLC1A3;SLC2A6;SLC38A6;SLCO3A1;SMCHD1;SMCO4;SNIP1;SNRPB;SP100;SPHK1;SPSB1;SRC;SRGAP2;SSB;SSTR2;STAT1;TALDO1;TAP1;TDRD7;TGFBI;TICAM1;TNF;TNFAIP6;TNFRSF4;TRIM21;TWF1;UBE2D3;USP39;USP6NL;VDR;VEZF1;WDFY3;WNT5A;YTHDF3;ZBTB43;ZC3HAV1;ZCCHC2;ZFYVE16
49	-0.701883692866272	0.07254878767333499	4825	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_DN	pca	linearsvr	copy=True;iterated_power=2;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	C=0.001;dual=False;epsilon=0.01;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	ABL2;ACSL1;ACSL5;ADA;ADAR;AGO2;ANPEP;APOL2;ARHGEF11;ATP13A3;BATF;C12orf4;C1QB;C3AR1;CALM1;CASP3;CASP4;CCNL1;CD209;CD47;CD48;CD53;CD69;CDC37;CDS2;CEBPD;CELA2A;CFLAR;CLCF1;CLN3;CNIH4;COL16A1;CTDP1;CXCL3;CYP1B1;DDA1;DDX39A;DENND1B;DENND2D;DNAJB5;DNASE1L3;DNTTIP2;DOCK4;DOHH;DUOX1;DYNC1H1;DYNLT1;E2F3;ELL;ELL2;EREG;ESRRA;EZH2;F13A1;FBLN2;FBXW7;FOXO3;FUT5;FUZ;G3BP2;GADD45B;GADD45GIP1;GCH1;GPATCH2L;GRB2;H3F3B;HAND2;HGC6.3;HHLA2;HIF1A;HMOX1;HNRNPA3;HNRNPAB;HNRNPM;HSPA6;HSPE1;ICAM2;IFI44;IFIT5;IFITM2;IL18RAP;IL1A;IL36G;ILF2;IRF7;IRF9;IRS1;ITGA9;ITPKC;JAK2;KIFC3;LGALS3BP;LGALS8;LILRB1;LIMK2;LRP12;LTC4S;LUC7L;MAD2L1BP;MAFB;MAP2K3;MAP7D1;MARK3;MFHAS1;MFN1;MFSD12;MMP19;MRPL28;MXD1;MYO1E;NAA50;NCOA1;NDUFB2;NINJ1;NLRP3;NOD2;NSUN3;OAT;OGFRL1;OSTM1;PAF1;PHF11;PICALM;PLAUR;PLEKHM2;PLEKHO1;PLIN3;PPP1R15A;PRKAG2;PRPF3;PSEN1;PSTPIP2;PTGER4;PTPN12;PTPN2;PTS;RAN;RBBP6;RBM47;RGS20;RHEB;RIPK2;RNASE1;RNF19A;RNMT;SATB1;SERTAD3;SETD1B;SFPQ;SFRP5;SHCBP1;SLC1A3;SLC2A6;SLC38A6;SLCO3A1;SMCHD1;SMCO4;SNIP1;SNRPB;SP100;SPHK1;SPSB1;SRC;SRGAP2;SSB;SSTR2;STAT1;TALDO1;TAP1;TDRD7;TGFBI;TICAM1;TNF;TNFAIP6;TNFRSF4;TRIM21;TWF1;UBE2D3;USP39;USP6NL;VDR;VEZF1;WDFY3;WNT5A;YTHDF3;ZBTB43;ZC3HAV1;ZCCHC2;ZFYVE16
47	-0.7029540977543953	0.07222754123388883	4825	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_DN	pca	linearsvr	copy=True;iterated_power=4;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	C=0.001;dual=False;epsilon=0.01;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.01;verbose=0	ABL2;ACSL1;ACSL5;ADA;ADAR;AGO2;ANPEP;APOL2;ARHGEF11;ATP13A3;BATF;C12orf4;C1QB;C3AR1;CALM1;CASP3;CASP4;CCNL1;CD209;CD47;CD48;CD53;CD69;CDC37;CDS2;CEBPD;CELA2A;CFLAR;CLCF1;CLN3;CNIH4;COL16A1;CTDP1;CXCL3;CYP1B1;DDA1;DDX39A;DENND1B;DENND2D;DNAJB5;DNASE1L3;DNTTIP2;DOCK4;DOHH;DUOX1;DYNC1H1;DYNLT1;E2F3;ELL;ELL2;EREG;ESRRA;EZH2;F13A1;FBLN2;FBXW7;FOXO3;FUT5;FUZ;G3BP2;GADD45B;GADD45GIP1;GCH1;GPATCH2L;GRB2;H3F3B;HAND2;HGC6.3;HHLA2;HIF1A;HMOX1;HNRNPA3;HNRNPAB;HNRNPM;HSPA6;HSPE1;ICAM2;IFI44;IFIT5;IFITM2;IL18RAP;IL1A;IL36G;ILF2;IRF7;IRF9;IRS1;ITGA9;ITPKC;JAK2;KIFC3;LGALS3BP;LGALS8;LILRB1;LIMK2;LRP12;LTC4S;LUC7L;MAD2L1BP;MAFB;MAP2K3;MAP7D1;MARK3;MFHAS1;MFN1;MFSD12;MMP19;MRPL28;MXD1;MYO1E;NAA50;NCOA1;NDUFB2;NINJ1;NLRP3;NOD2;NSUN3;OAT;OGFRL1;OSTM1;PAF1;PHF11;PICALM;PLAUR;PLEKHM2;PLEKHO1;PLIN3;PPP1R15A;PRKAG2;PRPF3;PSEN1;PSTPIP2;PTGER4;PTPN12;PTPN2;PTS;RAN;RBBP6;RBM47;RGS20;RHEB;RIPK2;RNASE1;RNF19A;RNMT;SATB1;SERTAD3;SETD1B;SFPQ;SFRP5;SHCBP1;SLC1A3;SLC2A6;SLC38A6;SLCO3A1;SMCHD1;SMCO4;SNIP1;SNRPB;SP100;SPHK1;SPSB1;SRC;SRGAP2;SSB;SSTR2;STAT1;TALDO1;TAP1;TDRD7;TGFBI;TICAM1;TNF;TNFAIP6;TNFRSF4;TRIM21;TWF1;UBE2D3;USP39;USP6NL;VDR;VEZF1;WDFY3;WNT5A;YTHDF3;ZBTB43;ZC3HAV1;ZCCHC2;ZFYVE16
6	-0.7030516606228745	0.07209986754246449	4825	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_DN	pca	linearsvr	copy=True;iterated_power=1;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	C=0.001;dual=False;epsilon=0.01;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=1e-05;verbose=0	ABL2;ACSL1;ACSL5;ADA;ADAR;AGO2;ANPEP;APOL2;ARHGEF11;ATP13A3;BATF;C12orf4;C1QB;C3AR1;CALM1;CASP3;CASP4;CCNL1;CD209;CD47;CD48;CD53;CD69;CDC37;CDS2;CEBPD;CELA2A;CFLAR;CLCF1;CLN3;CNIH4;COL16A1;CTDP1;CXCL3;CYP1B1;DDA1;DDX39A;DENND1B;DENND2D;DNAJB5;DNASE1L3;DNTTIP2;DOCK4;DOHH;DUOX1;DYNC1H1;DYNLT1;E2F3;ELL;ELL2;EREG;ESRRA;EZH2;F13A1;FBLN2;FBXW7;FOXO3;FUT5;FUZ;G3BP2;GADD45B;GADD45GIP1;GCH1;GPATCH2L;GRB2;H3F3B;HAND2;HGC6.3;HHLA2;HIF1A;HMOX1;HNRNPA3;HNRNPAB;HNRNPM;HSPA6;HSPE1;ICAM2;IFI44;IFIT5;IFITM2;IL18RAP;IL1A;IL36G;ILF2;IRF7;IRF9;IRS1;ITGA9;ITPKC;JAK2;KIFC3;LGALS3BP;LGALS8;LILRB1;LIMK2;LRP12;LTC4S;LUC7L;MAD2L1BP;MAFB;MAP2K3;MAP7D1;MARK3;MFHAS1;MFN1;MFSD12;MMP19;MRPL28;MXD1;MYO1E;NAA50;NCOA1;NDUFB2;NINJ1;NLRP3;NOD2;NSUN3;OAT;OGFRL1;OSTM1;PAF1;PHF11;PICALM;PLAUR;PLEKHM2;PLEKHO1;PLIN3;PPP1R15A;PRKAG2;PRPF3;PSEN1;PSTPIP2;PTGER4;PTPN12;PTPN2;PTS;RAN;RBBP6;RBM47;RGS20;RHEB;RIPK2;RNASE1;RNF19A;RNMT;SATB1;SERTAD3;SETD1B;SFPQ;SFRP5;SHCBP1;SLC1A3;SLC2A6;SLC38A6;SLCO3A1;SMCHD1;SMCO4;SNIP1;SNRPB;SP100;SPHK1;SPSB1;SRC;SRGAP2;SSB;SSTR2;STAT1;TALDO1;TAP1;TDRD7;TGFBI;TICAM1;TNF;TNFAIP6;TNFRSF4;TRIM21;TWF1;UBE2D3;USP39;USP6NL;VDR;VEZF1;WDFY3;WNT5A;YTHDF3;ZBTB43;ZC3HAV1;ZCCHC2;ZFYVE16
3	-0.7027417567173977	0.06876198289260368	4439	GSE40184_HEALTHY_VS_HCV_INFECTED_DONOR_PBMC_UP	maxabsscaler	elasticnetcv	copy=True	alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=0.75;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	ABAT;ABHD17B;ABL2;ACTG2;ADH4;ADK;AFF3;AHR;AK3;ALOX12;ALOX5;ANKRD39;ARHGAP28;ARL5B;ATF4;BARHL1;BAZ2B;BTBD6;C10orf90;C11orf16;C16orf70;C18orf54;C5AR1;C5orf51;CC2D2A;CCNT1;CD33;CDC14B;CEP95;CLK2;CLYBL;CMPK2;COL2A1;CPLX2;CTTNBP2;CXCR5;CXXC5;CYB5R3;CYP2C18;DPP4;DVL2;DZIP1L;EGFR;EHHADH;EOMES;EPAS1;EPB42;EPN2;ESM1;F2RL1;FAM171B;FCRL1;FGFRL1;FLCN;FOXN2;GADD45A;GANC;GGA2;GPR137B;GPR155;GPR158;GPR39;GPRC5A;GRHL1;GRM4;HEY1;HOXA1;HOXA5;HPCAL1;HSD3B1;HTR1D;IFNGR2;IFT88;IGFBP6;IL10RA;IL5;ILKAP;INTS9;IRF7;KCNA5;KCNC2;KLHDC2;KPNA4;KRAS;KRT80;KRTAP13-2;LACTB;LACTB2;LMBRD1;LRRK2;MAPK8;MARCH7;MAST1;MAT2A;MCEMP1;MDN1;MEOX1;MESP2;MOB4;MST1R;MTFMT;MTFR1;MTHFD1L;MUTYH;NARS2;NEIL1;NINJ2;NMNAT3;NOBOX;NOP2;NR4A2;NXPE4;ORC4;OVGP1;P2RX4;PDS5B;PFKM;PLCB1;POGK;POLE3;PRF1;PTCH2;PTPN12;PURG;RAB3C;RALYL;RASA3;RHBDD2;RNF145;ROGDI;RPL31;RRN3;S1PR1;SCPEP1;SERPINA11;SIGLEC7;SIM1;SLAIN1;SLC17A9;SLC22A4;SLC6A18;SLFN12;SNCA;SNX33;SP6;STEAP1;SVIL;TAF1C;TBC1D12;TBC1D4;TCN2;TMEM102;TMEM116;TMEM191C;TMEM216;TMEM65;TMTC4;TNFAIP6;TNFRSF11A;TOMM20;TPCN2;TPP1;TRIM35;TRPM7;TSN;TTC13;TUBB2A;USP34;WDR34;WDR46;WEE2;WNT6;XRCC2;ZFP41;ZNF23;ZNF280B;ZNF354C;ZNF518B;ZNF623
30	-0.7064154826958855	0.0675011150060355	319	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN	standardscaler	elasticnetcv	copy=True;with_mean=True;with_std=True	alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	AAK1;ACAT1;ACP6;ADAM8;ADORA1;AEN;AHNAK;ALCAM;APOL2;APOL3;ARHGEF10;ASNS;ASNSD1;ATP6V1G1;BCL2A1;BGLAP;BST2;BTF3;BTN3A3;C11orf21;C12orf10;C1RL;C1orf115;C3orf18;CBR3;CBX6;CBY1;CCDC88C;CD48;CD63;CDC14B;CEP68;CIB1;CKAP4;CPQ;CRADD;CREB3L2;CRYL1;CSF3;CTSF;CUTA;CXCR4;DDO;DDT;DDX28;DENND4B;DHRS12;DHRS7;DHRS9;DIS3;DLG4;DOCK9;DPH5;DUSP1;ECI1;EIF3G;EIF3K;ENDOD1;EPPK1;EPS8L2;EZH1;FAM117A;FAU;FBXL15;FGF9;FNDC3B;FTL;FUCA1;GABRD;GCDH;GIMAP4;GPR75;GSTK1;HABP4;HEMK1;HLCS;HOXB2;HRH2;IGF1;IL6R;INPP1;IQSEC1;KCNH2;KLF2;KLF3;KLF6;KLK1;KRTAP5-8;LDLRAP1;LGI2;LRIG1;LTA4H;LY75;MAP3K5;MARK1;MICA;MLN;MORC2;MPHOSPH8;MRPL40;MRPS22;MST1L;MVP;NACC2;NCK2;NELL2;NIT2;NLRP1;NOD1;NOL7;NOL9;NPC2;NPEPL1;NPRL2;NR3C2;PASK;PBXIP1;PDE4B;PDE4DIP;PDXK;PEX16;PIK3IP1;PIM1;PKD2L1;PLEKHA1;PODNL1;POLR1D;POLR2F;PPIP5K1;PPP3CC;PPP6R2;PRKCA;PSME1;PXN;PYGO1;RAP1GAP2;REXO2;RNF130;RPL19;RPL23AP7;RPL27A;RPL32;RPL41;RPS6;RPS9;RSRP1;S100A4;SCPEP1;SEL1L3;SELPLG;SERPINA1;SLC9A3R1;SMAGP;SMIM8;SNPH;SORCS3;SORL1;SPSB3;SQSTM1;ST13;STAT4;STK10;SULT1B1;SVIL;TBC1D4;TBK1;TH;THG1L;TMC6;TMEM140;TMEM186;TMEM204;UPP1;USP21;VTI1B;WFS1;ZMYM6;ZNF204P;ZNF23;ZNF331;ZNF394
78	-0.7064154826958855	0.0675011150060355	319	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN	standardscaler	elasticnetcv	copy=True;with_mean=True;with_std=True	alphas=None;copy_X=True;cv=None;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	AAK1;ACAT1;ACP6;ADAM8;ADORA1;AEN;AHNAK;ALCAM;APOL2;APOL3;ARHGEF10;ASNS;ASNSD1;ATP6V1G1;BCL2A1;BGLAP;BST2;BTF3;BTN3A3;C11orf21;C12orf10;C1RL;C1orf115;C3orf18;CBR3;CBX6;CBY1;CCDC88C;CD48;CD63;CDC14B;CEP68;CIB1;CKAP4;CPQ;CRADD;CREB3L2;CRYL1;CSF3;CTSF;CUTA;CXCR4;DDO;DDT;DDX28;DENND4B;DHRS12;DHRS7;DHRS9;DIS3;DLG4;DOCK9;DPH5;DUSP1;ECI1;EIF3G;EIF3K;ENDOD1;EPPK1;EPS8L2;EZH1;FAM117A;FAU;FBXL15;FGF9;FNDC3B;FTL;FUCA1;GABRD;GCDH;GIMAP4;GPR75;GSTK1;HABP4;HEMK1;HLCS;HOXB2;HRH2;IGF1;IL6R;INPP1;IQSEC1;KCNH2;KLF2;KLF3;KLF6;KLK1;KRTAP5-8;LDLRAP1;LGI2;LRIG1;LTA4H;LY75;MAP3K5;MARK1;MICA;MLN;MORC2;MPHOSPH8;MRPL40;MRPS22;MST1L;MVP;NACC2;NCK2;NELL2;NIT2;NLRP1;NOD1;NOL7;NOL9;NPC2;NPEPL1;NPRL2;NR3C2;PASK;PBXIP1;PDE4B;PDE4DIP;PDXK;PEX16;PIK3IP1;PIM1;PKD2L1;PLEKHA1;PODNL1;POLR1D;POLR2F;PPIP5K1;PPP3CC;PPP6R2;PRKCA;PSME1;PXN;PYGO1;RAP1GAP2;REXO2;RNF130;RPL19;RPL23AP7;RPL27A;RPL32;RPL41;RPS6;RPS9;RSRP1;S100A4;SCPEP1;SEL1L3;SELPLG;SERPINA1;SLC9A3R1;SMAGP;SMIM8;SNPH;SORCS3;SORL1;SPSB3;SQSTM1;ST13;STAT4;STK10;SULT1B1;SVIL;TBC1D4;TBK1;TH;THG1L;TMC6;TMEM140;TMEM186;TMEM204;UPP1;USP21;VTI1B;WFS1;ZMYM6;ZNF204P;ZNF23;ZNF331;ZNF394
