Permutation	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
92	-18385.2513190795	0.050963970824193926	2361	GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	standardscaler	linearsvr	copy=True;with_mean=True;with_std=True	C=0.001;dual=True;epsilon=1.0;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.1;verbose=0	AATF;ACOT11;ACOX1;ADRM1;AGPAT4;AIMP2;AK3;ANGPTL3;ANGPTL4;ANKRD37;ANXA7;APEX1;ARHGAP39;ARL14EP;ATP6V1H;ATP8A2;BAZ2B;C9orf64;CAMK2N1;CAPN1;CCDC59;CDC34;CDKN2B;CDYL;CHMP1B;CITED4;CLIC4;CMAS;CMPK1;CNOT11;COMTD1;COX6A1;COX6A2;CSRNP1;CTRC;CTU2;CYC1;DGKE;DHX15;DLD;DLL3;DNAJA3;DTWD1;DYNC1LI1;DYNLL1;EBAG9;ECE2;EIF2B2;EIF2S1;EIF3B;EIF3G;ELL2;ELOVL5;EMC4;ENOPH1;ENPP6;EPOR;ESF1;ETFDH;ETV3;EXOSC2;FFAR2;FUBP1;GALNT1;GAR1;GFM1;GLRX2;GMPR;GRWD1;GSKIP;GSTO1;GTF2H3;GTPBP4;GYPC;HAT1;HIST1H3D;HK3;HMG20B;HSD3B7;IFI30;IL17RC;IL1A;ILF2;INTS9;ITGB3;KCNAB1;KIF5B;KLHL9;KTI12;LARP4B;LRRC20;LTA4H;M6PR;MAFF;MARS;MECR;METTL7A;MGAT4B;MIEF1;MRPL1;MRPL17;MRPL40;MRPS18B;NAP1L4;NSUN2;ORMDL2;OTUD6B;PCBD2;PCYT1A;PDE12;PDE3B;PDE5A;PDE6D;PECAM1;PKDCC;PLIN3;PLK3;PPP1R7;PPP2R2A;PPT2;PRKAA1;PRKCA;PSME3;PTK2;PTPN3;PWP2;RAD23B;RCC1;RETSAT;RIMS3;RIPK3;RNH1;RPRD2;SAP18;SARS;SCAMP3;SCLY;SEMA6A;SGTB;SIGMAR1;SLC25A51;SLC27A1;SLC39A6;SLC4A2;SLC7A1;SMARCAD1;SMG5;SMURF1;SMYD5;SNRPB;SOAT2;SRSF7;STARD3;STIP1;STRAP;STUB1;TAGLN2;TARBP2;TAX1BP3;TBRG4;TCERG1;TEX30;TNK2;TOR2A;TSPAN14;TUBB4A;UBE2M;UGDH;UTP18;VAMP4;VKORC1L1;VPS33B;VWA8;WDR12;WDR75;WDR77;WRNIP1;YME1L1;ZNF697;ZPR1;ZSWIM1
94	-20344.49558878148	0.02255152112158847	4808	GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN	rbfsampler	linearsvr	gamma=0.9;n_components=100;random_state=None	C=25.0;dual=True;epsilon=0.0001;fit_intercept=True;intercept_scaling=1.0;loss=epsilon_insensitive;max_iter=1000;random_state=None;tol=0.001;verbose=0	ABCE1;ADAMDEC1;AK4;AKR1B1;ALOX5AP;ANXA2;ATP2C1;ATP6V1F;ATP6V1H;BANF1;BATF;BCAT1;BCL2L1;BET1;BHLHE40;BYSL;CALU;CAPG;CCL7;CCR1;CCR5;CCRL2;CD47;CD63;CD93;CDK4;CEP170;CLN3;CLUH;COMT;CPVL;CRIM1;CSF2;CSTB;CTNS;CTSD;CYBA;CYP1B1;DDX10;DDX27;DDX39A;DENND4B;DNAJC7;DPH2;DUSP3;DYRK3;EBNA1BP2;EIF2S1;EIF3B;EIF4E;EIF4G1;EMG1;EWSR1;EXOSC7;FERMT2;FKBP2;FUBP1;GBA;GEM;GGCT;GNPDA1;GOLGA3;GPSM3;GRN;GSAP;GSR;GSTO1;GYPC;HDDC2;HDGF;HES1;HEXA;HIP1;HK2;HNRNPA3;HNRNPU;HSP90B1;HSPA9;HSPE1;HYOU1;IFRD2;IGF2R;IGSF6;IL1RN;INHBA;IQGAP2;JMJD6;KEAP1;LHFPL2;LIMS1;LMNB2;LPL;LRRC41;LSP1;M6PR;MAD1L1;MAK16;MAP3K4;MAPK6;MAT2A;MET;METTL1;MFSD5;MGAM;MPV17;MRPL12;MRPL23;MRPS12;MSC;NBN;NHP2;NME1;NOL7;NPC1;NR3C1;NRAS;NSMAF;NUP188;OSM;PDIA6;PES1;PHACTR1;PISD;PLEKHB2;PLOD3;POLR1C;PPIB;PSMD11;PSMD3;PSMD8;PTAFR;PTPN6;RAB13;RAD23A;RAD23B;RBM19;RDX;RELA;RGL1;RNASEH1;RNH1;RRAGD;RRN3P1;S100A11;S100A9;S100P;SEC24C;SERPINA1;SLC16A6;SLC38A6;SPINK1;SPP1;SQSTM1;SRM;SRSF3;ST3GAL6;STT3A;STX4;TARDBP;TBC1D9;TDP2;TFEC;TIMM17A;TMEM251;TNFRSF14;TNFRSF8;TNFSF14;TOMM40;TPP1;TRMT1;TSR1;UBE2J1;UPP1;URB2;URM1;UTP3;VPS11;WDR18;WSB2;ZFYVE26
37	-19615.82765925122	-0.006463044179309052	3376	GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN	maxabsscaler	ridgecv	copy=True	alphas=[ 0.1  1.  10. ];cv=None;fit_intercept=True;gcv_mode=None;normalize=False;scoring=None;store_cv_values=False	ACP6;AGO4;AKNA;ALG6;ANKZF1;ANXA1;APLF;APPL2;ARHGAP9;ARID5A;BACE1;BBS4;BCL7A;BFSP2;BNIP3L;BSDC1;C9orf85;CABLES2;CAMKMT;CAPN1;CCDC12;CCDC66;CCDC82;CD47;CDC14A;CDK5RAP2;CDKN1B;CDKN3;CELF2;CEP162;CEP95;CHMP5;CHST12;CKLF;CLCC1;CNRIP1;CNTRL;COG1;COMMD4;CPNE5;CRADD;CREB1;CREB3L2;CYLD;CYP2R1;CYTH1;D2HGDH;DCLK2;DENND1B;DLGAP5;DNMBP;DOCK8;DPM3;DUSP19;DXO;EAF2;ECH1;EP300;EVI2B;EXOC7;FAM117A;FANCG;FES;FH;FLI1;GDI2;GMNN;GNB2;GPD1L;GPI;GPR18;GTF3A;HAUS5;HERC2;HIST3H2A;HLA-DOB;HPGD;HSDL2;HSH2D;HSPB11;IDH2;IFIT3;IFT22;ING1;IRF2;ITGB3BP;IVD;KCNA3;KCTD20;KDM7A;KIAA0930;KIZ;KLF3;KLHL24;KYNU;L3MBTL3;LCLAT1;LRCH3;LRRC61;LY6D;LY86;MAP3K3;MAP4K3;MCCC1;METTL8;MIEN1;MPEG1;MS4A1;MTMR3;MX1;N4BP2;NAE1;NAP1L1;NAPG;NCF1;NDUFS2;NEDD4;NME7;NMI;NOD1;OTUB2;OXR1;PADI2;PAGR1;PAPSS2;PDCD4;PECAM1;PHC3;PHF14;PHF21A;PHKB;PHYHD1;PPT1;PSMB8;PTCD2;PTPN18;PTPRC;RASSF4;RBM43;RCHY1;RDH12;RFC2;RFC5;RNF141;RNF167;RWDD2A;SEPT9;SERINC3;SETD2;SH3TC1;SH3YL1;SLC14A1;SLC35C1;SMAGP;SMARCA2;SMARCAL1;SMIM19;SMIM20;SPC24;SPICE1;STXBP4;SUOX;SUSD3;TCEA3;TCF3;TLR4;TMCO1;TMED3;TMEM14A;TMEM184C;TMEM63A;TNFRSF18;TRIM5;TRMU;TSPYL4;TUBGCP6;UNC119;VPS13B;VPS41;WDR11;ZBTB4;ZFP90;ZNF318;ZNF414;ZNF652
50	-19782.402285586253	-0.011938372798616736	92	GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	zerocount	elasticnetcv		alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.9500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	ABHD17C;ADI1;ANKRD26;APIP;ARPP19;ATL2;ATXN7L1;B3GALT5;B3GALT6;BATF;BBS1;BCCIP;BCDIN3D;BCL7A;BMP6;BRMS1L;C1orf53;CAPN2;CDK2AP1;CLIP2;COMT;CRADD;CSNK1G2-AS1;CXCL3;CXCL6;DDX42;DENR;DLGAP1-AS1;DSC2;DSE;EIF2S1;EIF3D;EPB41L3;FAIM;FAM228B;FARSB;FCHO2;FFAR3;FLVCR2;FOLR2;FPGS;GADD45B;GALNT4;GALNT6;GAR1;GHRLOS;GK5;GMEB2;GNAI3;GNG2;GNL3;GTF2E1;GZMK;HADHB;HAS1;HCFC1R1;HCG4;HEY1;HNRNPC;HNRNPF;HSD17B3;IARS;IFRD2;ILF2;IMP4;IMPA2;IMPDH2;JPH3;KCNV2;LARS;LDHA;LEP;LITAF;LOR;LRPPRC;LXN;LYAR;LYRM4;MAF;MB21D2;MCCC2;MED12L;MIEF1;MRPL32;MRTO4;MTHFD1L;MYO1D;NCL;NEDD9;NEK6;NIFK;NME9;NOC2L;NOL6;NOL9;NPM1;OAZ3;OLA1;PA2G4;PAM;PCDHB14;PCID2;PDPN;PERP;PHF21A;PLK1;POTEKP;PPFIBP1;PPP2CB;PREP;PRG2;PRKCH;PSEN2;PTPRJ;PUS1;QSOX2;RAD23B;RASAL2;RBM17;RHBDF1;RIPPLY2;RNF144B;RNF145;RNF175;RPIA;RPS8;RPTN;RSL24D1;SAMSN1;SCN9A;SDC2;SEC63;SEPT9;SERBP1;SERPINB2;SERPINE1;SGPL1;SIN3A;SLC1A2;SLC44A1;SLC5A6;SNHG16;SNRNP40;SNX17;SPRR2C;SRGN;SRSF12;SSRP1;SVIL;TAS2R1;TATDN1;TDG;TDO2;TEAD1;TENM2;THAP10;TMEM242;TMEM255B;TNFSF9;TNIP1;TRAP1;TUBB;UBQLN4;UBXN10;VSTM2L;WFDC10A;ZCCHC24;ZFR;ZNF146;ZNF174;ZNF528;ZNRF1
84	-19704.26660776998	-0.01727137148108553	3395	GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP	normalizer	ridgecv	copy=True;norm=l2	alphas=[ 0.1  1.  10. ];cv=None;fit_intercept=True;gcv_mode=None;normalize=False;scoring=None;store_cv_values=False	ABCC9;ACY1;ADAP2;AHSG;AKR1D1;ALOX5AP;ANKMY2;ANXA6;APLNR;AQP1;ARFGAP3;ARL2;ARMC5;ATF3;ATP13A1;ATP13A2;ATP8A1;ATXN7;AUTS2;B3GNT9;BCL11A;BCL2;BIK;BLVRB;BUB3;BZW2;C12orf10;C6orf203;CALML4;CAMK2G;CASP12;CCDC107;CCNC;CCR5;CCT7;CD14;CD47;CD5;CKAP2;CLEC14A;CLEC1B;CLEC4F;CLEC6A;COL5A2;CSF3R;CSK;CXCL12;CXCR5;CYB5R1;CYGB;DCN;DCTPP1;DDAH2;DDRGK1;DHX58;DIAPH3;DOK3;DUSP12;E2F5;EDN1;EHD4;EIF3K;ERCC6L2;ERI3;ERP29;ETHE1;EXOSC2;FAM53C;FANCA;FCER2;FCGR2A;FERMT3;FMNL1;GAA;GABRP;GALK1;GANC;GDF10;GDPD5;GLRX;GNPNAT1;GPSM3;H2AFJ;HMOX1;HOXA11-AS;ID3;IFIT2;IFIT3;IL33;IL7;ING1;ITIH3;ITIH4;KIAA0100;KLHDC8A;LCMT1;LHPP;LTA;LUM;LYL1;MAN1B1;MAPK13;MED28;MGP;MMP2;MMP3;MOB1A;MRPL39;MRPL9;MRPS17;MTCH1;MX2;MYBBP1A;MYD88;NDUFA7;NDUFA9;NDUFB7;NELFB;NGDN;NOA1;NOTCH3;OAS2;OGFR;OMA1;OTUB2;PBX3;PCDHB10;PDCD6IP;PHAX;PILRA;POU2F1;POU2F2;PSMB1;PSMB10;PSPC1;RABL6;RAD23A;RASGRF2;RCOR1;RGS5;RHAG;RIPK3;RNASEK;RNASEL;RPGRIP1;SAMM50;SFRP4;SFT2D1;SLAMF9;SLC16A6;SLC40A1;SLC47A1;SLCO2A1;SLFN13;SMCO4;SNRNP40;SNTB2;SNX18;SOCS1;SOCS3;SPOCK3;SPRYD4;SRD5A3;SUV39H2;SYNPR;TAF12;TCOF1;TESC;TIFA;TMEM140;TMEM161A;TMEM209;TMEM234;TNFSF13B;TRIM24;TSEN15;TSLP;TSPAN9;TTC30A;UBXN2B;VCAN;VTN;WDFY3;WWP2;ZBP1;ZBTB44;ZFYVE19;ZNF394;ZYX
71	-19682.636988063532	-0.018047200979011423	538	GSE17721_LPS_VS_POLYIC_12H_BMDC_UP	binarizer	elasticnetcv	copy=True;threshold=1.0	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.05;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	ABHD17C;ABT1;ACLY;ADAM17;ADORA2B;AKR1B15;AKR1D1;ANP32A;AOAH;AP3S1;ARHGAP24;ARL1;ASRGL1;ATG7;BDH1;BOLA1;CAND1;CAT;CDC25A;CEP104;CHADL;CHCHD2;CHID1;CLCC1;CNOT3;COMMD7;COX6C;CRY1;CRYGS;CSAD;CSDE1;CSF1;CTBP2;CTBS;CTU1;CYFIP2;DAB2IP;DDB1;DGAT2;DNAJB6;DYM;ECD;ECHS1;EIF4G2;EPRS;EPS15L1;ERI3;F13B;FAM122A;FAM20B;FDFT1;FMNL3;FN1;FOXJ3;GAS2;GCLC;GHDC;GLMN;GNL3;GPN1;GSS;GSTM1;HADHB;HCN2;HEATR6;HS6ST1;HSD3B7;HSPA4;IER5;IFITM10;IFRD2;IGF2R;IGFBP4;IRF4;ITGAX;ITSN1;IVNS1ABP;JAG1;JAK2;KRT12;LPP;LRRC14;LRRC59;M1AP;MAP3K11;MCM3;MECR;MIEN1;MOGS;MPG;MPHOSPH8;MRPS12;MSANTD4;MTF2;MTG1;NAA30;NADK;NCBP1;NCBP2;NEK9;NFATC3;NFKBIB;NOA1;NOC2L;NOL11;NOP14;NOP16;NOTCH3;NUCKS1;NUP160;NUP50;NUP62;NUTF2;OTUD4;PAFAH1B1;PDE4B;PDF;PDLIM7;PES1;PILRA;PINX1;PMPCA;PNO1;POLR2A;PON2;PPT2;PPTC7;PRMT1;PRMT3;PRRX1;PSMD12;PSMD6;PTCD2;PTGR1;PTX3;PWP1;RHOA;RIOK2;RNF26;RRN3;SACM1L;SEC31A;SEPHS2;SERPINE1;SLC18A3;SLC20A1;SLC41A2;SLC6A12;SMAD7;SMIM7;SMPDL3B;SPEN;SPRYD4;SPTSSB;SRM;ST3GAL1;ST3GAL5;STARD4;STT3A;SUOX;TAF13;TAGLN2;TIMM10B;TM9SF4;TMCO1;TMEM135;TMEM39A;TMEM63B;TPRKB;TRAF1;TRAF3IP2;TRIM21;TRIM27;TRMT112;UBLCP1;UHMK1;USP21;USP24;USP34;UTP20;VDAC3;XPO7;ZBTB1;ZDHHC3;ZFP64;ZFP82
53	-19980.40336543607	-0.018436869219891915	4217	GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_DN	rbfsampler	lassolarscv	gamma=0.05;n_components=100;random_state=None	copy_X=True;cv=warn;eps=2.220446049250313e-16;fit_intercept=True;max_iter=500;max_n_alphas=1000;n_jobs=None;normalize=False;positive=False;precompute=auto;verbose=False	AATK;ABCF3;ADA;ADRA2C;ALDH1A1;ALDOB;ALKBH5;AP1B1;AP2A1;AP2A2;AP2M1;ARFIP2;ARNT;ASAP1;ASL;ATG4B;ATP6V0C;BAG6;BAK1;BMP2K;BRD3;C11orf16;C9orf72;CAMK2B;CASQ2;CD22;CDCP1;CELSR1;CER1;CFB;CHCHD10;CLCN1;CLEC16A;CLPX;CNN3;COPS7B;COX4I1;CSNK1D;CTSC;CTSH;CYP4A11;DALRD3;DHH;DNAJC5;DNM2;DSG2;DYNC1I1;EDNRB;EFNA4;ELK3;ENPP1;ENTPD7;EPHA8;EPHB2;ESRRA;F3;FABP5;FBXL15;FBXO6;FCGR1A;FCGR2B;FERMT2;FGL2;FH;GAPDH;GAS1;GON4L;GRINA;HBE1;HMOX1;HOXC5;HSD3B1;HTT;IFITM3;IFNAR1;IGFBP6;IL18BP;IL5;IMMT;ITPKB;ITPR1;ITSN1;JAK3;JARID2;KCNAB3;KCNC1;KCNJ6;KIF3A;KLHDC4;KRT12;KRT13;KRT81;LIFR;LPP;LRP10;LTB4R;LY6E;MANF;MAP1S;MAP3K2;MATN1;METTL7A;MGAT1;MKNK1;MLX;MOV10;MPP7;MRPL41;MRPL49;MTMR10;MUC1;MXD1;MYLPF;MYT1;NABP1;NDRG1;NEUROG1;NKIRAS1;NKX2-6;NMBR;NMU;NPPC;NRTN;NSF;NSMCE1;NTF3;OSBPL11;PACSIN1;PARD6A;PHLDB2;PIP5K1B;PNPO;POP4;PRDM5;PSMB9;PSME2;PTCD2;PTGDR2;PTGER1;PTPRE;RAB11FIP5;RAB3IL1;RAB4B;RAB8B;RABGGTA;RAI1;RESP18;RHOB;RHOG;RNPEP;ROR1;RREB1;RWDD4;SDC4;SEC24C;SEC61A1;SF3A1;SH3GL1;SLC25A48;SLC31A1;SLC35B1;SLC6A2;SNRPA;SNX1;SNX6;SOAT1;SOAT2;SPHK2;SSBP4;STAC;STAT3;STAT5A;STAT5B;TCAP;TFF1;TGFBI;TLR6;TM2D2;TMEFF2;TMEM214;TNFAIP8;TNFRSF11A;TNFSF11;TPSB2;TRIM46;TSPO;URM1;VWA7;WDR20;WDR46;WNT10B;ZNF799
74	-20234.171032341834	-0.026747502987581752	3214	GSE21927_SPLENIC_C26GM_TUMOROUS_VS_BONE_MARROW_MONOCYTES_UP	rbfsampler	elasticnetcv	gamma=0.45;n_components=100;random_state=None	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=1.0;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ACTL9;ADARB2;ADGB;AGR2;AGT;AK5;AKR1C6P;AMOTL1;ANKRA2;APBB1;AREG;ARL8B;ARSB;BHLHE22;BTNL9;C12orf42;C18orf12;C2orf50;CACNA2D1;CAPN12;CATSPERD;CCDC125;CCDC134;CCDC61;CCL22;CDC42EP2;CDC42EP5;CDK11A;CLCF1;CLCN3;CMAHP;COL11A2;COL16A1;CPB2;CXCL9;CYP4B1;DCAF7;DDAH1;DGCR9;DLEU7;EEF1A1;ETV6;FAM126B;FANCD2OS;FAXDC2;FBXO8;FGF1;FILIP1L;FLNC;FRMD1;GABRA1;GCNT4;GLI1;GPHA2;GPR39;HIGD1A;HIPK2;HNRNPD;HRC;HSPH1;HTRA3;IFNA7;IGSF22;INSIG1;KANSL1L;KCNJ10;KCNK4;KIAA1147;KISS1;KRT2;KRT31;KRT7;LACTB2;LINC00607;LRIT1;LRRC37A5P;LSMEM2;MAK;MAPK10;MIR22HG;MMP17;MMP2;MRPL24;MRPL44;MT1HL1;MYL3;MYL9;NBEAP1;NCDN;NEURL3;NF1;NOD2;NPEPL1;NPPB;NUMB;OGFRL1;PANK3;PBXIP1;PCDHB3;PCNA;PDS5B;PDX1;PHC3;PHF3;PIP;PLEKHG3;PPARG;PPARGC1A;PRDM6;PSMB5;PTCRA;RAB3D;RAB5C;RASD2;RBL1;RGS9;RIIAD1;RNASE2;RNF103;SAMD3;SART3;SCAMP5;SEMA3B;SEMG1;SERINC5;SLC22A4;SLC22A9;SLN;SNED1;SNX27;STT3B;SYN3;TAB1;TBKBP1;TMEM106A;TMPRSS3;TOM1L2;TREM2;TRIM39;TRPS1;TUB;UGT2B28;UNC13C;USP48;USP6NL;VPREB1;WNK4;WWC2-AS2;YTHDC2;ZBED3-AS1;ZNF705G
67	-19963.129765312733	-0.027442435935878563	4225	GSE40274_CTRL_VS_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	pca	elasticnetcv	copy=True;iterated_power=3;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.65;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=1e-05;verbose=0	ADSS;AHSA1;AKIP1;AURKA;B4GALT5;BATF;BCKDK;C2orf78;CBY1;CENPH;CEP57;CHKA;CLEC4E;CLUH;CNPY2;COMT;CPNE9;CSDC2;CTPS1;DBT;DGKH;DRC1;DSC1;EFTUD2;EIF2B1;EIF3A;EIF3H;EIF3I;EIF6;ELOVL1;EXOSC7;FAM207A;FANCD2;FGF12;FIGNL1;FOXD4;FTSJ3;GART;GFI1;GMPR;GPATCH4;GRHL1;GTF2H4;GUK1;GUSB;HDAC3;HMGN2P6;HMGN3;HNRNPA3;IDE;IFNG;IGF2BP3;IL12B;IPO11;IQCG;JAGN1;KARS;KBTBD13;KIF18B;KNOP1;KPNB1;KRTCAP3;KSR2;LCMT1;LIPT2;LRRC58;LSM4;LYAR;MAST2;MASTL;MCM8;MEP1A;MLF2;MPC1;MRFAP1;MRPL52;MRPS18B;MRPS7;MTHFD1;MZT2B;NCAPD2;NDUFA10;NMT1;NOL4L;NOL9;NPHP1;NUBP1;NUDT18;NUP133;OLA1;ORC6;OXCT1;PCBP4;PDIA6;PDSS1;PFKL;PGAM1;PLK1;PLK3;PMM1;POP1;PPP5C;PRDX1;PRMT5;PSAT1;PSMA3;PSMA5;PSMC2;PSMD14;PSME1;PSME3;PUS1;PUS7;RBM15B;RGCC;RITA1;RMDN3;RPS2;RTN4RL2;SCFD2;SDF2L1;SDHD;SEC13;SERP2;SETD6;SKOR2;SNRPA1;SPC24;SPC25;ST13;SULT4A1;TAF9;TARBP1;TARBP2;TBL3;TEX43;THEGL;THOC5;TICAM2;TICRR;TIGD3;TIMM13;TMEM11;TMEM147;TMEM161A;TMEM42;TMEM70;TNFAIP1;TOMM20;TRIB1;TRMT61A;TRNAU1AP;TTK;TWSG1;TXLNB;UMPS;UQCRC1;UTP20;VAV3;VCP;WDHD1;WDR34;YARS;YBX3;ZC3HC1;ZMYND19;ZNF428
20	-19980.40336543607	-0.028539835989643603	4505	GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_UP	binarizer	elasticnetcv	copy=True;threshold=0.6000000000000001	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.6000000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ACACA;ACOT7;ADH5;AGA;ALAD;ANAPC13;ANAPC7;AP1G1;APOPT1;ARF5;ARFGAP3;ARL6;ATXN1;AUP1;BID;BTD;CAAP1;CASP6;CCRL2;CD48;CD96;CDC123;CDC26;CENPJ;CEP76;CERS6;CKAP5;COMMD1;COPB2;COQ7;COX17;COX19;CRNKL1;CTBS;CYP20A1;DCUN1D5;DPY30;DRG2;DTNBP1;DYNLL2;EIF2B5;EIF3J;ELOF1;ERMP1;ESD;FAM78A;FANCL;FCER2;FDX1;FLAD1;FOXRED1;GABPA;GDPGP1;GKAP1;GLT8D1;GNB4;GNE;GNPDA2;GPATCH4;GRPEL1;GSR;GYG1;HINT1;HINT3;HSPA13;HYLS1;IFITM3;IFT27;INTS9;ISG20;JAGN1;JAK2;KBTBD4;KCTD9;KPNB1;LAMTOR1;LBR;LIN28A;LSM3;MAMDC2;MAPRE2;MCMBP;MIEF2;MINPP1;MOV10;MRPL14;MRPL22;MRPL23;MRPL9;MRPS11;MRRF;MTRF1L;MUS81;NAA15;NAT1;NDUFA12;NDUFA4;NDUFA7;NDUFS4;NRBF2;NSMCE1;NT5C3B;NUDC;NUDT19;NUP107;NUP50;NVL;OPTN;ORC3;PACRGL;PAPLN;PARD6A;PARP11;PDCD2;PDP2;PGM1;PGM2L1;PHF5A;PHF7;PHPT1;PMFBP1;POLDIP2;PPAT;PPIL1;PTDSS2;RAB8B;RAD51B;RBBP4;RBM4;RBM43;RBM44;RDH12;REN;RMDN2;RPAP3;RPL18;RPS19BP1;S1PR4;SAP18;SARNP;SDF4;SEL1L;SEPT9;SLC25A12;SMCHD1;SMIM8;SNRNP25;SOD1;SREBF1;STT3A;SYS1;TCEA1;TEX261;THAP11;TIMM23;TIMMDC1;TMPO;TNFSF9;TOR2A;TRAPPC1;TRIM5;TSPYL4;TUBD1;TUFM;UMPS;USP15;UTP23;VPS36;WDR55;XPNPEP1;YIPF2;ZBTB32;ZC3H15;ZDHHC16;ZMAT3;ZNF141;ZNF217;ZNF239;ZNF277;ZNF518B;ZNF574;ZNF771;ZNHIT2
