Replicate	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
81	-16093.969679476932	0.17967589932157718	1451	GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_DN	binarizer	decisiontreeregressor	copy=True;threshold=0.8	criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=6;min_samples_split=8;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	ABCA6;ACTA2;ADIPOR2;ADORA3;AGA;AHCY;ALDH3A2;ALDH5A1;ALDOC;AMHR2;AMPD2;ANGPTL7;ANKS1A;AP1B1;AP2A2;BLMH;BLOC1S1;BRCA2;BRD3;BTD;C3AR1;CBX5;CCR1;CCR5;CD14;CD163;CD1B;CD1D;CD27;CDH2;CDK3;CIAO1;CLSTN1;CNOT3;CNPY3;COMT;CPE;CPVL;CSRP1;CTDSP2;CUL2;CYFIP1;DAB2;DDX28;DDX39A;DGKZ;DIAPH1;DNASE2;DOCK2;DOK2;DST;EIF2B5;EIF4B;EIF4EBP1;ERCC1;ERCC3;ERF;ERP29;ESYT1;FAM168B;FAM20B;FCAR;FCGRT;FEN1;FGL2;FOS;FRY;FSHR;GART;GLB1;GNRH2;GPX3;H2AFZ;HDDC2;HEXA;HLA-DMB;HLA-DOA;HLA-E;HMGN2;HTT;ICAM3;IFNA16;IMPA2;INTS10;ITGAL;ITGAM;KAT2A;KLF4;LAIR2;LRMP;LRP1;LTA4H;LTB;LY6G6D;MAX;MCM3AP;MED22;MEGF9;METAP1;MLEC;MNDA;MSH3;MUC6;MYO7A;NASP;NCF4;NDUFV1;NISCH;NME4;NPTN;OGG1;P2RY11;P2RY14;P2RY6;PABPN1;PADI2;PBX3;PCBP2;PCNA;PDE1C;PDLIM7;PECAM1;PER2;PIK3CG;PIP4K2A;PLCG2;POGZ;POLE3;POR;POU2F1;PRCP;PREPL;PRKCB;PTGS1;PTPRCAP;RDH11;RPL22;S100A4;SDHB;SEC11A;SEC14L1;SELE;SERPINB8;SF1;SF3A3;SLC1A5;SLC25A12;SLC35A3;SLC43A1;SLC7A7;SNAPC5;SNRNP200;SNRPA1;SNX27;SOCS7;SOGA1;SORL1;SPECC1L;SPIB;SPICE1;SPINK4;SRSF3;STAB1;STARD5;STK38;STX16;SUPT4H1;SYNE1;TACC1;TAF11;TDRD3;TKT;TLR1;TRIO;TXNIP;UBXN1;UQCRC2;VAMP8;VASH1;VAT1;VAV1;WDR1;YAF2;ZC3HAV1
4	-16032.69691411714	0.16817305270068475	3779	GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_DN	standardscaler	decisiontreeregressor	copy=True;with_mean=True;with_std=True	criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=13;min_samples_split=20;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	AATK;ABCA12;ABCA2;ACPP;ADAM12;ADCY2;AGFG2;ALPI;ANGPT1;AP4E1;APOA4;ARHGAP22;ATP10D;ATP2C2;ATP6V1G2;BBIP1;BFSP2;BLK;BRWD1;C15orf39;C2;CACNA1C;CACNB2;CADPS;CALB2;CCDC57;CCDC86;CDK20;CLPS;COL15A1;COLGALT2;CPNE1;CPSF6;CPVL;CRYGD;CTRC;CYP17A1;CYP2C18;CYP4F12;CYP7B1;DDX51;DLGAP4;DNAH17;DNAJB12;DNASE1L2;DPF1;DPF2;DSC3;ELANE;ELK3;EPHB3;ERICH1;EYA2;FABP3;FAM131B;FAM149A;FCGBP;FOLR2;FST;FZD2;FZR1;GAS6;GAST;GDF5;GHR;GJA1;GNG12;GNGT1;GNRHR;GPR12;GPR162;GPR37L1;GPRC5B;GRAP;GRM3;GYPB;HAO1;HIPK2;HIST1H1E;HOXD13;HR;HRG;HSD17B6;HSD3B2;IFIT5;IMPA2;IRF8;ITGB4;ITIH3;JAG1;KCNN1;KIFAP3;KL;KLF12;KLK11;KLK13;KRT15;LCN1;LECT2;LOR;LOX;LPL;LRIG2;LY6E;LY6G6C;MAGI1;MALT1;MAPK11;MATN4;MCAT;MGA;MRAS;MSR1;MYH10;MYH15;MYO7A;MYO9B;MYOD1;NAT2;NCF4;NECAB3;NHP2;NKX2-5;NOP2;P2RX5;PACRG;PICK1;PIK3CD;PLA2G1B;PLCB4;PLD2;PLEKHO2;PLLP;PLXDC1;PPM1F;PPP3CA;PRKAR2A;PSKH1;PTCH1;PTPRN;RAB3A;RBM17;REG3A;RHOBTB2;RRH;RWDD2A;SAMM50;SCN2B;SCNN1G;SENP5;SF3A3;SKI;SLC10A1;SLC46A3;SMPDL3A;SPOCK2;SPRR2C;STAT1;STMN2;SULT2B1;SWAP70;TAF13;TAT;TEAD1;TFAP2B;TMEM151B;TMPRSS15;TNFRSF21;TNNI1;TRAK2;TRPC2;TRPM2;TRPV6;TXNRD2;TYMP;VPS9D1;VSTM4;WSCD2;ZBTB22;ZNF132;ZNF202;ZNF536;ZNF821
78	-16298.89409265626	0.16279378708322062	2768	GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_129_MOUSE_DN	robustscaler	decisiontreeregressor	copy=True;quantile_range=(25.0, 75.0);with_centering=True;with_scaling=True	criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=1;min_samples_split=10;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	ABCA2;ADAMTS6;ADORA2A;AHCYL2;ANKRD2;ANKRD29;ARHGEF11;ARHGEF16;ASCL1;ATP10D;ATP1B3;B3GNT5;BARHL2;BCL2L1;BIN1;BIRC2;BRF2;BRINP1;C5orf52;C8orf74;CAMK2N1;CAST;CATSPERD;CCDC116;CCDC162P;CCDC92;CCT6B;CD5;CD81;CDC42SE2;CERK;CERS4;CLVS1;COL19A1;COL4A4;CREBL2;CRH;CRKL;CTDSP2;CUBN;CYBRD1;CYP3A7;CYP4V2;DDX41;DDX47;DNAH7;DSPP;EDEM2;ENO3;ESYT2;F7;FAM118B;FAM53B;FAM98C;FBXO31;FBXO45;FCHSD2;FLOT1;FNDC9;G6PC2;GLIS3;GMCL1;H2AFY2;HNRNPC;HOMER2;HSF4;ID3;ID4;IGF1R;IGF2R;IGSF3;ITGA7;ITGB6;KCNA5;KCNJ9;KCTD20;KDM8;KIF5C;KIF9;KLF9;LAD1;LAPTM4B;LRRC8C;LYSMD2;MAT2B;MEX3B;MFSD2B;MTMR11;MTMR3;NECAP2;NFIB;NHLH2;NLRP4;NME8;NUDCD3;OLIG1;PATL2;PCMTD1;PCTP;PDGFA;PDZD9;PEAK1;PELI2;PFAS;PFN2;PHF23;PHLPP1;PITPNB;PLCL1;POPDC2;PRDM2;PRKAG2;PRNP;PROX1;PRPH2;PTDSS1;PTPN13;PTPN5;RALGDS;RASSF9;RBPMS2;RECK;RELB;RFXANK;RHBDL2;RIPPLY3;RPL5;RPRML;RRAGD;RSRP1;RXRA;SAV1;SCN11A;SELL;SETX;SFXN3;SHC4;SKIL;SLAMF9;SLC12A6;SLC25A31;SLC37A2;SLC52A3;SMOX;SNX18;SNX33;SOX30;SPAG4;SPHK2;SRRM1;STAG1;STAM2;STAT5B;STON1;SUPT7L;SUSD2;SWAP70;TAB2;TAS1R1;TCF25;TCF7L1;TMEM222;TMTC2;TOM1L2;TPPP3;TRDN;TRIM40;TRIM62;UGT3A2;VASN;WNT3;YPEL3;ZBED3;ZFP64;ZFP69;ZNF354A;ZNF521;ZNF585A
33	-15892.119083237489	0.1626805793870419	1717	GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_DN	binarizer	decisiontreeregressor	copy=True;threshold=0.65	criterion=mse;max_depth=3;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=8;min_samples_split=13;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	AIMP1;ALCAM;ALDH3A2;AMZ2;ANXA2;APPL2;ARAP1;AREL1;ARHGEF10;ATF6;BCL2L15;BCL3;BEND4;BNIP3L;C1orf21;CA13;CARHSP1;CASP6;CAST;CCDC63;CCNI;CD200;CD28;CDKN2D;CDS2;CELA1;CHD7;CMAS;COX7A1;CPD;CPVL;CRBN;CRCP;CREB3L2;CRELD2;CRTAM;CSNK1G3;CST7;CST9L;CYFIP2;DCTN4;DDIT3;DDR1;DGAT1;DLEU7;DLG2;DRAM2;DUSP22;EBF1;ECM1;EHBP1L1;EHD4;EIF2B2;ENPP2;ETV6;FAU;FLOT1;FNDC3A;FOSL2;FRMD4B;FTH1;GADD45G;GALC;GATM;GCH1;GEM;GJA1;GMFG;GOLGA7;GOLGB1;GPR171;GPR18;GSTM5;GZMA;HS1BP3;HVCN1;ID2;IL17A;IL21;INHBA;INTS12;IRAK2;ITGA3;ITM2C;KIAA1958;KLHL6;LAMC1;LIME1;LPXN;LUM;MALT1;MANF;MAP2K6;MARCH7;MCTP2;MDM2;MED10;MED12L;MED30;MFHAS1;MGLL;MT2A;MYO10;NDRG1;NDST1;NEK6;NFE2L2;NFKBIZ;NSF;NUCB2;OCIAD2;PAIP2;PAQR8;PARP16;PDGFA;PDIA6;PFKFB4;PHF7;PIWIL2;PLAC8;PLCD4;PLEK;POLD4;PPM1J;PPP1R3B;PRKCH;PRRC1;PSTPIP1;PTPRK;RAB11FIP1;RAB1A;RAB26;RANBP9;RAPGEF5;RFC3;RHOQ;RND1;RNF149;RNH1;S100A6;SCCPDH;SDF4;SEC61G;SEMA4F;SERPINE1;SGIP1;SH3GLB1;SH3RF1;SIRT7;SKAP2;SLAMF1;SLC35B1;SLC39A14;SLC4A11;SMIM3;SMOX;SNAPC1;SOX5;SPECC1;SRGN;STARD5;STOM;STX7;SUPT3H;SUSD3;SYPL1;TBCEL;THEMIS;TMEM218;TMEM43;TNFSF14;TNIP1;TOX2;TRAF1;TRPM4;TWSG1;UBE3D;UPP1;USP3;VILL;VIM;YPEL3;YPEL5;ZADH2;ZBTB21;ZC3H12D
84	-16619.827969055917	0.15038398224189506	1285	GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	binarizer	decisiontreeregressor	copy=True;threshold=0.6000000000000001	criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=19;min_samples_split=2;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	ACAA1;ACTB;ACTG1;ACTN1;ADAM8;AHNAK;AHR;AIF1;AK2;ALDH2;ALDOA;ANXA1;AOAH;AP2S1;APAF1;APIP;APMAP;APOBR;ARRB1;ATF3;ATG3;ATP1B1;ATP8B4;BHLHE40;C1orf54;CACNA2D3;CASP1;CAT;CD1B;CD1C;CD1D;CD1E;CD302;CD33;CD4;CD63;CD86;CEBPD;CHP1;CIDEB;CKLF;CLEC10A;CLEC4A;CLEC7A;CLTB;COL9A2;COTL1;CPQ;CPVL;CREB5;CREG1;CSF1R;CSGALNACT2;CST3;CST7;CSTA;CTBP2;CYFIP1;DAPK1;DOCK5;DPYSL2;DST;DUSP3;EFHD2;EIF4A1;ENO1;ETHE1;ETS2;FAM129A;FBP1;FCER1A;FCER1G;FCGRT;FKBP1A;FLT3;FZD1;GABARAP;GNA15;GNAQ;GNG5;GPX1;GRAMD4;GRN;GRPEL1;GSN;GSTP1;H2AFY;HEXB;ICAM1;ID2;IGFBP7;IGSF6;IL18;IL1R2;IL1RN;IL6R;IMPA2;INSR;ITGAX;KCTD12;KLF10;KLF4;LDHA;LDLRAD4;LEPROT;LGALS1;LGALS2;LGALS9;LIMS1;LMNA;LMO2;LST1;MAPKAPK3;MCL1;MCTP1;MGST2;MYCL;MYD88;MYL6;NACC2;NAGA;NDFIP1;NDRG1;NDRG2;NREP;OGFRL1;P2RY13;PADI2;PAK1;PARK7;PEA15;PGM1;PKM;PLBD1;PLCB2;PON2;PPIF;PPT1;PRKCI;PSAP;PSTPIP2;PTPRE;PTTG1IP;RAB31;RAB32;RAB7A;RCAN1;RCOR1;RGCC;RGS10;RHOC;RIN3;RNF130;RNH1;ROGDI;RPS6KA4;RTN1;RTN4;RUFY3;RUNX2;S100A10;S100A4;SAMHD1;SCD;SCNM1;SEMA4A;SEPT2;SH2B3;SH3BP4;SIRPA;SLC30A1;SORT1;SPATS2L;SSR1;ST3GAL6;STX3;TBXAS1;TGFBI;TIPARP;TMEM43;TNFAIP2;TNFSF13;TOB1;TPI1;TUBA1B;TUBA1C;TYROBP;VCL;VIM
40	-16967.869742283052	0.13011002954679232	3779	GSE23321_CENTRAL_MEMORY_VS_NAIVE_CD8_TCELL_DN	binarizer	decisiontreeregressor	copy=True;threshold=0.45	criterion=mse;max_depth=4;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=16;min_samples_split=10;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	AATK;ABCA12;ABCA2;ACPP;ADAM12;ADCY2;AGFG2;ALPI;ANGPT1;AP4E1;APOA4;ARHGAP22;ATP10D;ATP2C2;ATP6V1G2;BBIP1;BFSP2;BLK;BRWD1;C15orf39;C2;CACNA1C;CACNB2;CADPS;CALB2;CCDC57;CCDC86;CDK20;CLPS;COL15A1;COLGALT2;CPNE1;CPSF6;CPVL;CRYGD;CTRC;CYP17A1;CYP2C18;CYP4F12;CYP7B1;DDX51;DLGAP4;DNAH17;DNAJB12;DNASE1L2;DPF1;DPF2;DSC3;ELANE;ELK3;EPHB3;ERICH1;EYA2;FABP3;FAM131B;FAM149A;FCGBP;FOLR2;FST;FZD2;FZR1;GAS6;GAST;GDF5;GHR;GJA1;GNG12;GNGT1;GNRHR;GPR12;GPR162;GPR37L1;GPRC5B;GRAP;GRM3;GYPB;HAO1;HIPK2;HIST1H1E;HOXD13;HR;HRG;HSD17B6;HSD3B2;IFIT5;IMPA2;IRF8;ITGB4;ITIH3;JAG1;KCNN1;KIFAP3;KL;KLF12;KLK11;KLK13;KRT15;LCN1;LECT2;LOR;LOX;LPL;LRIG2;LY6E;LY6G6C;MAGI1;MALT1;MAPK11;MATN4;MCAT;MGA;MRAS;MSR1;MYH10;MYH15;MYO7A;MYO9B;MYOD1;NAT2;NCF4;NECAB3;NHP2;NKX2-5;NOP2;P2RX5;PACRG;PICK1;PIK3CD;PLA2G1B;PLCB4;PLD2;PLEKHO2;PLLP;PLXDC1;PPM1F;PPP3CA;PRKAR2A;PSKH1;PTCH1;PTPRN;RAB3A;RBM17;REG3A;RHOBTB2;RRH;RWDD2A;SAMM50;SCN2B;SCNN1G;SENP5;SF3A3;SKI;SLC10A1;SLC46A3;SMPDL3A;SPOCK2;SPRR2C;STAT1;STMN2;SULT2B1;SWAP70;TAF13;TAT;TEAD1;TFAP2B;TMEM151B;TMPRSS15;TNFRSF21;TNNI1;TRAK2;TRPC2;TRPM2;TRPV6;TXNRD2;TYMP;VPS9D1;VSTM4;WSCD2;ZBTB22;ZNF132;ZNF202;ZNF536;ZNF821
83	-16742.10583806194	0.1268961209489372	3190	GSE21927_SPLEEN_VS_4T1_TUMOR_MONOCYTE_BALBC_DN	binarizer	decisiontreeregressor	copy=True;threshold=0.30000000000000004	criterion=mse;max_depth=2;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=17;min_samples_split=11;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	ABCB10;ABCB6;ACAT1;ACSL1;ADAMTS1;AFAP1;AHSA1;AKAP8;ANGEL1;ANGEL2;ARHGEF28;ARRDC4;ATM;ATP2C1;BCAP29;BCS1L;BOC;C12orf66;C12orf74;C1orf109;C8orf88;CASP3;CCDC117;CCDC136;CCNB1;CCSER1;CDCA7L;CDCA8;CDK12;CENPE;CEP152;CGN;CHODL;CHSY1;CLEC4G;CMTM4;COA6;COPRS;CROT;CRY1;DDX10;DDX41;DENND1B;DHODH;DNAJC2;DNAJC3;E2F8;EFTUD2;ELAC2;EMC8;ENOSF1;ENSA;ETFA;ETFB;EXOSC3;FAM107A;FAM192A;FANCE;FARSB;FEN1;FNBP4;FOXL1;FRMD4B;GART;GFM1;GFM2;GNPNAT1;GRPEL1;GTF2E1;GTF3C6;GTSE1;HELLS;HIST1H2AM;HNRNPD;HOTAIR;HS3ST3A1;ICAM3;ID3;IFI30;IMP3;IQGAP1;JDP2;KCNH2;KCNH7;KCNRG;LIFR;LINC00842;LYSMD2;MAML1;MCMBP;MGLL;MITF;MRM1;MRRF;MT2A;MTFR2;MYBBP1A;NDC1;NDUFB6;NFATC3;NFYC-AS1;NINJ1;NKX2-1;NOP2;NOX3;NPC1;NUP37;PAG1;PARP12;PARP2;PC;PDZRN3;PGBD5;PINX1;POLE2;POLR2J;POMK;PPP1CA;PPT1;PRKDC;PRPF38B;PSG4;PSMC5;PSMG1;PSMG4;RABGGTB;RANBP17;RASEF;RBM14;RBM19;RDH13;RITA1;RNF26;RPL11;RSPO3;RWDD1;SAP30;SBNO2;SCGN;SCIN;SERBP1;SETD6;SFRP1;SLC15A3;SLC16A7;SLC35A3;SLC35B3;SLC35F4;SLC5A6;SMARCD2;SNAI1;SNRPB;SNX5;SP2;SPINK6;SRRT;SSU72;SSX2IP;STEAP3;STX17;STYK1;SUCLG2;TATDN2;TBP;TEX10;TIMM21;TMEM108;TMPO-AS1;TONSL;TPSD1;TSN;TWF1;UACA;UBAC1;UBAP1L;UBR7;VWA3B;XPNPEP3;XPO4;XRCC5;ZC3H3
25	-17048.260195246112	0.1196394088397335	4314	GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_DN	robustscaler	kneighborsregressor	copy=True;quantile_range=(25.0, 75.0);with_centering=True;with_scaling=True	algorithm=auto;leaf_size=30;metric=minkowski;metric_params=None;n_jobs=None;n_neighbors=7;p=2;weights=distance	ABHD16A;ACAP3;ADAM17;ADI1;AIG1;ALDH5A1;ALDH6A1;ALG5;ANAPC15;ANPEP;ARFIP1;ARHGAP9;ARHGDIB;ARV1;BNIP1;BTBD3;C1QBP;C1orf54;C2orf69;CASP6;CCND3;CCT6B;CENPB;CENPN;CENPU;CHN2;CLCN3;CLTA;COMMD5;CORO1A;COX8A;CREB5;CTBP2;CUTA;CYTH4;DAGLB;DCUN1D5;DHX40;DOK2;DTWD1;DUSP2;EFTUD2;EGR1;EGR2;EIF2A;EIF3D;ERCC1;EXOSC9;FAM129B;FAM76B;FCER2;FEN1;FITM2;FLVCR2;FOXQ1;FOXRED1;GCNT1;GLIPR1;GMFG;GOLIM4;GPD1L;GTF2A2;HADH;HCLS1;HPGDS;IER2;IFT74;IMPA2;INSIG1;JADE1;JMJD6;KCNK13;LIAS;LINC00667;LRRC58;LSM4;LSM7;LYRM7;MAGOH;MAP2K6;MAP7;MCM6;MED31;MEF2C;MGST2;MLH1;MPPE1;MRPS12;MRPS24;MSRA;MTFR1;MTMR14;MYCBP;NAIP;NARF;NCF2;NDC1;NELFCD;NLRP3;NPM3;NUDT9;OLFML2B;OLFML3;OST4;PAK1;PCSK5;PCTP;PDGFA;PDLIM2;PET100;PEX1;PI4KB;PMPCA;POLR2L;PPFIBP1;PPP2CB;PRADC1;PREP;PROS1;PSMC5;PSMD6;PSMG4;PTGS1;PTPN6;PYCARD;RAB14;RAB31;RAB4B;RASSF5;RBL1;RFC5;S100A4;SAMM50;SATB1;SF3B6;SHQ1;SKA2;SKI;SLA;SLC10A7;SLC12A9;SLC22A18;SLC35D1;SLC38A6;SNX4;SNX8;SPTSSA;SRSF2;SRSF6;STRAP;STXBP5;SULT1A1;TDRKH;THBD;TM2D1;TMEM64;TOP1MT;TP53RK;TPM3;TPRKB;TRMT10C;TSHZ3;U2AF1;UBE3D;UHRF1;UQCRH;URM1;UROS;USP16;VCP;VPS45;WDR37;ZNF263;ZNF367;ZNF609;ZNF697;ZNHIT1;ZSCAN9;ZW10;ZWINT
3	-17048.260195246112	0.1196394088397335	4314	GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_DN	robustscaler	kneighborsregressor	copy=True;quantile_range=(25.0, 75.0);with_centering=True;with_scaling=True	algorithm=auto;leaf_size=30;metric=minkowski;metric_params=None;n_jobs=None;n_neighbors=7;p=2;weights=distance	ABHD16A;ACAP3;ADAM17;ADI1;AIG1;ALDH5A1;ALDH6A1;ALG5;ANAPC15;ANPEP;ARFIP1;ARHGAP9;ARHGDIB;ARV1;BNIP1;BTBD3;C1QBP;C1orf54;C2orf69;CASP6;CCND3;CCT6B;CENPB;CENPN;CENPU;CHN2;CLCN3;CLTA;COMMD5;CORO1A;COX8A;CREB5;CTBP2;CUTA;CYTH4;DAGLB;DCUN1D5;DHX40;DOK2;DTWD1;DUSP2;EFTUD2;EGR1;EGR2;EIF2A;EIF3D;ERCC1;EXOSC9;FAM129B;FAM76B;FCER2;FEN1;FITM2;FLVCR2;FOXQ1;FOXRED1;GCNT1;GLIPR1;GMFG;GOLIM4;GPD1L;GTF2A2;HADH;HCLS1;HPGDS;IER2;IFT74;IMPA2;INSIG1;JADE1;JMJD6;KCNK13;LIAS;LINC00667;LRRC58;LSM4;LSM7;LYRM7;MAGOH;MAP2K6;MAP7;MCM6;MED31;MEF2C;MGST2;MLH1;MPPE1;MRPS12;MRPS24;MSRA;MTFR1;MTMR14;MYCBP;NAIP;NARF;NCF2;NDC1;NELFCD;NLRP3;NPM3;NUDT9;OLFML2B;OLFML3;OST4;PAK1;PCSK5;PCTP;PDGFA;PDLIM2;PET100;PEX1;PI4KB;PMPCA;POLR2L;PPFIBP1;PPP2CB;PRADC1;PREP;PROS1;PSMC5;PSMD6;PSMG4;PTGS1;PTPN6;PYCARD;RAB14;RAB31;RAB4B;RASSF5;RBL1;RFC5;S100A4;SAMM50;SATB1;SF3B6;SHQ1;SKA2;SKI;SLA;SLC10A7;SLC12A9;SLC22A18;SLC35D1;SLC38A6;SNX4;SNX8;SPTSSA;SRSF2;SRSF6;STRAP;STXBP5;SULT1A1;TDRKH;THBD;TM2D1;TMEM64;TOP1MT;TP53RK;TPM3;TPRKB;TRMT10C;TSHZ3;U2AF1;UBE3D;UHRF1;UQCRH;URM1;UROS;USP16;VCP;VPS45;WDR37;ZNF263;ZNF367;ZNF609;ZNF697;ZNHIT1;ZSCAN9;ZW10;ZWINT
34	-17013.8291949257	0.1146935358627718	2708	GSE9946_IMMATURE_VS_LISTERIA_INF_MATURE_DC_UP	minmaxscaler	decisiontreeregressor	copy=True;feature_range=(0, 1)	criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=2;min_samples_split=17;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	ABO;ADRA2A;ALLC;ASNA1;ATP10B;ATP6V1D;BEGAIN;C2orf78;C6orf15;C7orf50;C9orf78;CAGE1;CCDC146;CCDC148;CHGB;CLDN19;CMBL;CNGA4;COL1A2;COL6A1;COX8C;CPA1;CRYGS;CST11;CTCFL;CTIF;CWC25;CYP2C8;DAB1;DCDC2C;DDR1;DDX52;DNAH14;DNAJB9;DPPA5;ECEL1;EFCAB10;EHMT1;EIF2B5;ELN;ENDOV;EQTN;FAM114A2;FAM168B;FAM53C;FAM71A;FAM83E;FBXW12;FGF23;FOXE3;GEMIN5;GFI1B;GLRB;GOPC;GPATCH3;GPIHBP1;GSKIP;GSX2;HCK;HECW1;HES7;HLF;HOXD11;HSPG2;HTR3B;IFNA4;IL23R;IL4R;IMP4;KCNK2;KCNMB2;KCNV1;KIAA1191;LCAT;LINC00514;LRRC18;LRRC7;LRRK2;MAGI2;MARCH11;ME1;MMP20;MS4A7;NBEA;NCDN;NDRG3;NIP7;NIPAL2;NIPAL4;NKX3-2;NOXO1;NTN1;OBSCN;OR1A1;OR2K2;OR51B6;OR51G2;OR5AK2;PCDH12;PDAP1;PDLIM2;PHOX2B;PLCD3;PLCXD2;PLD1;PLD2;PPFIA2;PRKG2;PRL;PROSER2;PRRX2;PSKH1;R3HDM4;RIC3;RNF115;RNF185;SDK1;SFTPA1;SH3BP5;SLC23A2;SLC35E1;SLC6A16;SMPD3;SP2;SPACA3;ST18;STARD13;SUCNR1;SYN2;TEX29;TFIP11;THBS1;TMEFF2;TMEM174;TMTC2;TRAK1;TRAM2;TRAPPC3;TRIM42;TTC12;UBE2J2;ZBTB44;ZBTB46;ZNF25;ZNF394;ZSWIM4
