Permutation	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
21	-0.03180679804062872	0.02355754651071349	317	GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	standardscaler	elasticnetcv	copy=True;with_mean=True;with_std=True	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.2;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.0001;verbose=0	AAK1;ABCC3;ABCG4;ACP6;ANKRD55;APBA2;ART3;ASL;ATAT1;AUP1;B3GNTL1;BPIFA1;BST2;BTNL2;CASP10;CASP8;CAT;CBY1;CCDC25;CCDC69;CEMP1;CHAT;CIB1;CKAP4;CLDN9;CLUAP1;COL18A1;COPS7A;CTRB2;DDX28;DENND4B;DEXI;DNAH17;DNAJB4;DNAJC22;DPF2;DPH5;DPP4;EFEMP2;EIF3D;EIF3K;ELMO2;EPHB1;ERAL1;EYA3;FAM182B;FAU;FGF9;FGFR2;FGL1;FOXN2;GDPD3;GJD2;GP5;GPA33;GRHL2;HCRTR2;HERC2;HIST1H1C;HLA-DQB1;HLF;HPSE2;HTR7;IFT46;IL11RA;INA;INPP5B;IRF5;ITPA;ITPKC;KLHL1;KRT33B;LAMB2;LAMP5;LDLRAP1;LILRA4;LINC00599;LINC00963;LRIG1;LY6D;LYPD1;MARK1;MGAT4A;MKNK2;MORC2;MRPL46;MSX1;MT1X;MYL12B;NCK2;NDRG3;NEURL1;NME3;NMT1;NOP10;NOSIP;NPIPB15;NR2E1;NR5A2;NSFL1C;NUDT2;NUP43;OR7E87P;OTOR;PACSIN2;PASK;PCOLCE;PDIA2;PECR;PEF1;PEX26;PF4V1;PHF20;PIGP;PIP5K1B;PKN1;PLAC8;PLBD1;PLEC;PLEKHA1;PLOD2;POLR2F;POLR2J;PPP1R13B;PRKCA;PSD3;PTGER2;PXN;RAB11FIP5;RAB5C;RABIF;RAPSN;RASGRP2;RBBP6;RBCK1;REXO2;RIMBP2;RNFT1;RPL27A;RPL3;RPL41;RPS16;RPS2;RPS6;RUNX1T1;SCNN1B;SDC2;SDK2;SEL1L3;SELPLG;SFI1;SFXN3;SIDT2;SLC16A8;SLC17A7;SLC8A2;SMAGP;SMTN;SNX15;SNX2;SORL1;SOX2;SP110;SPAG11B;SPINK4;SPSB3;SPTB;STIM1;TARBP1;TH;THBS1;THNSL1;TMEM11;TSPAN14;TUBA4A;U2AF1;WDFY3;ZBTB39;ZNF358;ZNF692;ZNF835
80	-0.03363882419631027	-0.008725366107026723	2332	GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_UP	binarizer	linearsvr	copy=True;threshold=0.8	C=0.01;dual=False;epsilon=0.0001;fit_intercept=True;intercept_scaling=1.0;loss=squared_epsilon_insensitive;max_iter=1000;random_state=None;tol=0.01;verbose=0	ABCB11;ABCB6;ABHD14B;ABLIM1;ABO;ACOXL;ACPP;ACTN2;ADAT1;ARHGEF33;ARMC7;ARMC9;ASH1L;ATG4C;ATN1;BACH1;BBS7;BBS9;BCDIN3D;BFSP2;BMP5;BOLL;BRMS1L;C19orf57;CAP2;CCDC14;CDC42BPG;CLIC5;COL11A2;COL23A1;CPSF6;DDX19B;DENND2C;DLG1;DMBT1;DRC1;DTX4;ERAL1;EXD1;EXPH5;F2RL1;FAM118A;FAM120AOS;FBXL4;FGFBP3;FGGY;FNBP1L;FOXRED2;FRY;GDA;GDPD1;GINM1;GLUL;GOLPH3L;HAUS1;HCFC2;HID1;HIF1AN;HOXA1;HOXD4;HP1BP3;HSD17B7;IGF2R;ITGB3;JUP;KAZALD1;KCTD6;KIAA1147;KRT1;KRT10;LAMA3;LCA5;LRRC75B;MAGEF1;MFSD3;MLLT11;MMP11;MOCS2;MPP5;MRAP;MRVI1;MSL1;MTG1;MYLIP;MYO5B;N4BP2;NDRG1;NFE2L2;NGRN;NICN1;NIN;NIPAL1;NLRP6;NPC2;NSMCE1;OLIG1;OSGIN1;P4HA2;PADI1;PADI2;PADI3;PANK3;PATZ1;PDE2A;PDPR;PLAUR;PNISR;PRKD3;PRRT1;PSD3;PSTPIP2;PTK2;PTS;PYROXD2;RABGAP1L;RBM4B;RCAN3;RCN1;REEP1;RERE;RFX2;RNF32;RPS6KB1;RSBN1;RWDD2A;SELENBP1;SEMA4A;SENP8;SFRP2;SH3YL1;SHE;SLC16A10;SLC16A7;SLC25A27;SLC25A37;SLC29A2;SLC30A7;SMUG1;SNHG7;SORCS2;SPATS2L;SPICE1;STX1A;SUN1;SUPT7L;TANC2;TBC1D16;TBC1D19;TBXA2R;TDO2;TEC;TESK2;TLE4;TMCC3;TMED8;TMEM258;TNPO2;TPST1;TRIB3;TSPAN9;TTYH3;TUBB2A;TUBB2B;UHMK1;URGCP;VAMP1;VANGL2;VPS13C;VWA7;WDR48;WNT5B;WRB;WTAP;ZDHHC16;ZFC3H1;ZFP69;ZFYVE21;ZMYND12;ZNF329;ZNF397;ZNF629;ZNF764;ZNF879
31	-0.03415420111063129	-0.010306337554264466	979	GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN	nystroem	ridgecv	coef0=None;degree=None;gamma=0.15000000000000002;kernel=sigmoid;kernel_params=None;n_components=4;random_state=None	alphas=[ 0.1  1.  10. ];cv=None;fit_intercept=True;gcv_mode=None;normalize=False;scoring=None;store_cv_values=False	ABHD5;ACAA1;ACSL1;ADAM8;ADAP1;ADM;AIF1;AMPD2;ANXA3;APMAP;APOBEC3A;AQP9;ARAP3;ARHGEF40;ARPC5;ATP6V1B2;B4GALT5;BCL2A1;BCL3;BID;BIN2;BST1;C5AR1;CAMP;CASP4;CD300A;CD302;CD58;CD63;CEBPD;CFD;CFLAR;CKAP4;CKLF;CLC;CLEC4A;CLEC7A;CLTB;CPPED1;CSF2RB;CSF3R;CSTA;CTBS;CTSC;CUEDC1;CXCL1;CXCL8;CXCR1;CXCR2;DENND5A;ECE1;EFHD2;EVI2A;FAM129A;FAM49B;FAS;FCER1G;FCGR2A;FCGR3B;FCN1;FFAR2;FGL2;FLOT1;FPR1;FRAT1;FRAT2;FTH1P5;GAB2;GCA;GIMAP4;GK3P;GRIK5;HCAR3;HCK;HCP5;HIST1H1C;HLX;HSPA1A;HSPA6;ID2;IER3;IFI6;IFIT1;IFIT3;IFITM1;IFITM2;IFITM3;IGSF6;IL1R2;IMPA2;IMPDH1;ITPK1;KIAA0513;LILRA2;LILRB3;LIMK2;LITAF;LST1;LY96;MAPKAPK3;MCL1;MEGF9;MIR22HG;MME;MNDA;MPPE1;MSRB1;MTHFS;MTX1;MYO1F;NADK;NAMPT;NCF2;NDEL1;NDUFB3;NFE2;NFIL3;NINJ1;NINJ2;NMI;NOP10;NPL;NQO2;NRBF2;NUP214;P2RY13;PHC2;PILRA;PISD;PLBD1;PLEK;PLEKHO2;PLXNC1;PPCDC;PPP2R5A;PPP4R1;PPT1;PRDX3;PTGS2;PYGL;QPCT;RAB31;RALB;RASSF2;RNF130;RTN3;S100A11;S100A12;S100A6;S100A8;S100A9;S100P;S1PR4;SEC14L1;SECTM1;SEMA4D;SERPINA1;SH3GLB1;SLC16A3;SLC31A2;SLC9A3R1;SLPI;SOD2;SORL1;SPATA2L;SRGN;STX3;TALDO1;TIMM8B;TMBIM1;TMED1;TMEM140;TNFRSF10C;TNFRSF1B;TNFSF10;TOR4A;TREM1;TRIB1;TSEN34;TXN;TYROBP;USP10;VASP;VNN2;VNN3;XKR8;ZDHHC18
25	-0.03335122226748772	-0.014812677042924504	1360	GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP	standardscaler	elasticnetcv	copy=True;with_mean=True;with_std=True	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=1.0;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCB1;ADAM33;ADARB1;ADAT3;ADRA1A;ADRB3;ALDH5A1;ANGPT4;APBA1;APOA1;ARHGDIA;ARHGEF40;ART3;ASAH2;ASCL2;BANK1;BDH2;C19orf33;C19orf66;C19orf81;C1QTNF1;C5AR1;CA11;CA6;CAMK2A;CAMK2N1;CD86;CFHR1;CHRNA5;CLIC1;CNN1;CNTN2;COQ10A;COX6B2;CPNE4;CRISPLD1;CRYBG3;CRYGS;CSF3R;CTDNEP1;CTDSP1;CTTNBP2;CYP21A1P;DCDC2;DDB2;DHH;DNAJC22;DTX3;ECHDC3;EFS;ENPP3;FABP2;FAM135A;FARP1;FBXL18;FBXO16;FCER1G;FCGR2A;FUT2;FXYD1;FXYD4;FXYD6;FZD6;GAPDHS;GATA6;GLIS1;GLRX;GNG4;GPX7;GRM5;HEBP1;HFE;HK3;HOPX;HOXB1;HOXC10;HS3ST4;HSD17B14;IFNA1;IL15RA;IL18RAP;IL24;INPPL1;IRS1;ITIH1;JPH4;KCNC2;KCNJ11;KRTAP8-1;LBX2;LRRC15;LRRC18;LRRC19;MARCH1;MBOAT1;MFSD10;MIA2;MMRN1;MTMR7;MXD3;MYO6;MYRFL;NAAA;NBAS;NDUFV3;NEFL;NEU2;NOD1;NOTCH3;NPC2;NPHS1;NR1D1;NRARP;ODF1;OS9;OSBPL6;OSGIN1;OTOP2;OVOL2;P2RY2;PAK6;PCBD1;PLAC8L1;PLEKHA8;POMGNT2;PRDM1;PRKG1;PRRT3;PRSS12;PSCA;PTGFR;RAD51B;RBP7;REG3A;RIMS3;RNASE4;RNF182;RNF216;RPRM;S100B;SCARA5;SDCBP2;SELE;SERPINB1;SERTAD4;SLC22A17;SLC34A2;SLC34A3;SLC36A2;SLC47A1;SLC52A3;SMPDL3B;SMTN;SPATA25;SPRR2A;SST;ST6GALNAC1;SUSD3;SUSD5;SYK;SYT6;TAL1;TBC1D5;TEAD4;TFAP2A;TFAP2B;TMCO4;TNFSF13B;TPTE;TRH;TSPAN31;TTLL6;VIP;VSTM2B;WARS2;WDR64;ZBP1;ZBTB42;ZFAND2B;ZKSCAN4;ZNF354B;ZSCAN12
2	-0.033407919854421604	-0.016065571921651544	719	GSE17721_0.5H_VS_4H_POLYIC_BMDC_DN	binarizer	elasticnetcv	copy=True;threshold=0.5	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.001;verbose=0	ABR;ADAP2;ADAT1;ANKRD26;ANXA7;ARID4B;ASH2L;ASPRV1;ATAD2B;ATE1;ATF3;ATP6V0A2;BAZ2A;BFAR;BLOC1S6;BNIP2;C6orf62;C9orf72;CARHSP1;CCDC127;CCDC6;CCNI;CCNT2;CD38;CDC42SE1;CDKN1A;CHIC2;CHMP3;CKAP5;CLDND1;CLYBL;CPSF2;CROT;CSF1;CST7;CXCL9;DBR1;DCLRE1A;DHX58;DLGAP4;DRAM2;DUSP16;EFR3A;ENDOD1;ETF1;FABP3;FBXW11;FBXW7;FDPS;FXR2;GAL3ST1;GAST;GATAD2A;GBP2;GCC1;GCH1;GFPT1;GLCCI1;GOSR1;GSR;HAX1;HELZ2;HIPK3;HIST3H2A;HOOK2;IGFBP2;IL6ST;IREB2;IRF2;ITGA4;KBTBD2;KDR;KEAP1;KLRK1;KRCC1;LMBRD1;LZTFL1;MAN1A2;MARK4;MBL2;MITF;MLLT10;MS4A6A;MTF2;MYO1D;MYO1E;MYT1;NAMPT;NDUFA7;NET1;NEU3;NFKB1;NFKBIA;NIPA2;NKG7;NPY1R;NR3C1;NUB1;OAS2;ORC1;OSBPL11;OSTF1;P2RY14;PACS1;PARP4;PCNA;PDCL;PDE6B;PDE7A;PDLIM5;PEX11B;PEX13;PEX26;PLEKHA2;PLEKHA3;PLEKHN1;PLK2;POLR2B;PON3;PPP1R15A;PPP2R5A;PRPF3;PSMA4;PTPRO;RAB31;RAB33B;RALGDS;RBM43;RNF34;RPE;RPS6KA2;RSAD2;RTCA;SEC13;SEC24D;SMC5;SMOX;SOCS6;SOS1;SPTLC2;SQSTM1;SRXN1;SSTR1;ST3GAL5;STAM;STARD5;STAU1;STX18;SYNJ2BP;TAL1;TDRD7;TECR;TFDP1;TIAM1;TMEM242;TNFSF9;TRIM34;TSC22D1;TTI2;TULP4;UBAP1;UBE2E3;UBE2N;UBXN8;USO1;USP25;USP8;VCAN;VPS72;VRK2;XPO4;XRN2;ZADH2;ZDHHC20;ZDHHC5;ZNF106;ZNF436;ZNFX1
34	-0.03381679641505849	-0.01738953550472	1395	GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_DN	rbfsampler	elasticnetcv	gamma=0.9;n_components=100;random_state=None	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.35000000000000003;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ACPP;ADAM15;ADAM17;ADCY6;ADSS;ADSSL1;AEBP2;AGFG1;AGO2;AHNAK;ANKRD28;ANXA10;ANXA11;ANXA2;ANXA3;AP3S1;ARF4;B3GALT1;B3GNT2;BCL2A1;BHMT;BLCAP;BLK;BMP8B;C6orf62;CACNA1S;CACUL1;CASP4;CBX2;CCAR1;CCNC;CD276;CD83;CDIP1;CDKN1A;CENPC;CFLAR;CHD7;CHRNA1;CLDN7;CNOT4;CWC22;DAB1;DHCR24;DNAJA2;DNAJB2;DNAJB6;DNAJC21;DYNC1I1;EDEM3;EEA1;ELL2;ENO2;ENPP2;FABP5;FHDC1;FTH1;FTL;GCSH;GJB2;GLRB;GNAI3;GOLGA4;GPCPD1;GPD2;GSPT1;GUCD1;H2AFZ;HAS1;HIVEP2;HNRNPA2B1;HNRNPA3;HOMER3;HOXA4;HSD17B11;HSPA9;HSPE1;IFIT2;IL12B;IL18RAP;IL1RN;IMPAD1;INHBC;IRF4;IRGM;KCMF1;KIF2A;KPNA3;KRAS;KRT84;KTN1;LARP1;LATS2;LDLR;LGMN;LITAF;LMNA;LPCAT3;LPIN2;LRRC59;M6PR;MAB21L2;MAP4K4;MARK3;MDM2;MMP12;NAE1;NAMPT;NDFIP2;NEK4;NOS2;NRAP;NUFIP1;ONECUT1;PCSK5;PDIA5;PDK4;PDPN;PHLDA3;PIK3R1;PLCB1;PLK2;PLSCR1;PPP2R2A;PPP6C;PRDX1;PSMD8;PTGES;PTGES3;PTGFRN;RAB10;RAB5A;RAB7A;RAD23B;RALA;RAP1B;RASD1;RBX1;RGCC;RNF11;RNF2;RPL7L1;RPP30;RPS15A;SCIN;SEMA7A;SERPINB9;SHD;SLC41A1;SLC51A;SLC5A1;SLC7A11;SLIRP;SMARCA5;SNX4;SNX9;SRGN;SRXN1;STAT3;STAT4;STX3;STXBP3;SUGT1;TBCA;TBK1;TGIF1;TMED7;TOR1AIP2;TPD52;TPST2;TRAF1;TRAF6;TUBB6;TWIST2;UBE2D3;UBE2J2;UBE2Z;UBL3;USP14;VPS4B;WAC;WDR26;WDR92;WNK1;WSB1;WSB2;YBX3;ZP3
38	-0.033474942625312684	-0.017654522592129362	2264	GSE4748_CTRL_VS_LPS_STIM_DC_3H_UP	binarizer	elasticnetcv	copy=True;threshold=0.35000000000000003	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.1;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ACKR3;ADAMTS1;AGAP1;AHNAK;AKAP12;AMFR;AMOTL2;AMPD3;ANGPTL2;ANGPTL4;ANKRD17;ANTXR2;ARHGEF10;ARL2BP;ASXL1;BCL2L11;BHLHE22;BICC1;C1QTNF1;CAB39;CACNA1H;CAV1;CCNC;CD248;CDC123;CDH11;CGGBP1;CMAS;CNOT1;COL3A1;COL5A2;CREB3L1;CRY2;CTDSP2;CXCL12;CYP1B1;DIP2B;DKK3;DPYSL3;DYNC1I2;E2F8;EDEM1;EDN1;EGR2;ELK3;EMP1;ENC1;EREG;ERRFI1;FAM32A;FBN1;FBXL14;FBXL20;FEM1B;FNDC3A;FRMD6;FSTL1;FUS;FZD7;GALR2;GAS1;GHR;GPR153;GTF2B;HAS2;HBEGF;HECTD1;HMGA2;HNRNPD;IARS;IFI35;IFI44;IFIT1B;IFIT3;IGFBP3;IL1RL1;INHBA;INTS5;IQGAP1;IRGM;ITGAV;KCTD11;KDM3B;KIAA0100;KLHL22;KLK6;LIFR;LRBA;LRRC58;M1AP;MAML1;MAN1A1;MBTPS1;MED1;MIS12;MITD1;MLXIP;MMP10;MMP13;MOB1B;MT1E;MT2A;MX1;NAB2;NCAM1;NEDD9;NFATC2IP;NID1;NMD3;NPR3;NTMT1;OTUD4;OXR1;OXSR1;PDGFRA;PDK1;PENK;PGF;PGP;PIK3R4;POLR2A;POSTN;PRSS23;PSD3;PTCH1;PTPN11;PYGL;RAP2A;RAPGEF1;RASSF8;RBM5;RHOJ;RIN2;RIPK1;RLF;RND3;RNF19A;RPS6KC1;RTP4;SAV1;SCAF11;SCARA5;SEC23A;SERPINE1;SERPING1;SERTAD3;SESN2;SIN3A;SLC14A1;SLC16A3;SLC25A37;SLC38A2;SMAD7;SNX4;SOX2;SOX9;SPRED1;SPRED2;STARD13;STX5;SUFU;SUPT16H;SYNPO;TARS;TEAD3;TERF1;TIMP3;TLL1;TRIB2;TRIM2;TSPAN5;TSR3;TUBA3C;TUT1;TWF1;UBE2Z;UNC5B;WASF2;WNT5A;ZADH2;ZFP90;ZNF292;ZNF334;ZNF532
69	-0.033458747658026054	-0.01794812445558027	3415	GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP	maxabsscaler	elasticnetcv	copy=True	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.2;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	A4GNT;ABCG1;ABI2;ABRACL;ARAP2;ARHGAP29;ARMC2;ATOH1;ATP6V0C;BOC;BRD3;C21orf91;CACNA2D2;CADPS2;CASP8AP2;CCDC38;CCDC88A;CCT6A;CETN3;CHAMP1;CHIA;CHURC1;CISD1;CMC2;CNOT6;COX7A2;COX7B2;CPNE5;CSF2RB;CSTB;CTDP1;CWC15;CYB5R4;DAD1;DCN;DDX18;DIAPH3;DNAJC15;DR1;DUSP4;DUT;DZANK1;E2F5;EFR3A;EFTUD2;EHD2;EHD3;EIF3B;EIF3E;EIF5B;ELAVL4;EXOC4;FABP5;FAM162A;FAM83G;FBXO8;FIBIN;GANC;GAPVD1;GAS2L3;GCSH;GRIN3B;GRPEL1;GSX2;GTF2H5;HAO1;HAS2;HLF;HNRNPA0;HNRNPK;IER5;IGF1R;IKZF1;IL22RA2;IRX2;JAK1;KIF26B;KRIT1;KRR1;L3MBTL3;LAMTOR1;LCOR;LOR;LRRC3B;MAB21L2;MAGI3;MAGOH;MAT2A;MED13L;MED18;MED30;MFAP3;MIA3;MPC2;MRPS28;MZT1;NAPB;NBEAL1;NDUFA2;NDUFB3;NDUFB5;NDUFB6;NDUFB8;NDUFC1;NHLRC2;NHP2;NOL7;NPHS2;NUDT21;OLIG3;OSTC;PDGFD;PDK1;PNO1;PODXL2;POLDIP3;POLE3;PPIA;PSMA6;PSMD6;PSMG4;PTPRE;RABGAP1L;RAD1;RAP1B;RBM12;RBM15B;RHOF;RNF182;ROMO1;RPL31;RPS26;RRAGD;RRP15;RRS1;SEC23B;SEMA3E;SEPT10;SLC25A15;SLC35G6;SLC4A7;SMIM5;SON;SORL1;SPECC1L;SRP9;SSR2;STK4;SUFU;SYDE2;SYT11;TDO2;TEX38;THEMIS;TIRAP;TMED7;TMEM150B;TMEM41A;TMEM45A;TMPRSS5;TPBG;TRAPPC10;TRMT6;TTC14;TWISTNB;UBE2F;UGT2A3;UNG;UQCR11;UROC1;YOD1;ZFP64;ZFPM1;ZNF287;ZNF560;ZNF841;ZSCAN20
86	-0.03351875901343786	-0.01816288517418845	1098	GSE26669_CD4_VS_CD8_TCELL_IN_MLR_COSTIM_BLOCK_UP	maxabsscaler	elasticnetcv	copy=True	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.05;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABI2;ACSL1;ACSL3;ACVR1B;ACVR2B;AFTPH;AIG1;ALDOC;ALOXE3;ARFIP1;ARPC5L;ASAH2;ASNSD1;ATP8B2;ATRNL1;AXIN2;BCKDHB;BDH1;BRMS1L;BRSK2;BZW2;C14orf119;C3orf84;CAMKK2;CAND2;CASP1;CASS4;CCDC112;CCDC157;CCM2;CD247;CDC42EP2;CDK2;CERS4;CERS6;CHURC1;CNIH4;CPM;CPSF3;CRLF3;CRMP1;CSNK1G3;CYP2D6;CYTIP;DLEU7;DNAJC21;DNAJC6;DTX2;DUSP1;E2F2;EAF1;ELAVL2;FAM189A2;FAM49A;FRMD6;FTO;GABARAPL2;GABRR2;GALK2;GATA3;GFER;GIMAP4;GLS;GMFG;GNGT2;GOLPH3L;GPSM2;GTF2A2;HADH;HIVEP2;HNRNPLL;HS3ST3B1;IFI30;IFI44L;IFIT2;IFT57;IMPA1;INPP5B;JOSD2;KCND3;KIF24;KIF3A;KRBA1;KRT20;LACTBL1;LANCL2;LDLRAP1;LRRC42;LSM2;LYPD5;MANSC1;MAP2K4;MAP3K5;MCEE;MFHAS1;MRPL50;MTMR10;NAA16;NCMAP;NDUFAF7;NT5C3A;NTN4;NUP160;NXPE3;NYAP1;PARP11;PDF;PHLPP1;PIM1;PLEKHF2;PLK3;POLR2M;POLR3E;PPIL6;PRELID1;PRR13;PRR14L;PSAT1;PTGIR;PWWP2B;RAMP3;RASGRP2;RASSF3;RBM38;RBM47;REV1;RFFL;RGMB;RHBDL3;RPA1;RPE;SAPCD1;SAV1;SEC11A;SEC14L5;SEPT10;SLAIN2;SLC25A23;SLC25A24;SLC30A1;SLC48A1;SNAPC2;SNN;SNRPC;SNX25;SOX4;SREBF2;SRSF3;ST3GAL2;STK39;STMN1;STT3B;SULF2;SUPT7L;TES;TGFBR2;TGIF1;TM2D3;TMCC1;TMCC3;TMUB1;TNFRSF1A;TNFRSF25;TRPC3;TSPAN3;TTBK2;TUBA4A;TUBGCP6;UBE2E3;UBQLN1;UPF3A;UQCRC2;XPNPEP1;YPEL2;YTHDC1;ZBTB18;ZBTB2;ZFAT;ZNF280B;ZNF467;ZNF569;ZNRF1;ZSWIM2
95	-0.033413246271785144	-0.01821574208182546	2987	GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN	normalizer	ridgecv	copy=True;norm=max	alphas=[ 0.1  1.  10. ];cv=None;fit_intercept=True;gcv_mode=None;normalize=False;scoring=None;store_cv_values=False	ABCA4;ABCD3;ABHD5;ACADL;ACTL7B;ACTR3B;ADRB3;AFM;AMPD1;ANKRD40;APLNR;ARHGEF38;ARL4A;ASCL1;BCS1L;C17orf80;CACNA1S;CATSPERG;CCDC102B;CCL11;CCL18;CD27;CD80;CDH18;CDK5R2;CDON;CELA3A;CETN3;CFHR5;CHMP4A;CHN2;CHORDC1;CLSTN2;CMAS;CNR1;COL5A3;COL6A2;COX11;CRYZL1;CSE1L;CTBS;CTSF;CTSL;CUZD1;CYP11B1;DDT;DERA;DKK2;DKK4;DNAJA4;EBAG9;ENOPH1;EPHB1;EPYC;EXOC6B;FAM90A1;FBP2;FBXO4;FCN2;FLRT3;FOLR3;G6PC;GBX1;GCA;GH1;GJA4;GNG13;GNL1;GPN3;GPR4;GRIA2;GSG1;GSTM5;GTF3A;HAND2-AS1;HAPLN1;HMGCS2;HOXA11;HSD17B8;HSD3B2;HTR4;IL17A;IMPA1;IQGAP2;ISOC1;KALRN;KANSL3;KCNE1;KCNJ8;KIN;KLF3-AS1;KLK15;LINC00574;LIPC;LMAN1;LYRM1;MATN3;MATN4;METTL4;MIA2;MOXD1;MYCNOS;MYH7;NCF1C;NDUFB3;NFKBIB;NLGN1;NOS2;NPHS2;NSUN3;OCM2;OLFML2B;OR12D2;P2RX5;P2RY14;PAX5;PCOLCE2;PDCD10;PEX2;PGAM2;PGGT1B;PIGH;PIP;PLVAP;PMAIP1;PNP;PPP2R3C;PROM1;PRR34;PSG1;PYGO1;QPCTL;RAB4A;RAMP2;RARB;RASSF8;RFPL3;RLBP1;RNF17;RPH3A;RUNX2;SCUBE3;SDCBP;SDHD;SEMG2;SERPINI1;SLC25A24;SLC26A3;SLC2A5;SLC4A1;SLCO1A2;SLCO1C1;SNRNP27;SORCS3;SPRY4;SPRYD7;SPTB;TAL1;TAS2R1;TBX2;TFR2;THPO;TMEM243;TMEM262;TMOD1;TMOD3;TMPRSS6;TNFAIP8;TREML2;TRIM15;TWISTNB;UTP18;VTN;WRNIP1;ZBTB32;ZFYVE16;ZNF267;ZNF287
