Permutation	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
50	-0.8614888306090368	-0.025780704905470242	320	GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	binarizer	kneighborsregressor	copy=True;threshold=0.5	algorithm=auto;leaf_size=30;metric=minkowski;metric_params=None;n_jobs=None;n_neighbors=17;p=1;weights=distance	AATF;ABCC2;ACRV1;ACSBG1;AGER;ALMS1;ANAPC5;AQP8;ARIH2;ARNT;ASXL1;ATG2A;ATP6V0A4;ATP6V0E2;BAG5;BRD9;C11orf71;CAMK1D;CASZ1;CBFB;CCND3;CD1E;CD38;CD72;CDK5RAP1;CELSR2;CEP104;CERK;CHAT;CHN2;CLPS;CPNE6;CSGALNACT1;CUL1;CYP3A4;DCAKD;DCP2;DGKA;DIAPH1;DNAJC16;DOLPP1;DUSP2;ECEL1;EPB42;ERC1;ERICH1;FAM160B2;FAM66D;FBXO11;FBXO46;FLI1;FMNL1;GATA3;GIMAP5;GJC2;GVINP1;HIC2;HMCES;IFI44L;IKZF1;IL17RA;IL21R;INPP5D;IRF5;ISG20;KIF17;KLF2;LGI2;LIAS;LILRA4;LRIG2;LRRFIP1;LTA;MAP2K6;MAP4K1;MCM3AP;MED9;MFNG;MLLT3;MSH2;MSI1;MTF2;NCOA1;NDE1;NDNF;NDRG2;NDUFV1;NFX1;NGLY1;NMU;NPAP1;NR5A2;NUP88;OSBPL8;PCDHB13;PCYOX1L;PIK3C2B;PIK3CD;PIWIL2;PLAC8;PLEC;PLEKHG6;PLIN1;PLLP;POLH;POLR2A;POMC;POU2F1;PPP2R2A;PPWD1;PRKAB1;PSMF1;PTDSS1;PTMA;PYHIN1;RAD9A;RAI1;RFC1;RIMS3;RNF19A;RNF34;RPS23;RSRP1;RUNX3;SAFB;SCGB1A1;SDK2;SDR39U1;SEPHS2;SERPINB1;SFPQ;SGSM2;SHANK1;SIGLEC15;SIRT7;SLC9A3R1;SNRNP200;SNX11;SOX12;SP140L;SPG11;SPN;SPSB3;STARD3;STAT6;SUPV3L1;TAF1C;TAOK1;TAPBPL;TFF3;TGIF2;TM7SF2;TMEM223;TMEM50A;TNF;TNFSF10;TRANK1;TRAPPC9;TRIM14;UBE2G2;UBOX5;UCKL1;VAV3;VGLL4;VPS16;VTCN1;WDR33;WNT16;XPA;XRCC2;XRCC3;ZNF148;ZNF276;ZNF512B;ZNF544;ZNF652;ZNF692;ZNF778;ZNF862
25	-0.8649578745093971	-0.034203382396631454	4661	GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_DN	standardscaler	lassolarscv	copy=True;with_mean=True;with_std=True	copy_X=True;cv=warn;eps=2.220446049250313e-16;fit_intercept=True;max_iter=500;max_n_alphas=1000;n_jobs=None;normalize=False;positive=False;precompute=auto;verbose=False	ABCA5;ACTR3BP2;ARNTL;ART3;ASB4;ASB6;BIK;BOLL;C11orf54;C1QTNF6;C2CD4A;C9orf57;CARS;CASP10;CASP8;CCDC172;CCDC174;CCL11;CCL5;CD274;CD5L;CDC14B;CECR2;CFHR4;CGA;CHAD;CHRNA6;CNGA1;CPA2;CSH1;CST13P;CXCL8;CYLD;CYP11A1;CYTL1;DCT;DDX58;DEFB118;DISC1;DNAH17-AS1;DPH7;DRAXIN;DYRK4;ENHO;EPHA4;EPSTI1;ESRRB;FAM219B;FAR2P1;FCF1;FCGR2C;FGD2;FGFBP1;FLRT1;FZD5;GALNT18;GBP5;GCH1;GCM1;GIMAP5;GNAT2;GRK7;GUCY2C;HIST3H3;IDO1;IFNLR1;INPP4B;ISG20;KIF24;KLRD1;KRBA2;LCNL1;LITAF;LRP5;MAF;MAP2;MFAP4;MKS1;MRGPRX3;MT1F;MT1G;MT1H;MT1M;MT2A;MX1;NAALADL2;NCDN;NDST3;NHLH2;NLRP13;NOD2;NPBWR2;NTN5;NTSR2;ODAM;OPA3;OR10C1;OR2J3;OR9A1P;PAMR1;PAX1;PER2;PGS1;PIEZO2;POM121L12;PPM1L;PPP1R36;PRODH;PRR14;PSME2;PTGER1;RAB36;RASGRP3;RET;RND1;RNF165;RPL23A;RTP4;SAMD15;SCGB1D1;SCRT1;SELE;SIX2;SLC10A2;SLC25A28;SLC25A48;SLC28A3;SLC44A4;SLC7A9;SOX21;SP110;SPAG4;SPATA16;SPHKAP;SPTLC3;SV2B;SYNPO2L;TAP2;TIMP4;TNF;TNFSF11;TP53AIP1;TRAFD1;TREML5P;TRIB1;TRIM46;TRIM72;TRPC2;TSNAXIP1;TTC4;UBE2L6;UCP2;WDR24;ZNF419;ZNF502;ZNF687
7	-0.8665375055537783	-0.03707437810872007	640	GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP	normalizer	elasticnetcv	copy=True;norm=l1	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=1.0;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.001;verbose=0	AATK;ACAD9;AGO2;AK4;AKR1D1;ALKBH5;AMPD2;ANKRD12;ARHGEF12;BCL3;BLMH;BMP7;BUD31;C14orf180;C9orf16;CAMK2B;CASQ2;CCDC115;CCDC93;CCL24;CD72;CDC42SE2;CDCA4;CDCA5;CDK2AP1;CDK9;CIITA;CKS1B;CLDN15;CLSTN1;COPS7B;COX17;CPA1;CPS1;CPT2;CREG1;CRHR2;CYP2C18;CYP7B1;DCLRE1B;DDB2;DHPS;DIABLO;DNMT3A;DSCAM;EBI3;ENO2;ETHE1;EVI5;EYA2;FABP4;FANK1;FCHO1;FEN1;FMNL1;FOXD3;FSCN1;FTL;GATC;GJD2;GNA13;GRIA4;GRIN1;HELQ;HINT1;HK1;HLA-DMA;HMGCL;HORMAD1;HOXD13;IFITM2;IMP3;IMPACT;IRF4;ITPR3;ITSN1;JDP2;KATNBL1;KCNJ14;KCTD4;KDM2B;KIF1C;LAD1;LHX9;LIMD1;LRRC20;LY75;MAP3K11;MCM3AP;MCOLN2;MIA;MIS12;MRPS18B;MRPS7;MT2A;NCKAP1;NKX2-2;NSG1;ORM1;ORMDL1;PARD6B;PCDH20;PCSK6;PDZK1IP1;PEA15;PFDN6;PGAM1;PGLYRP2;PIP4K2C;PKIA;PLA2G15;POLR1C;POLR2I;POR;PPP1R16B;PPTC7;PRAP1;PWP2;PYGO2;RAB30;RANBP10;RANBP3;RDH12;RHBDF1;RNF181;RPS21;RPS6KB1;RUVBL1;SAMD8;SCNN1B;SEC61A2;SEPHS2;SERBP1;SERPINC1;SERPINE1;SF3A2;SGCD;SH2B1;SIRT2;SIX5;SLC22A5;SLC25A10;SLC7A10;SMOC2;SMU1;SOX2;SPC25;SPIC;SPICE1;SPTAN1;SQLE;SRF;SRM;STK10;STRN;TAF1C;TBCD;TBX3;TBX5;TCF21;TCF3;TEAD2;TENM2;THAP11;TMEM120B;TMEM128;TMEM143;TMEM51;TNFRSF17;TPM2;TPM3;TPRA1;TUBB2A;TUSC2;TWF2;UBE2H;UBE2Z;UBXN2B;USH2A;VTI1B;WDR5;ZNF274;ZNF808;ZNRF4
65	-0.8737181543570095	-0.03793213288018231	2616	GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP	standardscaler	kneighborsregressor	copy=True;with_mean=True;with_std=True	algorithm=auto;leaf_size=30;metric=minkowski;metric_params=None;n_jobs=None;n_neighbors=33;p=1;weights=uniform	AAAS;ABCA2;ACO2;ADIPOR2;AGPAT2;AKAP8L;ALDH7A1;ANGPT1;ANKRD13A;APOE;APPL2;ARHGAP33;ARHGEF39;ARMC7;ATAT1;ATF4;ATP11B;BAMBI;BATF2;BEST1;BRD2;BTRC;BZW2;C5orf15;CARM1;CCND3;CEL;CERS4;CHERP;CHRNA6;CIRBP;CISH;CNOT6L;CNPY3;COL16A1;COMMD3;COMMD4;COMT;CPVL;CSDC2;CSGALNACT1;CSRNP1;CTSD;CYP2J2;DALRD3;DAPP1;DDX39B;DEXI;DNTT;DTNA;DUSP4;EBF3;EHMT2;ERN2;ESAM;F2R;FADS2;FAM184B;FCGRT;FGD5;FGFR1;FLT4;FRG1;FTH1;FZD8;GABARAPL1;GATAD1;GBA2;GEMIN7;GGN;GKAP1;GLT8D2;GNG2;GTPBP1;HLA-DOB;HMG20B;HPCA;HSPA12B;ICAM2;IPO4;IRGQ;ISG20;JAG2;KBTBD11;KDM6B;KLF6;KRT18;KTI12;LCE2B;LETM2;LZTS2;MAP1LC3A;MAP2K2;MAP4K1;MBD6;MRPS21;MSI2;MUC13;MUSTN1;MYCT1;NFE2;NFIC;NRIP1;NRM;NRROS;PADI4;PBX4;PCED1A;PDE9A;PDLIM2;PEX5L;PHKG1;PHKG2;PHOX2B;PLA2G12A;PLD2;PLK3;PLSCR4;PML;POLE3;POLR3D;PPP1R17;PRKAG1;PRRC2C;RAB10;RAB38;RABAC1;RALYL;RFC2;RGS12;RHBDD2;RING1;RNF180;RPL30;RPLP0;RPS29;RPS6;RRP1;RUNX2;SAPCD1;SCN3B;SCRN2;SDSL;SENP6;SGSH;SKIV2L;SLC12A7;SLC22A3;SLC25A23;SMAGP;SOCS3;SPI1;SSTR3;STAT4;SYT1;SYT2;TBRG1;TBXAS1;TFR2;TIE1;TLN1;TMEM222;TMEM37;TMEM56;TMUB1;TNFAIP3;TONSL;TOX;TRAPPC9;TRPC4AP;TSSC4;TTC39B;UBE2S;UBXN6;UQCR11;WBP2;WIPI1;WIPI2;ZFHX3;ZNF23;ZNF414
37	-0.8730079172160983	-0.04198872974589827	2517	GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN	pca	elasticnetcv	copy=True;iterated_power=4;n_components=None;random_state=None;svd_solver=randomized;tol=0.0;whiten=False	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=1.0;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.01;verbose=0	AAMP;ACOX2;ADCY1;ADIRF;ADPRH;ADRA2A;AKR1A1;AKR1C4;AMH;APBA1;APEX1;ARHGEF1;ARVCF;ASB4;ATP1A2;B3GALNT1;B3GALT4;BBOX1;BCL3;C1R;C2orf27A;CALB1;CALCA;CALML3;CAMK2G;CBX4;CCL15;CCND1;CCNE2;CDK8;CEACAM1;CEP104;CHST3;CKS1B;CNR2;CNTN1;COX6A1;COX7C;CPLX2;CPNE6;CR2;CTRL;CUX1;DDX19B;DESI1;DLGAP1;DNAH17;DOHH;DRAP1;DTX4;ECI1;EIF2AK2;EIF2S1;EIF3J;EPOR;ETV4;EXOSC2;FAM131B;FCGR2A;FOLR1;FOXN2;FRMPD1;GABARAP;GALNT2;GART;GHRHR;GNLY;GPR39;GRIA1;GRM4;GYS2;HDGF;HLA-DOA;HNRNPUL1;HPX;HR;HRK;HTR3A;ID1;IGHMBP2;IL12RB1;IRF2;IRF9;IZUMO4;JAG2;KCNA4;KLHL23;KRT8;LAMA3;LAMP3;LBX1;LIMCH1;LINC00342;MAFK;MAN2A1;MAT1A;MATN4;MAX;MC2R;MEIS3P1;MFN1;MMP15;MT1B;MTG1;MUC7;NBAS;NBL1;NCKIPSD;NCR1;NDUFS3;NHLH2;NINL;NKX2-8;NTRK3;NXPH4;OGG1;OXCT1;PCBP3;PCDHA3;PCSK7;PDZK1;PFKFB2;PGLYRP1;PKMYT1;POLR2I;PSMD4;PTPN14;PUF60;RALB;RASSF9;RFC2;RNF216;RPL39L;SAA4;SAG;SARS;SCAMP3;SCN1B;SCNN1A;SGCG;SHMT2;SLC14A2;SLC2A2;SLC6A7;SLN;SMO;SNAI2;SOAT2;SPAG7;SPATA2L;SPEG;SPTBN2;SSR1;STRN;STX10;SUB1;SYNM;TAF13;TAF4;TCAP;TCN2;TLX2;TMEM109;TMEM259;TNFSF12;TNNT1;TNNT2;TTLL12;TTYH2;TYRO3;U2AF2;VENTXP7;VIPR2;WASL;ZKSCAN8;ZMIZ2;ZNF197;ZNF280B;ZNF423;ZNF79
55	-0.8635664911404494	-0.0452201170044874	231	GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	maxabsscaler	ridgecv	copy=True	alphas=[ 0.1  1.  10. ];cv=None;fit_intercept=True;gcv_mode=None;normalize=False;scoring=None;store_cv_values=False	ABTB2;ADAM19;ADTRP;AGFG2;AIM2;AKT3;APOBEC3A;APOBEC3G;APOL6;ARAP2;ATF3;B4GALT5;BCL2A1;BCL2L14;BIRC3;BRIP1;BRPF3;C19orf12;C19orf66;C1QTNF1;C1orf21;C3orf52;C4orf46;C5orf15;C5orf30;CCL20;CCL4;CCL5;CCL8;CD274;CD38;CERS6;CFLAR;CKAP4;CLEC2D;CMPK2;CNOT4;CNP;CNTLN;CPEB2;CR1L;CTC1;CYB5A;CYP27B1;CYTIP;DNAAF1;DNAH3;DNAJC6;DRAM1;DYNLT1;EAF2;EBI3;EHHADH;EIF2AK2;ENTPD7;EPDR1;ETV1;FAM222B;FAM49A;FERMT2;FOXP1;FSD1L;FUT4;GABPB1;GBP1;GCH1;GCSAM;GGH;GMDS;GMPR;GP1BA;GPR157;GRB10;GRSF1;GTPBP1;HERC5;HERC6;HESX1;HMGCS1;HMGXB3;IDO1;IFI44L;IFIH1;IFIT1;IFIT2;IFIT3;IFIT5;IFITM1;IL15;IL2RA;INPP5E;INSL4;IRAK2;IRF7;ITGB8;KIF2A;MAPK8;MASTL;MELK;MIA;MICB;MTMR4;MX1;MX2;MYH11;N4BP2L1;NAA25;NADK;NBN;NEURL3;NEXN;NFKBIZ;NLRC5;NOC3L;NR4A3;NT5C3A;NUB1;OAS2;OAS3;OR52K3P;PARP12;PDE4B;PDGFRL;PHF11;PI4K2B;PLA1A;PLAT;PMAIP1;PNRC1;PRRG4;RAB23;RAB29;RAB30;RABGAP1L;RALGAPA2;RSAD2;RUNX3;SAMD9L;SFT2D2;SGPP2;SIMC1;SLAMF7;SLC31A2;SLC9B2;SLCO5A1;SNX11;SOD2;SP100;STARD4;STAT2;SUCO;SUPT3H;TBC1D13;TGM1;TMCC3;TMEM41A;TNFAIP1;TNFAIP2;TNFAIP6;TNFRSF9;TNFSF10;TNIP2;TOR1B;TRANK1;TRIM56;TRIM69;TSPAN13;TTYH2;TUBB2A;TWIST1;TXNL4B;UBE2Z;UEVLD;USP18;USP25;VAV2;WARS;WDR63;WHAMM;YPEL5;ZNF22;ZNF32-AS3;ZNF442
51	-0.8745991461093725	-0.04620274589354474	4028	GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TCONV_DN	zerocount	elasticnetcv		alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.25;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.0001;verbose=0	ABCA1;ABI2;ACOT13;ADAMTS10;ADCK5;AKAP9;AP2M1;ARHGAP22;ARID1A;ARPC1B;B3GNT3;BCKDHA;BMPR2;BPNT1;C6orf62;CALU;CAPN15;CCAR2;CCNY;CCSER2;CCT4;CD300LD;CD63;CDC16;CDC42SE2;CFL1;CHD9;CHST14;CLYBL;CMC2;CORO7;CPEB1;CPOX;CPSF3;CROT;CTDSP1;CTDSP2;CTSD;CUL7;CXCR2;DBT;DCTD;DDX46;DDX5;DDX51;DECR2;DFFA;DICER1;DIP2A;E2F3;EEF2;EIF1B;ELOVL3;ERRFI1;EXTL2;FAM117A;FBLN2;FBXO33;FCGRT;FYTTD1;GALM;GCC2;GDI2;GNG2;GPNMB;GPR85;HACL1;HBS1L;HECTD3;HINT1;HNRNPA0;HSPA4;HSPD1;IARS2;IFT74;ILF3;IPO9;IVD;KIF16B;LAPTM4B;LAPTM5;LCOR;LMNB2;LPAR6;LRRC58;LSM2;MAPK3;MARCH7;MARCH8;MCCC2;MED24;MIA3;MOB3A;MYL12A;MYO7A;NBEAL1;NCF2;NDUFS2;NDUFV1;NPC1;OR52M1;PCGF6;PDE4D;PDGFA;PGRMC2;PHF14;PI4KB;PICALM;PIEZO1;PIGK;PIK3CA;PIKFYVE;PLCB3;POLD4;POLR1B;POLR3G;POT1;PPID;PRKAG2;PRKD3;PRKDC;RAB1B;RAB40C;RALBP1;RASSF3;RCN3;RNF130;ROMO1;RORA;RPS6KA1;RRAGC;RYK;S100PBP;SAP18;SCARNA17;SDHC;SENP2;SETD6;SFT2D2;SLC20A2;SMYD2;SNX25;SOGA1;SPECC1;SPRY2;SPTAN1;SRM;STAC2;TADA1;TAF1D;TBC1D22A;TBC1D5;TBCD;TFDP1;THOC7;TIFAB;TMCC1;TMEM108;TMEM150A;TMEM64;TMEM70;TMEM81;TMEM87B;TNFRSF12A;TOMM40L;TPM1;TSC1;UBE3C;UMPS;VAT1;VEGFB;VGLL4;VPS13B;WDR11;WDR36;WIPI1;ZFYVE16
98	-0.8756731571684309	-0.04661310664197675	3243	GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN	normalizer	lassolarscv	copy=True;norm=l2	copy_X=True;cv=warn;eps=2.220446049250313e-16;fit_intercept=True;max_iter=500;max_n_alphas=1000;n_jobs=None;normalize=False;positive=False;precompute=auto;verbose=False	ACVR1B;AK4;ANKS1A;APOL1;ARHGEF11;ARID5A;ATP1B1;ATXN7;B4GALT5;BATF;BCL2A1;BLZF1;BPGM;C1QB;C2orf27A;CASP10;CASP4;CCL18;CCL5;CCL7;CCL8;CCRL2;CD38;CD47;CD69;CD83;CDC42EP2;CDKN1A;CEBPA;CERS6;CIITA;CLDN10;CMAHP;CSRNP2;CTNS;CTSZ;CUL1;CXCL10;CXCL11;CXCL9;CYP1A1;DENND4A;DNAJA2;DUSP5;DYNLT1;DYRK4;EDEM1;EIF1;EPB41L2;EYA3;EZH2;F3;FCGR1A;FEM1C;FIG4;FZD7;GADD45B;GADD45G;GBP1;GBP2;GEM;GPR107;HIST1H3H;HIVEP2;HSD11B1;ICAM1;IDO1;IFI27;IFI35;IFITM1;IL10RA;IL15;IL15RA;IL1B;IL1RAP;IL2RA;IL6;ILF2;IRF1;IRF4;IRF5;IRF7;IRF8;ISG20;ITGA4;JAK2;JMJD6;KCNS1;KIF2A;KRT12;LAMP3;LCP2;LIMK2;LITAF;LMNB1;MAN1A1;MCL1;MEP1B;MR1;MTF1;N4BP2L1;NAPA;NDUFA9;NPC1;NRP2;NUCB1;OAS2;P2RX4;P2RX7;P2RY14;PDE4DIP;PDGFB;PI4KB;PIM1;PLEK;PMAIP1;PRPF3;PSMB8;PSMB9;PSME2;PTAFR;PTGER4;PTPN2;PTPN6;RAB32;RALB;RBCK1;RBMS1;RCN1;RERE;RHOH;RNF19B;RRBP1;RRP8;S100A3;SAMD4A;SASH1;SBNO2;SCO2;SDC4;SECTM1;SEPHS2;SERPINB2;SERPING1;SERTAD2;SLC31A2;SMPD1;SOCS1;SOCS3;SP110;SPTBN1;SSTR2;ST3GAL5;STAT2;STAT4;STAT5A;TAP1;TAP2;TBC1D2B;TCN1;TNF;TNFAIP2;TNFRSF1A;TNFSF9;TRA2A;TRAF1;TRAFD1;TRIB1;TRIM25;TRIM26;TXN;TYMP;UBB;UBE2L6;USP6NL;VAMP5;VPS9D1;VWA8;WARS;XBP1;XPNPEP1;ZFP36;ZNF200;ZNF410
32	-0.8751521038480121	-0.05017667471485201	774	GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_UP	maxabsscaler	elasticnetcv	copy=True	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.05;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.001;verbose=0	ADCY5;AGTPBP1;AHNAK;AK5;ANKRA2;AQP3;ARIH2OS;ARRDC3;ASAH1;ASH1L-AS1;ATG14;ATXN1L;AUTS2;BIN1;BIN2;C16orf74;C3orf35;C4BPA;C9orf72;CAPN2;CD3G;CERS6;CFL2;CKAP2;CLEC7A;CNST;COQ10B;CRIP1;CSGALNACT1;CTSK;DENND5A;DNAJB9;DPEP2;DRAM2;DUSP1;EPHA4;F11R;FAM111A;FAM200B;FAM204A;FAM228B;FAM8A1;FBXO33;FHIT;FNIP1;FOS;FOSL2;GABARAPL1;GABBR1;GKAP1;GOLGA7B;GPR183;GTF2IRD2;H2AFJ;HCST;HEBP2;HEG1;HELZ;HKDC1;HYKK;IER2;IL11RA;IRF2BP2;IRS2;ISCA1;ITCH;ITGA4;ITGA6;ITPRIP;KCNA3;KCTD3;KIFC2;KLF11;KLF4;KLHL3;KRT73;KRTAP1-1;LINC00173;LYRM9;MAFF;MAP4K4;MBNL2;MDS2;MEF2D;MICAL1;MXD1;MXI1;MYLIP;MYO1F;MYO1G;NDRG1;NET1;NFKBIZ;NMRK1;NR1D2;NR4A2;OTUD1;OVGP1;PARP8;PBX4;PCNT;PCSK5;PDE2A;PDE4D;PELI2;PERP;PIM1;PITPNC1;PKIG;PLCXD2;PLEK;PNPLA8;PPP3CA;PPP3CC;PSTK;PTP4A1;PTPRM;RAP1GAP2;RASGRP2;RBM33;REM2;RNF10;RNF125;S100A10;SC5D;SCARNA17;SERINC5;SIGIRR;SKIL;SLC2A3;SMAGP;SNX29;SOCS3;SORL1;SOX4;SPTBN1;ST3GAL5;ST7L;STAG3L4;STK16;SUSD1;SUSD3;SUSD4;SYNM;SYTL1;TCF7L2;TMEM156;TMIGD2;TOB1;TP53INP1;TPM2;TRAPPC13;TSC22D1;TSPYL4;TTC32;TXK;UBASH3B;UTRN;VIPR1;YPEL5;ZBTB20;ZBTB4;ZDHHC11;ZFAND2A;ZNF101;ZNF256;ZNF329;ZNF34;ZNF552;ZNF592;ZNF8;ZNF844
60	-0.879820810217059	-0.050858353220259334	3640	GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP	normalizer	ridgecv	copy=True;norm=l2	alphas=[ 0.1  1.  10. ];cv=None;fit_intercept=True;gcv_mode=None;normalize=False;scoring=None;store_cv_values=False	ADAM19;ADAM23;ADAM8;ALPL;ANPEP;AP1G1;AP1G2;APIP;APOF;APOH;ARFGAP3;ARPC5;ASAP1;ASF1B;AURKB;BATF3;BCL2A1;BIRC2;BMP2K;BRCA1;BTF3;BTG2;CACNB3;CASP4;CCDC96;CCND1;CCR2;CD9;CDC25C;CDK1;CDK14;CDKN1A;CDKN2B;CHRND;CIAPIN1;CKS2;CLDN1;CMTR1;COX8A;CREB1;CSTF3;CTBP2;DDX27;DNAJC2;DNAJC5;DRG1;EMP3;ENO3;ERRFI1;ESYT1;F11R;FCRLA;FGFR3;FH;FKBP1B;FLG;FOXD4L1;GCLC;GFPT2;GLOD4;GNB4;GNRHR;GPD2;GPR132;GRIN2C;GYS1;HCN3;HES5;HGD;HINT1;HIST2H2BF;HLA-DMA;HLA-DMB;HLA-DRB1;HOXA7;HSPA8;IL15RA;IL4I1;IMPA2;IRF4;IRF5;IRF8;ISLR;KCTD10;KCTD20;KDR;KLRD1;LIMD1;LIPC;LSR;MMP12;MRPL39;MRPS24;MTHFD2;MX2;MXD1;MYBL2;MYCL;NAPSA;NDRG4;NEDD4L;NEK6;NFKB2;NFKBIB;NMI;NSA2;NUP62;OLFM1;OLR1;PADI1;PARP8;PBX1;PCDHA10;PDIA5;PLEKHA5;PLEKHO1;PLK2;PML;PNKD;PNLIPRP1;POLB;PPIH;PPP2R1A;PRIM2;PRKD3;PRR5;PSMA6;PSME1;PTGDR;PTGS2;PYGO2;RAD51D;RAD54L;RBM14;RBM8A;RPA2;RPL30;RPP30;RTN1;RYR1;S100A4;SARNP;SEC11C;SELPLG;SEMA4A;SEMA5B;SEMA7A;SEPSECS;SLC22A5;SLC2A2;SLC2A4;SMAD7;SMARCD1;SMTN;SMYD1;SPP1;SPR;SRSF7;STX2;SUB1;SULT4A1;SWI5;TBPL1;TIMELESS;TM4SF5;TMEM50B;TNF;TNFRSF11B;TNFRSF4;TOP2A;TOR1AIP2;TOX4;TPST1;TRIP13;TSPAN33;TWF2;TXNDC17;UBAC2;USP18;WARS;WNT11;XCR1;ZIC1;ZNF277;ZNFX1
