Replicate	MSE Score	R^2 Score	FSS	FSS Name	Transformer	Regressor	Transformer Params	Regressor Params	FSS Bins
92	-0.7286373525329779	0.13849396448925907	2531	GSE7768_OVA_ALONE_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_DN	featureagglomeration	kneighborsregressor	affinity=l1;compute_full_tree=auto;connectivity=None;distance_threshold=None;linkage=complete;memory=None;n_clusters=2;pooling_func=<function mean at 0x2ae19b9f0f28>	algorithm=auto;leaf_size=30;metric=minkowski;metric_params=None;n_jobs=None;n_neighbors=43;p=1;weights=distance	ABLIM2;ACSL1;AFTPH;AIDA;AIM2;ALAS1;ALDH1B1;ARF4;ARHGAP25;ARHGAP31;ARHGEF37;ASB13;ATOH1;ATP10A;AZI2;BBX;BRAF;C1orf162;C21orf91;C5orf30;CA13;CAB39L;CASP1;CASP4;CCDC42;CCL8;CCNJ;CCNYL1;CCR9;CD274;CD2AP;CD38;CDH1;CERS6;CFB;CMKLR1;COA5;COX18;CREM;CRLF3;CTRL;CUL2;CXCL10;CYCS;DBNL;DCLRE1C;DCP2;DRAM2;EHD4;ELF1;FAM102B;FAM53C;FAS;FEZ2;FMNL2;GCH1;GNA15;GOLGA3;GPD2;GSAP;GTPBP2;H3F3B;HAP1;HEATR9;HINFP;HMCN2;HPS3;IFIH1;IKZF1;IL23R;IL7;INO80;INTS9;IRF2;ISG15;ISOC1;KAT2B;KEAP1;KIAA1109;LGALS8;MAP2K4;MAPKAPK2;MARCH5;MCM10;MIER3;MLKL;MMP14;MOB3B;MORC3;MXD1;MYD88;NAMPT;NEUROD4;NLRC5;NOD1;NPEPPS;NSMAF;NUB1;OASL;OR4C15;OSM;P4HA1;PCGF5;PDCD10;PELI1;PHC2;PHF11;PIK3AP1;PIK3R6;PLA1A;PLEKHA2;PNP;PNPT1;POMP;POU5F1;PPA1;PSMA5;PSMB9;PSME4;PTGES;PTTG1;PYHIN1;RAB29;RBM43;RNF14;SAMD9L;SAMHD1;SAV1;SCARF1;SFXN2;SLAMF7;SLC25A28;SLFN13;SLX4IP;SMG7;SMPDL3B;SNAP29;SP110;SRGAP2;ST18;STAT3;SUGCT;TDRD7;TLK2;TLR3;TMEM170B;TMEM171;TMEM219;TMEM67;TMEM68;TMOD3;TOX4;TPBG;TPST1;TRAF5;TRIOBP;UPP1;USP12;USP25;VPS37B;WHAMM;XAF1;XKR8;ZC2HC1A;ZC3H7A;ZC3HAV1;ZCWPW2;ZNF281
10	-0.751505899498948	0.11903873010557282	4508	GSE41867_NAIVE_VS_DAY8_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN	minmaxscaler	decisiontreeregressor	copy=True;feature_range=(0, 1)	criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=3;min_samples_split=17;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	A1CF;ABCA17P;AFG3L1P;AGAP3;ARHGAP17;ARHGDIA;ARHGEF11;ARID3B;ARPP19;AVP;B3GNT6;B3GNT9;BPIFA3;BRAP;C5orf47;CANT1;CAPN7;CBLN4;CBX1;CD276;CDADC1;CDCA4;CHMP4B;CHRNB1;CLASP1;CLCN1;CMAS;COX17;CPNE6;CSRNP2;CTDSP1;CTXN1;DARS;DCAF10;DHRS1;DKK4;DPP3;DRC1;EMC4;EML3;EVL;EXOC1;FAM189B;FBXO3;FKBP2;FLI1;FMN2;FXR1;GABRR2;GJA4;GNA12;GOLM1;GPC1;HBD;HCG18;HLA-DRB6;HMGB2;HPSE;HSD17B7;IBSP;IFNG;IGF2R;IKBKB;IL17A;INHBB;ISG20;KBTBD11;KCNA1;KCND2;KCTD20;KDM2A;KHDRBS3;KLHL12;KRT38;KRTAP9-8;LARP1B;LDHAL6B;LETM2;LGALSL;LINC00476;LINC01128;LINC01310;LLGL1;LRP1;LRRN2;LYRM7;MAP2K5;MAP7D1;MAVS;MBNL2;MEF2D;MLH1;MOGS;MRPS18C;MT1X;NKX2-5;NME1;NMT1;NTSR1;OIP5-AS1;OLIG2;PALB2;PAQR8;PARP3;PAX5;PELP1;PHF21A;PIK3R1;PILRB;PLEKHA8;POLR3A;PPIH;PPP2R2A;PRCC;PRIMPOL;PRL;PRMT5;PSD2;PWAR5;RNF151;RNF187;RNF34;ROBO1;RPAIN;S100A5;SAT2;SCAP;SCN3B;SCOC-AS1;SEL1L3;SH3BGRL2;SLC15A4;SLC16A9;SLC25A38;SLC30A2;SLC34A2;SLC35E2B;SLC7A6OS;SMAP2;SMCHD1;SMIM17;SNCA;SNHG16;SNX20;SOCS2-AS1;SPOP;SPTB;STAMBPL1;STOML3;STX6;TADA1;TBC1D24;TCP11L1;TIA1;TIGD2;TMEM14B;TMEM186;TOMM20;TP53BP2;TPD52;TRAF3IP3;TRAPPC12;USP22;VKORC1;VOPP1;WDR5B;WIPF2;ZBTB48;ZC3H7A;ZC3HC1;ZCCHC17;ZDHHC17;ZNF438;ZNF830
22	-0.7515058994989481	0.11903873010557278	4268	GSE40274_SATB1_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	zerocount	decisiontreeregressor		criterion=mse;max_depth=1;max_features=None;max_leaf_nodes=None;min_impurity_decrease=0.0;min_impurity_split=None;min_samples_leaf=3;min_samples_split=6;min_weight_fraction_leaf=0.0;presort=False;random_state=None;splitter=best	ABCC3;ABHD16B;ABLIM1;ACSBG2;ADAM17;AGK;AKAP12;AMOTL1;ANXA11;APOBEC3H;ARHGEF1;ASPA;AUP1;BRMS1;BSND;C15orf39;CALB2;CAP1;CCHCR1;CCRL2;CDC25A;CERS6;CITED2;CLCN7;COQ9;CORO7;CPNE5;CPPED1;CSRP2;CTCF;CXCL12;CYP2D6;DDX58;DENND1A;DGKD;DUSP5;E2F2;ECD;EHD3;EHD4;ELMO3;EMP1;ENTPD5;ETV3;FAM3C;FAM71F1;FBLN2;FIZ1;FKBP5;FLI1;FOXJ3;GDI2;GLS2;GPATCH4;GPR132;GRK6;GSKIP;HNRNPUL1;HSD3B2;IGDCC4;IGF2R;IL1RL1;ILDR1;INO80;IRF9;ITGAM;KDM5B;KIF3A;KITLG;KLC4;L1TD1;LAMC1;LARP1B;LENG1;LGALS3BP;LHPP;LMF1;MED29;MIIP;MOCS1;MORF4L1;MRPS26;MSRB3;MTMR4;MYO1F;NCKAP1;NEFM;NFKBIB;NHLRC3;NKX3-2;NMT1;NNMT;NPSR1;NR2F2;NUDT14;OR10AG1;OR9A4;ORAI1;OSBP;OSR1;OTOP3;PAK1;PAPOLA;PARP3;PCDH8;PDE4DIP;PLOD3;PLS1;PML;PNPLA7;POLR1A;POU5F1;PPM1D;PPM1M;PPP1R12C;PRKCB;PRL;PRR5;PSMF1;PYHIN1;RAF1;RBM38;RDH11;RDH16;RFNG;RIC8B;RMND5B;RNF19B;SEMA4B;SENP2;SFPQ;SIDT1;SIK1;SKA2P1;SLAIN2;SLC22A15;SLC25A16;SLC27A1;SLC28A2;SLC4A2;SLC52A1;SLC8A3;SNX15;SOHLH1;SSBP4;STEAP2;STK11IP;STK36;STRIP1;SUFU;SYT5;TAS2R39;TBC1D14;TBX20;TCTN2;TFB2M;TIGD4;TINAG;TMC8;TMEM126B;TNFSF14;TPST2;TSPAN3;TTC28;UBL7;UNC45A;UNK;VIPR1;WHAMM;ZMYND8;ZNF334
50	-0.7403680275636522	0.10932563944222082	3800	GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	normalizer	elasticnetcv	copy=True;norm=l2	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCG4;AMOTL1;ANP32A;ARHGAP23;ARHGAP44;ARHGEF17;ARL1;ATF7;ATP9A;ATXN1L;AUTS2;BACE1;BCAM;BOD1;C16orf71;CADM2;CAMK2G;CCDC107;CCL19;CDH13;CDK13;CELF3;CEP162;CIT;CLDN12;CNPY1;COLEC11;CREB3L2;CRTAP;CSAD;CTDSP2;CYP2U1;CYTL1;DAP;DAP3;DCP2;DDA1;DDIT4L;DNAJB2;DNAJB5;DOCK6;DPYSL5;DTNA;ECHDC2;EGLN3;EHD2;EMP2;EPHX1;EXT2;F11R;FAM126B;FAM160A1;FAM160B1;FBLN1;FBXO34;FOXN3;FZD4;GATA6;GGPS1;GIT1;GIT2;GLIS1;GMEB2;GORASP2;HSD17B11;IBSP;IER3;IL17RE;INHBA;INPP5A;INTS6;IQCE;IRS1;ITIH4;ITPRIP;JADE2;KANK1;KCNJ8;KIF13A;KIF26B;KLF4;KLF7;KPRP;LAPTM4B;LGR6;LMCD1;LMOD1;LRIG3;LRRC72;LRRN4;MAP4;MAP7D1;MARCH3;MAU2;MCM6;MGLL;MPDZ;MPPED2;MRVI1;MSI2;MST1R;MUC15;MYLK;MYO1D;NAALADL2;NCAM1;NCOA1;NEDD4;NKD1;NPNT;NPR1;NSUN5;NUCB1;NUP50;OMD;OSCAR;PALM;PAMR1;PBXIP1;PCSK5;PDLIM1;PDZK1;PHTF2;PIK3R2;PITPNB;PLBD2;PLXNA4;POC5;PRELP;PRKD3;PRPF8;PRR14;PSD;PTK2;RASGEF1A;RHOJ;RND2;RPTOR;RRP1;RUNX1T1;SBDS;SBNO2;SDAD1;SDC2;SEL1L;SEMA3C;SEMA5A;SEPT4;SFN;SGCD;SH3PXD2A;SLC2A12;SLC3A2;SLC41A1;SLC48A1;SLIT3;SMOC1;SMPD1;SOCS3;SOGA1;SPOCK1;STX3;TBX18;TIMP3;TMEM30B;TNFAIP1;TNS1;TOP3A;TPPP3;TRAF3IP2;TRIB1;TRPM1;TXNRD3;UCHL1;UPK1B;VPS53;VSTM4;WNT5B;ZC3H10;ZDHHC3;ZFYVE26;ZNF281;ZNF507;ZRANB1
65	-0.7403680275636522	0.10932563944222082	3800	GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	normalizer	elasticnetcv	copy=True;norm=l2	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCG4;AMOTL1;ANP32A;ARHGAP23;ARHGAP44;ARHGEF17;ARL1;ATF7;ATP9A;ATXN1L;AUTS2;BACE1;BCAM;BOD1;C16orf71;CADM2;CAMK2G;CCDC107;CCL19;CDH13;CDK13;CELF3;CEP162;CIT;CLDN12;CNPY1;COLEC11;CREB3L2;CRTAP;CSAD;CTDSP2;CYP2U1;CYTL1;DAP;DAP3;DCP2;DDA1;DDIT4L;DNAJB2;DNAJB5;DOCK6;DPYSL5;DTNA;ECHDC2;EGLN3;EHD2;EMP2;EPHX1;EXT2;F11R;FAM126B;FAM160A1;FAM160B1;FBLN1;FBXO34;FOXN3;FZD4;GATA6;GGPS1;GIT1;GIT2;GLIS1;GMEB2;GORASP2;HSD17B11;IBSP;IER3;IL17RE;INHBA;INPP5A;INTS6;IQCE;IRS1;ITIH4;ITPRIP;JADE2;KANK1;KCNJ8;KIF13A;KIF26B;KLF4;KLF7;KPRP;LAPTM4B;LGR6;LMCD1;LMOD1;LRIG3;LRRC72;LRRN4;MAP4;MAP7D1;MARCH3;MAU2;MCM6;MGLL;MPDZ;MPPED2;MRVI1;MSI2;MST1R;MUC15;MYLK;MYO1D;NAALADL2;NCAM1;NCOA1;NEDD4;NKD1;NPNT;NPR1;NSUN5;NUCB1;NUP50;OMD;OSCAR;PALM;PAMR1;PBXIP1;PCSK5;PDLIM1;PDZK1;PHTF2;PIK3R2;PITPNB;PLBD2;PLXNA4;POC5;PRELP;PRKD3;PRPF8;PRR14;PSD;PTK2;RASGEF1A;RHOJ;RND2;RPTOR;RRP1;RUNX1T1;SBDS;SBNO2;SDAD1;SDC2;SEL1L;SEMA3C;SEMA5A;SEPT4;SFN;SGCD;SH3PXD2A;SLC2A12;SLC3A2;SLC41A1;SLC48A1;SLIT3;SMOC1;SMPD1;SOCS3;SOGA1;SPOCK1;STX3;TBX18;TIMP3;TMEM30B;TNFAIP1;TNS1;TOP3A;TPPP3;TRAF3IP2;TRIB1;TRPM1;TXNRD3;UCHL1;UPK1B;VPS53;VSTM4;WNT5B;ZC3H10;ZDHHC3;ZFYVE26;ZNF281;ZNF507;ZRANB1
42	-0.7403680275636522	0.10932563944222082	3800	GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	normalizer	elasticnetcv	copy=True;norm=l2	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCG4;AMOTL1;ANP32A;ARHGAP23;ARHGAP44;ARHGEF17;ARL1;ATF7;ATP9A;ATXN1L;AUTS2;BACE1;BCAM;BOD1;C16orf71;CADM2;CAMK2G;CCDC107;CCL19;CDH13;CDK13;CELF3;CEP162;CIT;CLDN12;CNPY1;COLEC11;CREB3L2;CRTAP;CSAD;CTDSP2;CYP2U1;CYTL1;DAP;DAP3;DCP2;DDA1;DDIT4L;DNAJB2;DNAJB5;DOCK6;DPYSL5;DTNA;ECHDC2;EGLN3;EHD2;EMP2;EPHX1;EXT2;F11R;FAM126B;FAM160A1;FAM160B1;FBLN1;FBXO34;FOXN3;FZD4;GATA6;GGPS1;GIT1;GIT2;GLIS1;GMEB2;GORASP2;HSD17B11;IBSP;IER3;IL17RE;INHBA;INPP5A;INTS6;IQCE;IRS1;ITIH4;ITPRIP;JADE2;KANK1;KCNJ8;KIF13A;KIF26B;KLF4;KLF7;KPRP;LAPTM4B;LGR6;LMCD1;LMOD1;LRIG3;LRRC72;LRRN4;MAP4;MAP7D1;MARCH3;MAU2;MCM6;MGLL;MPDZ;MPPED2;MRVI1;MSI2;MST1R;MUC15;MYLK;MYO1D;NAALADL2;NCAM1;NCOA1;NEDD4;NKD1;NPNT;NPR1;NSUN5;NUCB1;NUP50;OMD;OSCAR;PALM;PAMR1;PBXIP1;PCSK5;PDLIM1;PDZK1;PHTF2;PIK3R2;PITPNB;PLBD2;PLXNA4;POC5;PRELP;PRKD3;PRPF8;PRR14;PSD;PTK2;RASGEF1A;RHOJ;RND2;RPTOR;RRP1;RUNX1T1;SBDS;SBNO2;SDAD1;SDC2;SEL1L;SEMA3C;SEMA5A;SEPT4;SFN;SGCD;SH3PXD2A;SLC2A12;SLC3A2;SLC41A1;SLC48A1;SLIT3;SMOC1;SMPD1;SOCS3;SOGA1;SPOCK1;STX3;TBX18;TIMP3;TMEM30B;TNFAIP1;TNS1;TOP3A;TPPP3;TRAF3IP2;TRIB1;TRPM1;TXNRD3;UCHL1;UPK1B;VPS53;VSTM4;WNT5B;ZC3H10;ZDHHC3;ZFYVE26;ZNF281;ZNF507;ZRANB1
52	-0.7403680275636522	0.10932563944222082	3800	GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	normalizer	elasticnetcv	copy=True;norm=l2	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCG4;AMOTL1;ANP32A;ARHGAP23;ARHGAP44;ARHGEF17;ARL1;ATF7;ATP9A;ATXN1L;AUTS2;BACE1;BCAM;BOD1;C16orf71;CADM2;CAMK2G;CCDC107;CCL19;CDH13;CDK13;CELF3;CEP162;CIT;CLDN12;CNPY1;COLEC11;CREB3L2;CRTAP;CSAD;CTDSP2;CYP2U1;CYTL1;DAP;DAP3;DCP2;DDA1;DDIT4L;DNAJB2;DNAJB5;DOCK6;DPYSL5;DTNA;ECHDC2;EGLN3;EHD2;EMP2;EPHX1;EXT2;F11R;FAM126B;FAM160A1;FAM160B1;FBLN1;FBXO34;FOXN3;FZD4;GATA6;GGPS1;GIT1;GIT2;GLIS1;GMEB2;GORASP2;HSD17B11;IBSP;IER3;IL17RE;INHBA;INPP5A;INTS6;IQCE;IRS1;ITIH4;ITPRIP;JADE2;KANK1;KCNJ8;KIF13A;KIF26B;KLF4;KLF7;KPRP;LAPTM4B;LGR6;LMCD1;LMOD1;LRIG3;LRRC72;LRRN4;MAP4;MAP7D1;MARCH3;MAU2;MCM6;MGLL;MPDZ;MPPED2;MRVI1;MSI2;MST1R;MUC15;MYLK;MYO1D;NAALADL2;NCAM1;NCOA1;NEDD4;NKD1;NPNT;NPR1;NSUN5;NUCB1;NUP50;OMD;OSCAR;PALM;PAMR1;PBXIP1;PCSK5;PDLIM1;PDZK1;PHTF2;PIK3R2;PITPNB;PLBD2;PLXNA4;POC5;PRELP;PRKD3;PRPF8;PRR14;PSD;PTK2;RASGEF1A;RHOJ;RND2;RPTOR;RRP1;RUNX1T1;SBDS;SBNO2;SDAD1;SDC2;SEL1L;SEMA3C;SEMA5A;SEPT4;SFN;SGCD;SH3PXD2A;SLC2A12;SLC3A2;SLC41A1;SLC48A1;SLIT3;SMOC1;SMPD1;SOCS3;SOGA1;SPOCK1;STX3;TBX18;TIMP3;TMEM30B;TNFAIP1;TNS1;TOP3A;TPPP3;TRAF3IP2;TRIB1;TRPM1;TXNRD3;UCHL1;UPK1B;VPS53;VSTM4;WNT5B;ZC3H10;ZDHHC3;ZFYVE26;ZNF281;ZNF507;ZRANB1
31	-0.7403680275636522	0.10932563944222082	3800	GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	normalizer	elasticnetcv	copy=True;norm=l2	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCG4;AMOTL1;ANP32A;ARHGAP23;ARHGAP44;ARHGEF17;ARL1;ATF7;ATP9A;ATXN1L;AUTS2;BACE1;BCAM;BOD1;C16orf71;CADM2;CAMK2G;CCDC107;CCL19;CDH13;CDK13;CELF3;CEP162;CIT;CLDN12;CNPY1;COLEC11;CREB3L2;CRTAP;CSAD;CTDSP2;CYP2U1;CYTL1;DAP;DAP3;DCP2;DDA1;DDIT4L;DNAJB2;DNAJB5;DOCK6;DPYSL5;DTNA;ECHDC2;EGLN3;EHD2;EMP2;EPHX1;EXT2;F11R;FAM126B;FAM160A1;FAM160B1;FBLN1;FBXO34;FOXN3;FZD4;GATA6;GGPS1;GIT1;GIT2;GLIS1;GMEB2;GORASP2;HSD17B11;IBSP;IER3;IL17RE;INHBA;INPP5A;INTS6;IQCE;IRS1;ITIH4;ITPRIP;JADE2;KANK1;KCNJ8;KIF13A;KIF26B;KLF4;KLF7;KPRP;LAPTM4B;LGR6;LMCD1;LMOD1;LRIG3;LRRC72;LRRN4;MAP4;MAP7D1;MARCH3;MAU2;MCM6;MGLL;MPDZ;MPPED2;MRVI1;MSI2;MST1R;MUC15;MYLK;MYO1D;NAALADL2;NCAM1;NCOA1;NEDD4;NKD1;NPNT;NPR1;NSUN5;NUCB1;NUP50;OMD;OSCAR;PALM;PAMR1;PBXIP1;PCSK5;PDLIM1;PDZK1;PHTF2;PIK3R2;PITPNB;PLBD2;PLXNA4;POC5;PRELP;PRKD3;PRPF8;PRR14;PSD;PTK2;RASGEF1A;RHOJ;RND2;RPTOR;RRP1;RUNX1T1;SBDS;SBNO2;SDAD1;SDC2;SEL1L;SEMA3C;SEMA5A;SEPT4;SFN;SGCD;SH3PXD2A;SLC2A12;SLC3A2;SLC41A1;SLC48A1;SLIT3;SMOC1;SMPD1;SOCS3;SOGA1;SPOCK1;STX3;TBX18;TIMP3;TMEM30B;TNFAIP1;TNS1;TOP3A;TPPP3;TRAF3IP2;TRIB1;TRPM1;TXNRD3;UCHL1;UPK1B;VPS53;VSTM4;WNT5B;ZC3H10;ZDHHC3;ZFYVE26;ZNF281;ZNF507;ZRANB1
40	-0.7403680275636522	0.10932563944222082	3800	GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	normalizer	elasticnetcv	copy=True;norm=l2	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCG4;AMOTL1;ANP32A;ARHGAP23;ARHGAP44;ARHGEF17;ARL1;ATF7;ATP9A;ATXN1L;AUTS2;BACE1;BCAM;BOD1;C16orf71;CADM2;CAMK2G;CCDC107;CCL19;CDH13;CDK13;CELF3;CEP162;CIT;CLDN12;CNPY1;COLEC11;CREB3L2;CRTAP;CSAD;CTDSP2;CYP2U1;CYTL1;DAP;DAP3;DCP2;DDA1;DDIT4L;DNAJB2;DNAJB5;DOCK6;DPYSL5;DTNA;ECHDC2;EGLN3;EHD2;EMP2;EPHX1;EXT2;F11R;FAM126B;FAM160A1;FAM160B1;FBLN1;FBXO34;FOXN3;FZD4;GATA6;GGPS1;GIT1;GIT2;GLIS1;GMEB2;GORASP2;HSD17B11;IBSP;IER3;IL17RE;INHBA;INPP5A;INTS6;IQCE;IRS1;ITIH4;ITPRIP;JADE2;KANK1;KCNJ8;KIF13A;KIF26B;KLF4;KLF7;KPRP;LAPTM4B;LGR6;LMCD1;LMOD1;LRIG3;LRRC72;LRRN4;MAP4;MAP7D1;MARCH3;MAU2;MCM6;MGLL;MPDZ;MPPED2;MRVI1;MSI2;MST1R;MUC15;MYLK;MYO1D;NAALADL2;NCAM1;NCOA1;NEDD4;NKD1;NPNT;NPR1;NSUN5;NUCB1;NUP50;OMD;OSCAR;PALM;PAMR1;PBXIP1;PCSK5;PDLIM1;PDZK1;PHTF2;PIK3R2;PITPNB;PLBD2;PLXNA4;POC5;PRELP;PRKD3;PRPF8;PRR14;PSD;PTK2;RASGEF1A;RHOJ;RND2;RPTOR;RRP1;RUNX1T1;SBDS;SBNO2;SDAD1;SDC2;SEL1L;SEMA3C;SEMA5A;SEPT4;SFN;SGCD;SH3PXD2A;SLC2A12;SLC3A2;SLC41A1;SLC48A1;SLIT3;SMOC1;SMPD1;SOCS3;SOGA1;SPOCK1;STX3;TBX18;TIMP3;TMEM30B;TNFAIP1;TNS1;TOP3A;TPPP3;TRAF3IP2;TRIB1;TRPM1;TXNRD3;UCHL1;UPK1B;VPS53;VSTM4;WNT5B;ZC3H10;ZDHHC3;ZFYVE26;ZNF281;ZNF507;ZRANB1
54	-0.7403680275636522	0.10932563944222082	3800	GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	normalizer	elasticnetcv	copy=True;norm=l2	alphas=None;copy_X=True;cv=warn;eps=0.001;fit_intercept=True;l1_ratio=0.8500000000000001;max_iter=1000;n_alphas=100;n_jobs=None;normalize=False;positive=False;precompute=auto;random_state=None;selection=cyclic;tol=0.1;verbose=0	ABCG4;AMOTL1;ANP32A;ARHGAP23;ARHGAP44;ARHGEF17;ARL1;ATF7;ATP9A;ATXN1L;AUTS2;BACE1;BCAM;BOD1;C16orf71;CADM2;CAMK2G;CCDC107;CCL19;CDH13;CDK13;CELF3;CEP162;CIT;CLDN12;CNPY1;COLEC11;CREB3L2;CRTAP;CSAD;CTDSP2;CYP2U1;CYTL1;DAP;DAP3;DCP2;DDA1;DDIT4L;DNAJB2;DNAJB5;DOCK6;DPYSL5;DTNA;ECHDC2;EGLN3;EHD2;EMP2;EPHX1;EXT2;F11R;FAM126B;FAM160A1;FAM160B1;FBLN1;FBXO34;FOXN3;FZD4;GATA6;GGPS1;GIT1;GIT2;GLIS1;GMEB2;GORASP2;HSD17B11;IBSP;IER3;IL17RE;INHBA;INPP5A;INTS6;IQCE;IRS1;ITIH4;ITPRIP;JADE2;KANK1;KCNJ8;KIF13A;KIF26B;KLF4;KLF7;KPRP;LAPTM4B;LGR6;LMCD1;LMOD1;LRIG3;LRRC72;LRRN4;MAP4;MAP7D1;MARCH3;MAU2;MCM6;MGLL;MPDZ;MPPED2;MRVI1;MSI2;MST1R;MUC15;MYLK;MYO1D;NAALADL2;NCAM1;NCOA1;NEDD4;NKD1;NPNT;NPR1;NSUN5;NUCB1;NUP50;OMD;OSCAR;PALM;PAMR1;PBXIP1;PCSK5;PDLIM1;PDZK1;PHTF2;PIK3R2;PITPNB;PLBD2;PLXNA4;POC5;PRELP;PRKD3;PRPF8;PRR14;PSD;PTK2;RASGEF1A;RHOJ;RND2;RPTOR;RRP1;RUNX1T1;SBDS;SBNO2;SDAD1;SDC2;SEL1L;SEMA3C;SEMA5A;SEPT4;SFN;SGCD;SH3PXD2A;SLC2A12;SLC3A2;SLC41A1;SLC48A1;SLIT3;SMOC1;SMPD1;SOCS3;SOGA1;SPOCK1;STX3;TBX18;TIMP3;TMEM30B;TNFAIP1;TNS1;TOP3A;TPPP3;TRAF3IP2;TRIB1;TRPM1;TXNRD3;UCHL1;UPK1B;VPS53;VSTM4;WNT5B;ZC3H10;ZDHHC3;ZFYVE26;ZNF281;ZNF507;ZRANB1
